segmentnr	original	folio	analyzed
ZH_X86_1605_002:0514b12	走。鼈咬釣魚竿。僧曰。為人不為人則且止。如何是逢	002	走  鼈 咬 釣 魚 竿  僧 曰  為 人 不 為 人 則 且 止  如 何 是 逢 
ZH_X86_1605_002:0514b13	人出底句。師曰知。僧曰。逢人出不出則且止。如何是	002	人 出 底 句  師 曰 知  僧 曰  逢 人 出 不 出 則 且 止  如 何 是 
ZH_X86_1605_002:0514b14	為人底句。師曰切。問如何是正法眼藏。師曰十字街	002	為 人 底 句  師 曰 切  問 如 何 是 正 法 眼 藏  師 曰 十 字 街 
ZH_X86_1605_002:0514b15	頭石敢當。曰莫只者便是麼。師曰月似彎弓少雨多	002	頭 石 敢 當  曰 莫 只 者 便 是 麼  師 曰 月 似 彎 弓 少 雨 多 
ZH_X86_1605_002:0514b16	風。僧參。師問曰何方聖者甚處靈祇。曰臨朕碪。師曰	002	風  僧 參  師 問 曰 何 方 聖 者 甚 處 靈 祇  曰 臨 朕 碪  師 曰 
ZH_X86_1605_002:0514b17	杜撰禪和如麻似粟。參堂去。又勘一僧曰棋盤石斫	002	杜 撰 禪 和 如 麻 似 粟  參 堂 去  又 勘 一 僧 曰 棋 盤 石 斫 
ZH_X86_1605_002:0514b18	破你腦門。鉢盂池浸爛你脚板。僧擬答。師便喝。又勘	002	破 你 腦 門  鉢 盂 池 浸 爛 你 脚 板  僧 擬 答  師 便 喝  又 勘 
ZH_X86_1605_002:0514b19	一僧曰。劈開華嶽連天秀。放出黃河徹底清。即且置。	002	一 僧 曰  劈 開 華 嶽 連 天 秀  放 出 黃 河 徹 底 清  即 且 置  
ZH_X86_1605_002:0514b20	平實地上道將一句來。僧擬開口。師便打。上堂。即心	002	平 實 地 上 道 將 一 句 來  僧 擬 開 口  師 便 打  上 堂  即 心 
ZH_X86_1605_002:0514b21	即佛。蜜果換苦葫蘆。非心非佛。寶器貯於不淨。不是	002	即 佛  蜜 果 換 苦 葫 蘆  非 心 非 佛  寶 器 貯 於 不 淨  不 是 
ZH_X86_1605_002:0514b22	心不是佛不是物。鄭州出曹門。且喜沒交涉。拈拄杖	002	心 不 是 佛 不 是 物  鄭 州 出 曹 門  且 喜 沒 交 涉  拈 拄 杖 
ZH_X86_1605_002:0514b23	曰。拄杖子鑽過北鬱單越。走向西瞿耶尼。今向翔鳳	002	曰  拄 杖 子 鑽 過 北 鬱 單 越  走 向 西 瞿 耶 尼  今 向 翔 鳳 
ZH_X86_1605_002:0514b24	山中興雲吐霧去也。卓一卓曰。大洋海底火發。燒却	002	山 中 興 雲 吐 霧 去 也  卓 一 卓 曰  大 洋 海 底 火 發  燒 却 
ZH_X86_1605_002:0514c01	嘉州大像頷下眉毛。復卓一卓下座。上堂。三世諸佛	002	嘉 州 大 像 頷 下 眉 毛  復 卓 一 卓 下 座  上 堂  三世諸佛 
ZH_X86_1605_002:0514c02	拈向一邊。六代祖師置之一壁。十二時中且要識得	002	拈 向 一 邊  六 代 祖 師 置 之 一 壁  十 二 時 中 且 要 識 得 
ZH_X86_1605_002:0514c03	自家主人翁。隨處作主。立處皆真。五欲八風搖撼不	002	自 家 主 人 翁  隨 處 作 主  立 處 皆 真  五 欲 八 風 搖 撼 不 
ZH_X86_1605_002:0514c04	動。四生九有籠罩不住。方有少分相應。我且問你。著	002	動  四 生 九 有 籠 罩 不 住  方 有 少 分 相 應  我 且 問 你  著 
ZH_X86_1605_002:0514c05	衣喫飯屙屎送溺。行住坐臥見聞覺知。且阿那個是	002	衣 喫 飯 屙 屎 送 溺  行住坐臥 見聞覺知  且 阿 那 個 是 
ZH_X86_1605_002:0514c06	你主人翁。有般漢便向第八識裏妄生卜度。便道呼	002	你 主 人 翁  有 般 漢 便 向 第 八 識 裏 妄 生 卜 度  便 道 呼 
ZH_X86_1605_002:0514c07	之有聲不見其形。只今言談抵對歷歷孤明。豈不是	002	之 有 聲 不 見 其 形  只 今 言 談 抵 對 歷 歷 孤 明  豈 不 是 
ZH_X86_1605_002:0514c08	我自家主人翁。錯了也。此是無量劫來生死根本。無	002	我 自 家 主 人 翁  錯 了 也  此 是 無 量 劫 來 生 死 根 本  無 
ZH_X86_1605_002:0514c09	始劫來業識痴團。便得你七顛八倒。役得你萬苦千	002	始 劫 來 業 識 痴 團  便 得 你 七 顛 八 倒  役 得 你 萬 苦 千 
ZH_X86_1605_002:0514c10	辛。豈可認以為實。降此之外畢竟阿那個是你主人	002	辛  豈 可 認 以 為 實  降 此 之 外 畢 竟 阿 那 個 是 你 主 人 
ZH_X86_1605_002:0514c11	翁。復高聲喚曰。主人翁。惺惺著。上堂。古戌朝鳴角。空	002	翁  復 高 聲 喚 曰  主 人 翁  惺 惺 著  上 堂  古 戌 朝 鳴 角  空 
ZH_X86_1605_002:0514c12	山夜答鐘。時人皆共聽。何處不圓通。元宵上堂并謝	002	山 夜 答 鐘  時 人 皆 共 聽  何 處 不 圓 通  元 宵 上 堂 并 謝 
ZH_X86_1605_002:0514c13	監收浴主維那。千粒萬粒從一粒生。只者一粒從甚	002	監 收 浴 主 維 那  千 粒 萬 粒 從 一 粒 生  只 者 一 粒 從 甚 
ZH_X86_1605_002:0514c14	麼處生。千燈萬燈從一燈起。只者一燈從甚麼處起。	002	麼 處 生  千 燈 萬 燈 從 一 燈 起  只 者 一 燈 從 甚 麼 處 起  
ZH_X86_1605_002:0514c15	識得一燈。千燈萬燈燈燈不疑。識得一粒。千粒萬粒	002	識 得 一 燈  千 燈 萬 燈 燈 燈 不 疑  識 得 一 粒  千 粒 萬 粒 
ZH_X86_1605_002:0514c16	粒粒無碍。三脚驢子弄蹄行。踏破無邊香水海。拈拄	002	粒 粒 無 碍  三 脚 驢 子 弄 蹄 行  踏 破 無 邊 香 水 海  拈 拄 
ZH_X86_1605_002:0514c17	杖卓一卓曰。頂門上也少者一槌不得。至正辛巳八	002	杖 卓 一 卓 曰  頂 門 上 也 少 者 一 槌 不 得  至 正 辛 巳 八 
ZH_X86_1605_002:0514c18	月四日書偈訣眾曰。本無生滅。焉有去來。冰河發焰。	002	月 四 日 書 偈 訣 眾 曰  本 無 生 滅  焉 有 去 來  冰 河 發 焰  
ZH_X86_1605_002:0514c19	銕樹花開。投筆垂一足而化。奉全身窆於寂照塔院。	002	銕 樹 花 開  投 筆 垂 一 足 而 化  奉 全 身 窆 於 寂 照 塔 院  
ZH_X86_1605_002:0514c20	淨慈頴禪師法嗣	002	淨 慈 頴 禪 師 法 嗣 
ZH_X86_1605_002:0514c21	溫州江心一山了萬禪師撫州臨川金氏子。年十五	002	溫 州 江 心 一 山 了 萬 禪 師 撫 州 臨 川 金 氏 子  年 十 五 
ZH_X86_1605_002:0514c22	業程文有聲。然出家素志莫能奪。去從金溪常樂院	002	業 程 文 有 聲  然 出 家 素 志 莫 能 奪  去 從 金 溪 常 樂 院 
ZH_X86_1605_002:0514c23	祝髮。東叟領南屏擇師掌記。師偶經神祠見紙灰隨	002	祝 髮  東 叟 領 南 屏 擇 師 掌 記  師 偶 經 神 祠 見 紙 灰 隨 
ZH_X86_1605_002:0514c24	風旋起。脫然忘所證。亟以白叟。叟詰之終無疑滯。遂	002	風 旋 起  脫 然 忘 所 證  亟 以 白 叟  叟 詰 之 終 無 疑 滯  遂 
ZH_X86_1605_002:0515a01	蒙印可。後遊天台眾請開法寒巖。遷紫籜疎山開先。	002	蒙 印 可  後 遊 天 台 眾 請 開 法 寒 巖  遷 紫 籜 疎 山 開 先  
ZH_X86_1605_002:0515a02	升住江心。少不適意輙棄去。會廬山月澗明禪師遣	002	升 住 江 心  少 不 適 意 輙 棄 去  會 廬 山 月 澗 明 禪 師 遣 
ZH_X86_1605_002:0515a03	舟迎歸東溪。及明沒。開先之眾復請。乃回開先。皇慶	002	舟 迎 歸 東 溪  及 明 沒  開 先 之 眾 復 請  乃 回 開 先  皇 慶 
ZH_X86_1605_002:0515a04	元年冬遘疾。書訣坐逝。	002	元 年 冬 遘 疾  書 訣 坐 逝  
ZH_X86_1605_002:0515a05	明州岳林栯堂益禪師溫州人。上堂。古者道我者裏	002	明 州 岳 林 栯 堂 益 禪 師 溫 州 人  上 堂  古 者 道 我 者 裏 
ZH_X86_1605_002:0515a06	無法與人。只是據欵結案。彰聖者裏亦無法與人。亦	002	無 法 與 人  只 是 據 欵 結 案  彰 聖 者 裏 亦 無 法 與 人  亦 
ZH_X86_1605_002:0515a07	不據欵結案。拈拄杖曰。如何是佛。赤脚踏蓮花。如何	002	不 據 欵 結 案  拈 拄 杖 曰  如 何 是 佛  赤 脚 踏 蓮 花  如 何 
ZH_X86_1605_002:0515a08	是佛向上事。雕梁畵棟。擲下拄杖便歸方丈。二月十	002	是 佛 向 上 事  雕 梁 畵 棟  擲 下 拄 杖 便 歸 方 丈  二 月 十 
ZH_X86_1605_002:0515a09	五日上堂。擊拂一下曰。彰聖今日將三十年前冷灰	002	五 日 上 堂  擊 拂 一 下 曰  彰 聖 今 日 將 三 十 年 前 冷 灰 
ZH_X86_1605_002:0515a10	中爆出黑豆換老胡眼睛去也。喝一喝曰。設有一法	002	中 爆 出 黑 豆 換 老 胡 眼 睛 去 也  喝 一 喝 曰  設 有 一 法 
ZH_X86_1605_002:0515a11	過於涅槃。我此一喝不作一喝用。	002	過 於 涅 槃  我 此 一 喝 不 作 一 喝 用  
ZH_X86_1605_002:0515a12	育王觀禪師法嗣	002	育 王 觀 禪 師 法 嗣 
ZH_X86_1605_002:0515a13	洪州仰山晦機元熈禪師南昌唐氏子。與兄元齡俱	002	洪 州 仰 山 晦 機 元 熈 禪 師 南 昌 唐 氏 子  與 兄 元 齡 俱 
ZH_X86_1605_002:0515a14	習進士業。元齡既登第。師遂祝髮。聞物初闡化玉几。	002	習 進 士 業  元 齡 既 登 第  師 遂 祝 髮  聞 物 初 闡 化 玉 几  
ZH_X86_1605_002:0515a15	往依之。初與語。大驚異之。留侍左右。朝夕咨叩盡發	002	往 依 之  初 與 語  大 驚 異 之  留 侍 左 右  朝 夕 咨 叩 盡 發 
ZH_X86_1605_002:0515a16	其秘。後謁東叟穎公於南屏。穎命掌記。元貞二年出	002	其 秘  後 謁 東 叟 穎 公 於 南 屏  穎 命 掌 記  元 貞 二 年 出 
ZH_X86_1605_002:0515a17	世百丈。遷淨慈。上堂。雲門道個普字。盡大地人不奈	002	世 百 丈  遷 淨 慈  上 堂  雲 門 道 個 普 字  盡 大 地 人 不 奈 
ZH_X86_1605_002:0515a18	何。殊不知雲門四棱塌地。當時若與震威一喝。待此	002	何  殊 不 知 雲 門 四 棱 塌 地  當 時 若 與 震 威 一 喝  待 此 
ZH_X86_1605_002:0515a19	老惡發。徐徐打個問訊道。莫恠觸忤好。非徒救取此	002	老 惡 發  徐 徐 打 個 問 訊 道  莫 恠 觸 忤 好  非 徒 救 取 此 
ZH_X86_1605_002:0515a20	老。亦能振起雲門綱宗。雖然。口是禍門。上堂。三界無	002	老  亦 能 振 起 雲 門 綱 宗  雖 然  口 是 禍 門  上 堂  三 界 無 
ZH_X86_1605_002:0515a21	法何處求心。白雲為葢流泉作琴。古今無間誰是知	002	法 何 處 求 心  白 雲 為 葢 流 泉 作 琴  古 今 無 間 誰 是 知 
ZH_X86_1605_002:0515a22	音。擊拂子曰。一曲兩曲無人會。雨過夜塘秋水深。上	002	音  擊 拂 子 曰  一 曲 兩 曲 無 人 會  雨 過 夜 塘 秋 水 深  上 
ZH_X86_1605_002:0515a23	堂。獨坐大雄峰。寒灰撥不紅。一星熒火出。孤鶴過遼	002	堂  獨 坐 大 雄 峰  寒 灰 撥 不 紅  一 星 熒 火 出  孤 鶴 過 遼 
ZH_X86_1605_002:0515a24	東。遷徑山閱三月。師杖筞歸南山之下。復起之不往	002	東  遷 徑 山 閱 三 月  師 杖 筞 歸 南 山 之 下  復 起 之 不 往 
ZH_X86_1605_002:0515b01	也。江西學者聞師退閒。咸傾誠法味以致。百丈大仰	002	也  江 西 學 者 聞 師 退 閒  咸 傾 誠 法 味 以 致  百 丈 大 仰 
ZH_X86_1605_002:0515b02	之徒爭來請師。師辭不獲已遂還仰山。居三年。將示	002	之 徒 爭 來 請 師  師 辭 不 獲 已 遂 還 仰 山  居 三 年  將 示 
ZH_X86_1605_002:0515b03	寂作偈示眾。擲筆化去。大仰山之下有金雞石者。應	002	寂 作 偈 示 眾  擲 筆 化 去  大 仰 山 之 下 有 金 雞 石 者  應 
ZH_X86_1605_002:0515b04	馬大師懸讖故葬焉。	002	馬 大 師 懸 讖 故 葬 焉  
ZH_X86_1605_002:0515b05	淨慈聞禪師法嗣	002	淨 慈 聞 禪 師 法 嗣 
ZH_X86_1605_002:0515b06	杭州徑山雲峰妙高禪師福寧州人。受具後往參痴	002	杭 州 徑 山 雲 峰 妙 高 禪 師 福 寧 州 人  受 具 後 往 參 痴 
ZH_X86_1605_002:0515b07	絕。次見無準。皆器之。及參偃溪。一日溪舉譬如牛過	002	絕  次 見 無 準  皆 器 之  及 參 偃 溪  一 日 溪 舉 譬 如 牛 過 
ZH_X86_1605_002:0515b08	窻櫺頭角四蹄都過了因甚尾巴過不得。師劃然有	002	窻 櫺 頭 角 四 蹄 都 過 了 因 甚 尾 巴 過 不 得  師 劃 然 有 
ZH_X86_1605_002:0515b09	省乃曰。鯨吞海水盡。露出珊瑚枝。溪曰也只道得一	002	省 乃 曰  鯨 吞 海 水 盡  露 出 珊 瑚 枝  溪 曰 也 只 道 得 一 
ZH_X86_1605_002:0515b10	半。後出世大蘆。遷勸忠何山。復奉朝命住蔣山。至元	002	半  後 出 世 大 蘆  遷 勸 忠 何 山  復 奉 朝 命 住 蔣 山  至 元 
ZH_X86_1605_002:0515b11	庚辰遷徑山。上堂。世界未形乾坤泰定。生佛未具覿	002	庚 辰 遷 徑 山  上 堂  世 界 未 形 乾 坤 泰 定  生 佛 未 具 覿 
ZH_X86_1605_002:0515b12	體全真。無端鏡。容大士。鷹巢躍出。剺破面皮。早是遭	002	體 全 真  無 端 鏡  容 大 士  鷹 巢 躍 出  剺 破 面 皮  早 是 遭 
ZH_X86_1605_002:0515b13	人描邈。那更缺齒老胡不依本分。遙望東震旦有大	002	人 描 邈  那 更 缺 齒 老 胡 不 依 本 分  遙 望 東 震 旦 有 大 
ZH_X86_1605_002:0515b14	乘根器。迢迢十萬里來。意在攙行奪市。直得鳳堂鼓	002	乘 根 器  迢 迢 十 萬 里 來  意 在 攙 行 奪 市  直 得 鳳 堂 鼓 
ZH_X86_1605_002:0515b15	響。阿閣鐘鳴。轉喉觸諱。插脚無門。合國難追。重遭訐	002	響  阿 閣 鐘 鳴  轉 喉 觸 諱  插 脚 無 門  合 國 難 追  重 遭 訐 
ZH_X86_1605_002:0515b16	露。斯徑山道不得已跨他船舷入他界分。新官不理	002	露  斯 徑 山 道 不 得 已 跨 他 船 舷 入 他 界 分  新 官 不 理 
ZH_X86_1605_002:0515b17	舊事。畢竟如何。拍禪牀曰。戍樓靜貯千峰月。塞草閒	002	舊 事  畢 竟 如 何  拍 禪 牀 曰  戍 樓 靜 貯 千 峰 月  塞 草 閒 
ZH_X86_1605_002:0515b18	鋪萬里秋。上堂。五峰峭峙到者須是其人。一鏡當空	002	鋪 萬 里 秋  上 堂  五 峰 峭 峙 到 者 須 是 其 人  一 鏡 當 空 
ZH_X86_1605_002:0515b19	無物不蒙其照。祖師基業依然猶在。衲僧活計何曾	002	無 物 不 蒙 其 照  祖 師 基 業 依 然 猶 在  衲 僧 活 計 何 曾 
ZH_X86_1605_002:0515b20	變遷。著手不得處正要提撕。措足無門時方可履踐。	002	變 遷  著 手 不 得 處 正 要 提 撕  措 足 無 門 時 方 可 履 踐  
ZH_X86_1605_002:0515b21	直待山雲淡泞澗水潺湲。一曲無私萬邦樂業。正恁	002	直 待 山 雲 淡 泞 澗 水 潺 湲  一 曲 無 私 萬 邦 樂 業  正 恁 
ZH_X86_1605_002:0515b22	麼時。功歸何所。車書自古同文軌。四海如今共一家。	002	麼 時  功 歸 何 所  車 書 自 古 同 文 軌  四 海 如 今 共 一 家  
ZH_X86_1605_002:0515b23	示眾。言前辯旨。句下明宗。東計山熾然說法。湛瀆水	002	示 眾  言 前 辯 旨  句 下 明 宗  東 計 山 熾 然 說 法  湛 瀆 水 
ZH_X86_1605_002:0515b24	轉為流通。者裏搆得未免遞相鈍置。若尚存觀聽。擾	002	轉 為 流 通  者 裏 搆 得 未 免 遞 相 鈍 置  若 尚 存 觀 聽  擾 
ZH_X86_1605_002:0515c01	擾匇匇。晨雞暮鐘。時有讚毀禪宗者。師嘆曰。此宗門	002	擾 匇 匇  晨 雞 暮 鐘  時 有 讚 毀 禪 宗 者  師 嘆 曰  此 宗 門 
ZH_X86_1605_002:0515c02	大事。吾當忍死爭之。遂趨京。有旨集諸宗徒廷辯。上	002	大 事  吾 當 忍 死 爭 之  遂 趨 京  有 旨 集 諸 宗 徒 廷 辯  上 
ZH_X86_1605_002:0515c03	問禪以何為宗。師奏曰。淨智妙圓體自空寂。非見聞	002	問 禪 以 何 為 宗  師 奏 曰  淨 智 妙 圓 體 自 空 寂  非 見 聞 
ZH_X86_1605_002:0515c04	覺知思慮分別所能到。上宣問再三。師歷舉西天東	002	覺 知 思 慮 分 別 所 能 到  上 宣 問 再 三  師 歷 舉 西 天 東 
ZH_X86_1605_002:0515c05	土諸祖。以至德山臨濟棒喝因緣。大抵言。禪是正法	002	土 諸 祖  以 至 德 山 臨 濟 棒 喝 因 緣  大 抵 言  禪 是 正 法 
ZH_X86_1605_002:0515c06	眼藏。涅槃妙心。趨最上乘。孰有過於禪。詞旨明顯。餘	002	眼 藏  涅 槃 妙 心  趨 最 上 乘  孰 有 過 於 禪  詞 旨 明 顯  餘 
ZH_X86_1605_002:0515c07	二千言。又宣進榻前同百法論師仙林賜坐。使各持	002	二 千 言  又 宣 進 榻 前 同 百 法 論 師 仙 林 賜 坐  使 各 持 
ZH_X86_1605_002:0515c08	論。林曰始從鹿野苑終至跋提河。於是二中間未甞	002	論  林 曰 始 從 鹿 野 苑 終 至 跋 提 河  於 是 二 中 間 未 甞 
ZH_X86_1605_002:0515c09	說一字。五千餘卷自何而來。師曰一代時教如標月	002	說 一 字  五 千 餘 卷 自 何 而 來  師 曰 一 代 時 教 如 標 月 
ZH_X86_1605_002:0515c10	指。了知所標畢竟非月。林曰如何是禪。師以手打一	002	指  了 知 所 標 畢 竟 非 月  林 曰 如 何 是 禪  師 以 手 打 一 
ZH_X86_1605_002:0515c11	圓相。林曰何得動手動脚。師曰只者一圈尚透不得。	002	圓 相  林 曰 何 得 動 手 動 脚  師 曰 只 者 一 圈 尚 透 不 得  
ZH_X86_1605_002:0515c12	說甚千經萬論。林無語。上大悅賜食。陛辭南歸。示寂	002	說 甚 千 經 萬 論  林 無 語  上 大 悅 賜 食  陛 辭 南 歸  示 寂 
ZH_X86_1605_002:0515c13	塔於寺之西麓。	002	塔 於 寺 之 西 麓  
ZH_X86_1605_002:0515c14	明州天童止泓鑒禪師頌大陽無相道場話曰。真空	002	明 州 天 童 止 泓 鑒 禪 師 頌 大 陽 無 相 道 場 話 曰  真 空 
ZH_X86_1605_002:0515c15	無相絕名模。立底精兮畵底麁。道即不難辭上紙。西	002	無 相 絕 名 模  立 底 精 兮 畵 底 麁  道 即 不 難 辭 上 紙  西 
ZH_X86_1605_002:0515c16	天鬍子絕髭鬚。	002	天 鬍 子 絕 髭 鬚  
ZH_X86_1605_002:0515c17	雙林朋禪師法嗣	002	雙 林 朋 禪 師 法 嗣 
ZH_X86_1605_002:0515c18	杭州靈隱悅堂祖誾禪師南康周氏子。一日閱華嚴	002	杭 州 靈 隱 悅 堂 祖 誾 禪 師 南 康 周 氏 子  一 日 閱 華 嚴 
ZH_X86_1605_002:0515c19	至惟一堅密身一切塵中現。忽有省。往見別山。山問	002	至 惟 一 堅 密 身 一 切 塵 中 現  忽 有 省  往 見 別 山  山 問 
ZH_X86_1605_002:0515c20	近離什處。師曰江西。山曰馬大師安樂否。師叉手曰	002	近 離 什 處  師 曰 江 西  山 曰 馬 大 師 安 樂 否  師 叉 手 曰 
ZH_X86_1605_002:0515c21	起居和尚。參斷橋問臨濟三遭黃檗痛棒是否。師曰	002	起 居 和 尚  參 斷 橋 問 臨 濟 三 遭 黃 檗 痛 棒 是 否  師 曰 
ZH_X86_1605_002:0515c22	是。曰因甚大愚肋下築三拳。師曰得人一牛還人一	002	是  曰 因 甚 大 愚 肋 下 築 三 拳  師 曰 得 人 一 牛 還 人 一 
ZH_X86_1605_002:0515c23	馬。橋頷之。橋逝而介石補其處。一日室中舉栢樹子	002	馬  橋 頷 之  橋 逝 而 介 石 補 其 處  一 日 室 中 舉 栢 樹 子 
ZH_X86_1605_002:0515c24	話。師擬議。石抗聲曰何不道黃鶴樓前鸚鵡洲。師於	002	話  師 擬 議  石 抗 聲 曰 何 不 道 黃 鶴 樓 前 鸚 鵡 洲  師 於 
ZH_X86_1605_002:0516a01	言下頓悟。久之歸廬山。出世西林。大德九年住靈隱。	002	言 下 頓 悟  久 之 歸 廬 山  出 世 西 林  大 德 九 年 住 靈 隱  
ZH_X86_1605_002:0516a02	甞勘一僧曰。微塵諸佛在汝舌上。三藏聖教在汝脚	002	甞 勘 一 僧 曰  微 塵 諸 佛 在 汝 舌 上  三 藏 聖 教 在 汝 脚 
ZH_X86_1605_002:0516a03	底。何不瞥地。僧罔措。師便喝。又勘一僧曰。釋迦彌勒	002	底  何 不 瞥 地  僧 罔 措  師 便 喝  又 勘 一 僧 曰  釋 迦 彌 勒 
ZH_X86_1605_002:0516a04	是他奴。他是阿誰。僧擬對。師便打。一僧新到。師問何	002	是 他 奴  他 是 阿 誰  僧 擬 對  師 便 打  一 僧 新 到  師 問 何 
ZH_X86_1605_002:0516a05	處來。曰閩中。師曰彼處佛法如何住持。曰饑則吃飯	002	處 來  曰 閩 中  師 曰 彼 處 佛 法 如 何 住 持  曰 饑 則 吃 飯 
ZH_X86_1605_002:0516a06	困則打眠。師曰錯。曰未審和尚此間如何住持。師拂	002	困 則 打 眠  師 曰 錯  曰 未 審 和 尚 此 間 如 何 住 持  師 拂 
ZH_X86_1605_002:0516a07	袖歸方丈。居四歲。訣眾偈曰。緣會而來。緣散而去。撞	002	袖 歸 方 丈  居 四 歲  訣 眾 偈 曰  緣 會 而 來  緣 散 而 去  撞 
ZH_X86_1605_002:0516a08	倒須彌。虗空獨露。遂逝。	002	倒 須 彌  虗 空 獨 露  遂 逝  
ZH_X86_1605_002:0516a09	靈隱濟禪師法嗣	002	靈 隱 濟 禪 師 法 嗣 
ZH_X86_1605_002:0516a10	慶元府雪竇野翁炳同禪師新昌張氏子。首從痴絕	002	慶 元 府 雪 竇 野 翁 炳 同 禪 師 新 昌 張 氏 子  首 從 痴 絕 
ZH_X86_1605_002:0516a11	於天童。次造大川之室。川舉臘月火燒山話。師擬對。	002	於 天 童  次 造 大 川 之 室  川 舉 臘 月 火 燒 山 話  師 擬 對  
ZH_X86_1605_002:0516a12	川拈竹篦遽拄之。有省。隱跡仗錫。閉戶書法華經。有	002	川 拈 竹 篦 遽 拄 之  有 省  隱 跡 仗 錫  閉 戶 書 法 華 經  有 
ZH_X86_1605_002:0516a13	老來非厭客。靜裏欲書經之句。時雪竇虗席。眾堅請	002	老 來 非 厭 客  靜 裏 欲 書 經 之 句  時 雪 竇 虗 席  眾 堅 請 
ZH_X86_1605_002:0516a14	師往赴。至壬寅八月十五日陞座。語眾勸勵極切。葢	002	師 往 赴  至 壬 寅 八 月十五日 陞 座  語 眾 勸 勵 極 切  葢 
ZH_X86_1605_002:0516a15	示別也。眾請留偈。笑而不應。至夕而逝。	002	示 別 也  眾 請 留 偈  笑 而 不 應  至 夕 而 逝  
ZH_X86_1605_002:0516a16	薦福璨禪師法嗣	002	薦 福 璨 禪 師 法 嗣 
ZH_X86_1605_002:0516a17	福寧州支提山愚叟澄鑑禪師本州寧德張氏子。依	002	福 寧 州 支 提 山 愚 叟 澄 鑑 禪 師 本 州 寧 德 張 氏 子  依 
ZH_X86_1605_002:0516a18	政和龍山剃落。參無文璨禪師遂入其室。初住白雲。	002	政 和 龍 山 剃 落  參 無 文 璨 禪 師 遂 入 其 室  初 住 白 雲  
ZH_X86_1605_002:0516a19	至元二十年世祖勅賜住持支提。賜號通悟明印大	002	至 元 二 十 年 世 祖 勅 賜 住 持 支 提  賜 號 通 悟 明 印 大 
ZH_X86_1605_002:0516a20	師。後示寂書偈曰。八十二年落賺世緣。躍翻筋斗。應	002	師  後 示 寂 書 偈 曰  八 十 二 年 落 賺 世 緣  躍 翻 筋 斗  應 
ZH_X86_1605_002:0516a21	跡西乾。沐浴更衣趺坐而逝。	002	跡 西 乾  沐 浴 更 衣 趺 坐 而 逝  
ZH_X86_1605_002:0516a22	臥龍先禪師法嗣	002	臥 龍 先 禪 師 法 嗣 
ZH_X86_1605_002:0516a23	臨安府徑山無準師範禪師劒州梓潼雍氏子。九歲	002	臨 安 府 徑 山 無 準 師 範 禪 師 劒 州 梓 潼 雍 氏 子  九 歲 
ZH_X86_1605_002:0516a24	出家。請益老宿坐禪之法。宿曰禪是何物坐底是誰。	002	出 家  請 益 老 宿 坐 禪 之 法  宿 曰 禪 是 何 物 坐 底 是 誰  
ZH_X86_1605_002:0516b01	師晝夜體究。一日如廁提前話有省。謁育王佛炤。炤	002	師 晝 夜 體 究  一 日 如 廁 提 前 話 有 省  謁 育 王 佛 炤  炤 
ZH_X86_1605_002:0516b02	問何處人。師曰劒州。炤曰帶得劒來麼。師隨聲便喝。	002	問 何 處 人  師 曰 劒 州  炤 曰 帶 得 劒 來 麼  師 隨 聲 便 喝  
ZH_X86_1605_002:0516b03	炤笑曰者烏頭子也亂做。至靈隱時破菴為第一座。	002	炤 笑 曰 者 烏 頭 子 也 亂 做  至 靈 隱 時 破 菴 為 第 一 座  
ZH_X86_1605_002:0516b04	同遊石筍菴。有道者請益胡孫子話。師於侍傍大悟。	002	同 遊 石 筍 菴  有 道 者 請 益 胡 孫 子 話  師 於 侍 傍 大 悟  
ZH_X86_1605_002:0516b05	初住明州清凉。遷焦山雪竇育王。後受詔主徑山。上	002	初 住 明 州 清 凉  遷 焦 山 雪 竇 育 王  後 受 詔 主 徑 山  上 
ZH_X86_1605_002:0516b06	堂。靈山指月。曹溪話月。遞代相傳。證龜成鼈。範上座	002	堂  靈 山 指 月  曹 溪 話 月  遞 代 相 傳  證 龜 成 鼈  範 上 座 
ZH_X86_1605_002:0516b07	尋常有一張口。挂在壁上未曾動著。今日無端入者	002	尋 常 有 一 張 口  挂 在 壁 上 未 曾 動 著  今 日 無 端 入 者 
ZH_X86_1605_002:0516b08	行戶。事到如今只得東簸西簸。未免拈起多年曆日。	002	行 戶  事 到 如 今 只 得 東 簸 西 簸  未 免 拈 起 多 年 曆 日  
ZH_X86_1605_002:0516b09	於中點出些子悞賺處說似諸人。且要郭大李二鄧	002	於 中 點 出 些 子 悞 賺 處 說 似 諸 人  且 要 郭 大 李 二 鄧 
ZH_X86_1605_002:0516b10	四張三知得江南兩浙春寒秋熱。雖然如是。黃河三	002	四 張 三 知 得 江 南 兩 浙 春 寒 秋 熱  雖 然 如 是  黃 河 三 
ZH_X86_1605_002:0516b11	千年一度清。上堂。若是個事直是省要易會。多是諸	002	千 年 一 度 清  上 堂  若 是 個 事 直 是 省 要 易 會  多 是 諸 
ZH_X86_1605_002:0516b12	人自作艱難自作障碍。所以有時東廊西廊見諸人	002	人 自 作 艱 難 自 作 障 碍  所 以 有 時 東 廊 西 廊 見 諸 人 
ZH_X86_1605_002:0516b13	問訊和南。山僧便乃低頭相接。其實無他。只要諸人	002	問 訊 和 南  山 僧 便 乃 低 頭 相 接  其 實 無 他  只 要 諸 人 
