segmentnr	original	folio	analyzed
ZH_X51_0825_001:0459a46	次立量以顯無實體用(此)	001	次 立 量 以 顯 無 實 體 用  此  
ZH_X51_0825_001:0459a47	次別破得非得等(六)	001	次 別 破 得 非 得 等  六  
ZH_X51_0825_001:0459a48	初破得非得(二)	001	初 破 得 非 得  二  
ZH_X51_0825_001:0459a49	初破他非(二)	001	初 破 他 非  二  
ZH_X51_0825_001:0459a50	初徵答實有(二)	001	初 徵 答 實 有  二  
ZH_X51_0825_001:0459a51	初論主問(且)	001	初 論 主 問  且  
ZH_X51_0825_001:0459a52	次外人答(契)	001	次 外 人 答  契  
ZH_X51_0825_001:0459a53	次正破實有(二)	001	次 正 破 實 有  二  
ZH_X51_0825_001:0459a54	初依經總非(經)	001	初 依 經 總 非  經  
ZH_X51_0825_001:0459a55	次就義別破(二)	001	次 就 義 別 破  二  
ZH_X51_0825_001:0459a56	初正破得(二)	001	初 正 破 得  二  
ZH_X51_0825_001:0459a57	初引經例破(亦)	001	初 引 經 例 破  亦  
ZH_X51_0825_001:0459a58	次約二因破(三)	001	次 約 二 因 破  三  
ZH_X51_0825_001:0459a59	初徵(又)	001	初 徵  又  
ZH_X51_0825_001:0459a60	次破(二)	001	次 破  二  
ZH_X51_0825_001:0459a61	初破能起因(若)	001	初 破 能 起 因  若  
ZH_X51_0825_001:0459a62	次破不失因(若)	001	次 破 不 失 因  若  
ZH_X51_0825_001:0460a01	三結(故)	001	三 結  故  
ZH_X51_0825_001:0460a02	次例破非得(得)	001	次 例 破 非 得  得  
ZH_X51_0825_001:0460a03	次申正義(二)	001	次 申 正 義  二  
ZH_X51_0825_001:0460a04	初明得(然)	001	初 明 得  然  
ZH_X51_0825_001:0460a05	次明非得(觀)	001	次 明 非 得  觀  
ZH_X51_0825_001:0460a06	二破眾同分(二)	001	二 破 眾 同 分  二  
ZH_X51_0825_001:0460a07	初破他非(二)	001	初 破 他 非  二  
ZH_X51_0825_001:0460a08	初徵答實有(二)	001	初 徵 答 實 有  二  
ZH_X51_0825_001:0460a09	初論主問(復)	001	初 論 主 問  復  
ZH_X51_0825_001:0460a10	次外人答(契)	001	次 外 人 答  契  
ZH_X51_0825_001:0460a11	次正破實有(二)	001	次 正 破 實 有  二  
ZH_X51_0825_001:0460a12	初依經總非(此)	001	初 依 經 總 非  此  
ZH_X51_0825_001:0460a13	次就義別破(二)	001	次 就 義 別 破  二  
ZH_X51_0825_001:0460a14	初約同智言因破(若)	001	初 約 同 智 言 因 破  若  
ZH_X51_0825_001:0460a15	次約同事欲因破(若)	001	次 約 同 事 欲 因 破  若  
ZH_X51_0825_001:0460a16	次申正義(然)	001	次 申 正 義  然  
ZH_X51_0825_001:0460a17	三破命根(二)	001	三 破 命 根  二  
ZH_X51_0825_001:0460a18	初破他非(二)	001	初 破 他 非  二  
ZH_X51_0825_001:0460a19	初徵答實有(二)	001	初 徵 答 實 有  二  
ZH_X51_0825_001:0460a20	初論主問(復)	001	初 論 主 問  復  
ZH_X51_0825_001:0460a21	次外人答(若)	001	次 外 人 答  若  
ZH_X51_0825_001:0460a22	次正破實有(二)	001	次 正 破 實 有  二  
ZH_X51_0825_001:0460a23	初依經總非(此)	001	初 依 經 總 非  此  
ZH_X51_0825_001:0460a24	次就義別破(三)	001	次 就 義 別 破  三  
ZH_X51_0825_001:0460a25	初例破(又)	001	初 例 破  又  
ZH_X51_0825_001:0460a26	次釋妨(若)	001	次 釋 妨  若  
ZH_X51_0825_001:0460a27	三結示(此)	001	三 結 示  此  
ZH_X51_0825_001:0460a28	次申正義(然)	001	次 申 正 義  然  
ZH_X51_0825_001:0460a29	四破無心定等(二)	001	四 破 無 心 定 等  二  
ZH_X51_0825_001:0460a30	初破他非(二)	001	初 破 他 非  二  
ZH_X51_0825_001:0460a31	初徵答實有(二)	001	初 徵 答 實 有  二  
ZH_X51_0825_001:0460a32	初論主問(復)	001	初 論 主 問  復  
ZH_X51_0825_001:0460a33	次外人答(若)	001	次 外 人 答  若  
ZH_X51_0825_001:0460a34	次正破實有(若)	001	次 正 破 實 有  若  
ZH_X51_0825_001:0460a35	次申正義(二)	001	次 申 正 義  二  
ZH_X51_0825_001:0460a36	初正釋(二)	001	初 正 釋  二  
ZH_X51_0825_001:0460a37	初無心定(謂)	001	初 無 心 定  謂  
ZH_X51_0825_001:0460a38	次無想果(無)	001	次 無 想 果  無  
ZH_X51_0825_001:0460a39	次結示(故)	001	次 結 示  故  
ZH_X51_0825_001:0460a40	五破三有為相○	001	五 破 三 有 為 相  
ZH_X51_0825_001:0460a41	六破名句文身○	001	六 破 名句文身  
ZH_X51_0825_001:0460a42	三傍破執隨眠等○	001	三 傍 破 執 隨 眠 等  
ZH_X51_0825_001:0460a44	第二卷	001	第 二 卷 
ZH_X51_0825_001:0460a46	○五破三有為相(二)	001	 五 破 三 有 為 相  二  
ZH_X51_0825_001:0460a47	初破他非(二)	001	初 破 他 非  二  
ZH_X51_0825_001:0460a48	初徵答實有(二)	001	初 徵 答 實 有  二  
ZH_X51_0825_001:0460a49	初論主問(復)	001	初 論 主 問  復  
ZH_X51_0825_001:0460a50	次外人答(契)	001	次 外 人 答  契  
ZH_X51_0825_001:0460a51	次正破實有(二)	001	次 正 破 實 有  二  
ZH_X51_0825_001:0460a52	初依經總非(此)	001	初 依 經 總 非  此  
ZH_X51_0825_001:0460a53	次就義別破(五)	001	次 就 義 別 破  五  
ZH_X51_0825_001:0460a54	初破能相所相體異(非)	001	初 破 能 相 所 相 體 異  非  
ZH_X51_0825_001:0460a55	二破生等相體俱有(又)	001	二 破 生 等 相 體 俱 有  又  
ZH_X51_0825_001:0460a56	三破能所相本有(能)	001	三 破 能 所 相 本 有  能  
ZH_X51_0825_001:0460a57	四破能相合所相(所)	001	四 破 能 相 合 所 相  所  
ZH_X51_0825_001:0460a58	五破生等三世相違(又)	001	五 破 生 等 三 世 相 違  又  
ZH_X51_0825_001:0460a59	次申正義(二)	001	次 申 正 義  二  
ZH_X51_0825_001:0460a60	初剎那四相(三)	001	初 剎 那 四 相  三  
ZH_X51_0825_001:0460a61	初標立相意(然)	001	初 標 立 相 意  然  
ZH_X51_0825_001:0460a62	次釋成四相(四)	001	次 釋 成 四 相  四  
ZH_X51_0825_001:0460a63	初列說四相(本)	001	初 列 說 四 相  本  
ZH_X51_0825_001:0461a01	二約世簡小(前)	001	二 約 世 簡 小  前  
ZH_X51_0825_001:0461a02	三釋通外難(如)	001	三 釋 通 外 難  如  
ZH_X51_0825_001:0461a03	四述相所表(生)	001	四 述 相 所 表  生  
ZH_X51_0825_001:0461a04	三結成是假(故)	001	三 結 成 是 假  故  
ZH_X51_0825_001:0461a05	次一期四相(一)	001	次 一 期 四 相  一  
ZH_X51_0825_001:0461a07	○六破名句文身(二)	001	 六 破 名句文身  二  
ZH_X51_0825_001:0461a08	初破他非(二)	001	初 破 他 非  二  
ZH_X51_0825_001:0461a09	初徵答實有(二)	001	初 徵 答 實 有  二  
ZH_X51_0825_001:0461a10	初論主問(復)	001	初 論 主 問  復  
ZH_X51_0825_001:0461a11	次外人答(契)	001	次 外 人 答  契  
ZH_X51_0825_001:0461a12	次正破實有(二)	001	次 正 破 實 有  二  
ZH_X51_0825_001:0461a13	初依經總非(此)	001	初 依 經 總 非  此  
ZH_X51_0825_001:0461a14	次就義別破(二)	001	次 就 義 別 破  二  
ZH_X51_0825_001:0461a15	初正破二師(二)	001	初 正 破 二 師  二  
ZH_X51_0825_001:0461a16	初單破正理論師(二)	001	初 單 破 正 理 論 師  二  
ZH_X51_0825_001:0461a17	初破名等異聲實有(若)	001	初 破 名 等 異 聲 實 有  若  
ZH_X51_0825_001:0461a18	次破聲能生名句文(二)	001	次 破 聲 能 生 名 句 文  二  
ZH_X51_0825_001:0461a19	初正破(謂)	001	初 正 破  謂  
ZH_X51_0825_001:0461a20	次遮救(二)	001	次 遮 救  二  
ZH_X51_0825_001:0461a21	初遮音韻即名等異聲實有(若)	001	初 遮 音 韻 即 名 等 異 聲 實 有  若  
ZH_X51_0825_001:0461a22	次遮音韻非能詮須生名等(若)	001	次 遮 音 韻 非 能 詮 須 生 名 等  若  
ZH_X51_0825_001:0461a23	次雙破經部正理(二)	001	次 雙 破 經 部 正 理  二  
ZH_X51_0825_001:0461a24	初正破(聲)	001	初 正 破  聲  
ZH_X51_0825_001:0461a25	次結責(何)	001	次 結 責  何  
ZH_X51_0825_001:0461a26	次結成愚智(語)	001	次 結 成 愚 智  語  
ZH_X51_0825_001:0461a27	次申正義(四)	001	次 申 正 義  四  
ZH_X51_0825_001:0461a28	初顯假差別(然)	001	初 顯 假 差 別  然  
ZH_X51_0825_001:0461a29	二顯三用殊(名)	001	二 顯 三 用 殊  名  
ZH_X51_0825_001:0461a30	三明不即不離(此)	001	三 明 不 即 不 離  此  
ZH_X51_0825_001:0461a31	四會其相違(二)	001	四 會 其 相 違  二  
ZH_X51_0825_001:0461a32	初正會相違(由)	001	初 正 會 相 違  由  
ZH_X51_0825_001:0461a33	次躡蹟會違(且)	001	次 躡 蹟 會 違  且  
ZH_X51_0825_001:0461a35	○三傍破執隨眠等(二)	001	 三 傍 破 執 隨 眠 等  二  
ZH_X51_0825_001:0461a36	初正破(二)	001	初 正 破  二  
ZH_X51_0825_001:0461a37	初敘執(有)	001	初 敘 執  有  
ZH_X51_0825_001:0461a38	次破斥(彼)	001	次 破 斥  彼  
ZH_X51_0825_001:0461a39	次例餘(執)	001	次 例 餘  執  
ZH_X51_0825_001:0461a41	○三破無為法(二)	001	 三 破 無 為 法  二  
ZH_X51_0825_001:0461a42	初正破實有(二)	001	初 正 破 實 有  二  
ZH_X51_0825_001:0461a43	初依理總非(諸)	001	初 依 理 總 非  諸  
ZH_X51_0825_001:0461a44	次約義別破(二)	001	次 約 義 別 破  二  
ZH_X51_0825_001:0461a45	初正破(二)	001	初 正 破  二  
ZH_X51_0825_001:0461a46	初例有為總破(二)	001	初 例 有 為 總 破  二  
ZH_X51_0825_001:0461a47	初例破離色心等定有無為(且)	001	初 例 破 離 色 心 等 定 有 無 為  且  
ZH_X51_0825_001:0461a48	次立量顯無為即色心實性(然)	001	次 立 量 顯 無 為 即 色 心 實 性  然  
ZH_X51_0825_001:0461a49	次約一多別破(二)	001	次 約 一 多 別 破  二  
ZH_X51_0825_001:0461a50	初總徵(又)	001	初 總 徵  又  
ZH_X51_0825_001:0461a51	次別釋(二)	001	次 別 釋  二  
ZH_X51_0825_001:0461a52	初破體一(二)	001	初 破 體 一  二  
ZH_X51_0825_001:0461a53	初破虗空(若)	001	初 破 虗 空  若  
ZH_X51_0825_001:0461a54	次破餘二(一)	001	次 破 餘 二  一  
ZH_X51_0825_001:0461a55	次破體多(若)	001	次 破 體 多  若  
ZH_X51_0825_001:0461a56	次例餘(二)	001	次 例 餘  二  
ZH_X51_0825_001:0461a57	初准前例破(餘)	001	初 准 前 例 破  餘  
ZH_X51_0825_001:0461a58	次立比量破(又)	001	次 立 比 量 破  又  
ZH_X51_0825_001:0461a59	次顯示正義(三)	001	次 顯 示 正 義  三  
ZH_X51_0825_001:0461a60	初總標(然)	001	初 總 標  然  
ZH_X51_0825_001:0461a61	次別釋(二)	001	次 別 釋  二  
ZH_X51_0825_001:0461a62	初依識變假施設有(一)	001	初 依 識 變 假 施 設 有  一  
ZH_X51_0825_001:0462a01	次依法性假施設有(二)	001	次 依 法 性 假 施 設 有  二  
ZH_X51_0825_001:0462a02	初示法性名(二)	001	初 示 法 性 名  二  
ZH_X51_0825_001:0462a03	次出無為體(離)	001	次 出 無 為 體  離  
ZH_X51_0825_001:0462a04	三結示(故)	001	三 結 示  故  
ZH_X51_0825_001:0462a06	○次立量以顯唯識(二)	001	 次 立 量 以 顯 唯 識  二  
ZH_X51_0825_001:0462a07	初雙顯二取是相見分(外)	001	初 雙 顯 二 取 是 相 見 分  外  
ZH_X51_0825_001:0462a08	次結示唯識亦是假說(諸)	001	次 結 示 唯 識 亦 是 假 說  諸  
ZH_X51_0825_001:0462a10	○三結屬法執俱分(三)	001	 三 結 屬 法 執 俱 分  三  
ZH_X51_0825_001:0462a11	初標列(然)	001	初 標 列  然  
ZH_X51_0825_001:0462a12	次別釋(二)	001	次 別 釋  二  
ZH_X51_0825_001:0462a13	初俱生法執(三)	001	初 俱 生 法 執  三  
ZH_X51_0825_001:0462a14	初釋總名(俱)	001	初 釋 總 名  俱  
ZH_X51_0825_001:0462a15	次釋別相(此)	001	次 釋 別 相  此  
ZH_X51_0825_001:0462a16	三明斷位(此)	001	三 明 斷 位  此  
ZH_X51_0825_001:0462a17	次分別法執(三)	001	次 分 別 法 執  三  
ZH_X51_0825_001:0462a18	初釋總名(分)	001	初 釋 總 名  分  
ZH_X51_0825_001:0462a19	次釋別相(唯)	001	次 釋 別 相  唯  
ZH_X51_0825_001:0462a20	三明斷位(此)	001	三 明 斷 位  此  
ZH_X51_0825_001:0462a21	三結判(二)	001	三 結 判  二  
ZH_X51_0825_001:0462a22	初正判(二)	001	初 正 判  二  
ZH_X51_0825_001:0462a23	初判相質有無(二)	001	初 判 相 質 有 無  二  
ZH_X51_0825_001:0462a24	初判定有無(如)	001	初 判 定 有 無  如  
ZH_X51_0825_001:0462a25	次結成前義(是)	001	次 結 成 前 義  是  
ZH_X51_0825_001:0462a26	次判依徧有無(然)	001	次 判 依 徧 有 無  然  
ZH_X51_0825_001:0462a27	次引證(故)	001	次 引 證  故  
ZH_X51_0825_001:0462a29	○次結示心外境非所緣(二)	001	 次 結 示 心 外 境 非 所 緣  二  
ZH_X51_0825_001:0462a30	初明離識我法非所緣緣(如)	001	初 明 離 識 我 法 非 所 緣 緣  如  
ZH_X51_0825_001:0462a31	次明自心外蘊非所緣緣(二)	001	次 明 自 心 外 蘊 非 所 緣 緣  二  
ZH_X51_0825_001:0462a32	初簡異聚王所(現)	001	初 簡 異 聚 王 所  現  
ZH_X51_0825_001:0462a33	次簡同聚心所(問)	001	次 簡 同 聚 心 所  問  
ZH_X51_0825_001:0462a35	○三總結證成(由)	001	 三 總 結 證 成  由  
ZH_X51_0825_001:0462a37	○次釋假應依實難(二)	001	 次 釋 假 應 依 實 難  二  
ZH_X51_0825_001:0462a38	初難(有)	001	初 難  有  
ZH_X51_0825_001:0462a39	次釋(二)	001	次 釋  二  
ZH_X51_0825_001:0462a40	初正釋外難(三)	001	初 正 釋 外 難  三  
ZH_X51_0825_001:0462a41	初總破法喻(彼)	001	初 總 破 法 喻  彼  
ZH_X51_0825_001:0462a42	次別破法喻(二)	001	次 別 破 法 喻  二  
ZH_X51_0825_001:0462a43	初破喻(二)	001	初 破 喻  二  
ZH_X51_0825_001:0462a44	初破依類假說(三)	001	初 破 依 類 假 說  三  
ZH_X51_0825_001:0462a45	初正破(依)	001	初 正 破  依  
ZH_X51_0825_001:0462a46	次遮救(若)	001	次 遮 救  若  
ZH_X51_0825_001:0462a47	三結破(類)	001	三 結 破  類  
ZH_X51_0825_001:0462a48	次破依實假說(三)	001	次 破 依 實 假 說  三  
ZH_X51_0825_001:0462a49	初正破(依)	001	初 正 破  依  
ZH_X51_0825_001:0462a50	次遮救(若)	001	次 遮 救  若  
ZH_X51_0825_001:0462a51	三結破(由)	001	三 結 破  由  
ZH_X51_0825_001:0462a52	次破法(二)	001	次 破 法  二  
ZH_X51_0825_001:0462a53	初正破假說依真(又)	001	初 正 破 假 說 依 真  又  
ZH_X51_0825_001:0462a54	次結申假說正義(由)	001	次 結 申 假 說 正 義  由  
ZH_X51_0825_001:0462a55	三結難非理(是)	001	三 結 難 非 理  是  
ZH_X51_0825_001:0462a56	次示假說意(然)	001	次 示 假 說 意  然  
ZH_X51_0825_001:0462a58	○次釋後三句(二)	001	 次 釋 後 三 句  二  
ZH_X51_0825_001:0462a59	初結前標數(識)	001	初 結 前 標 數  識  
ZH_X51_0825_001:0462a60	次釋通別名(二)	001	次 釋 通 別 名  二  
ZH_X51_0825_001:0462a61	初釋三類別名(一)	001	初 釋 三 類 別 名  一  
ZH_X51_0825_001:0462a62	次釋能變通名(二)	001	次 釋 能 變 通 名  二  
ZH_X51_0825_001:0463a01	初總標(此)	001	初 總 標  此  
ZH_X51_0825_001:0463a02	次別釋(二)	001	次 別 釋  二  
ZH_X51_0825_001:0463a03	初釋因能變(一)	001	初 釋 因 能 變  一  
ZH_X51_0825_001:0463a04	次釋果能變(二)	001	次 釋 果 能 變  二  
ZH_X51_0825_001:0463a05	初總明(二)	001	初 總 明  二  
ZH_X51_0825_001:0463a06	次別釋(二)	001	次 別 釋  二  
ZH_X51_0825_001:0463a07	初等流果(等)	001	初 等 流 果  等  
ZH_X51_0825_001:0463a08	次異熟果(二)	001	次 異 熟 果  二  
ZH_X51_0825_001:0463a09	初正釋(異)	001	初 正 釋  異  
ZH_X51_0825_001:0463a10	次簡異(此)	001	次 簡 異  此  
ZH_X51_0825_001:0463a12	○次(二十三頌半廣)明識相顯前頌意(二)	001	 次  二 十 三 頌 半 廣  明 識 相 顯 前 頌 意  二  
ZH_X51_0825_001:0463a13	初(十四)行半頌明三能變識相(二)	001	初  十 四  行 半 頌 明 三 能 變 識 相  二  
ZH_X51_0825_001:0463a14	初廣釋三能變相(三)	001	初 廣 釋 三 能 變 相  三  
ZH_X51_0825_001:0463a15	初初能變相(三)	001	初 初 能 變 相  三  
ZH_X51_0825_001:0463a16	初末論設問(雖)	001	初 末 論 設 問  雖  
ZH_X51_0825_001:0463a17	次舉本頌答(頌)	001	次 舉 本 頌 答  頌  
ZH_X51_0825_001:0463a18	三末論釋成(二)	001	三 末 論 釋 成  二  
ZH_X51_0825_001:0463a19	初正釋頌文(八)	001	初 正 釋 頌 文  八  
ZH_X51_0825_001:0463a20	初自相等三門(二)	001	初 自 相 等 三 門  二  
ZH_X51_0825_001:0463a21	初正釋三門(二)	001	初 正 釋 三 門  二  
ZH_X51_0825_001:0463a22	初別釋(三)	001	初 別 釋  三  
ZH_X51_0825_001:0463a23	初自相門(論)	001	初 自 相 門  論  
ZH_X51_0825_001:0463a24	次果相門(此)	001	次 果 相 門  此  
ZH_X51_0825_001:0463a25	三因相門(此)	001	三 因 相 門  此  
ZH_X51_0825_001:0463a26	次總結(初)	001	次 總 結  初  
ZH_X51_0825_001:0463a27	次重明因相(三)	001	次 重 明 因 相  三  
ZH_X51_0825_001:0463a28	初標(一)	001	初 標  一  
ZH_X51_0825_001:0463a29	次解(四)	001	次 解  四  
ZH_X51_0825_001:0463a30	初明種子相(二)	001	初 明 種 子 相  二  
ZH_X51_0825_001:0463a31	初正釋(二)	001	初 正 釋  二  
ZH_X51_0825_001:0463a32	初正示種相(此)	001	初 正 示 種 相  此  
ZH_X51_0825_001:0463a33	次明種實有(二)	001	次 明 種 實 有  二  
ZH_X51_0825_001:0463a34	初正釋(雖)	001	初 正 釋  雖  
ZH_X51_0825_001:0463a35	次釋妨(二)	001	次 釋 妨  二  
ZH_X51_0825_001:0463a36	初難(此)	001	初 難  此  
ZH_X51_0825_001:0463a37	次釋(二)	001	次 釋  二  
ZH_X51_0825_001:0463a38	初正釋(若)	001	初 正 釋  若  
ZH_X51_0825_001:0463a39	次簡別(然)	001	次 簡 別  然  
ZH_X51_0825_001:0463a40	次結判(二)	001	次 結 判  二  
ZH_X51_0825_001:0463a41	初判屬相分(種)	001	初 判 屬 相 分  種  
ZH_X51_0825_001:0463a42	次判屬三性(二)	001	次 判 屬 三 性  二  
ZH_X51_0825_001:0463a43	初正判(諸)	001	初 正 判  諸  
ZH_X51_0825_001:0463a44	次釋妨(二)	001	次 釋 妨  二  
ZH_X51_0825_001:0463a45	初難(若)	001	初 難  若  
ZH_X51_0825_001:0463a46	次釋(雖)	001	次 釋  雖  
ZH_X51_0825_001:0463a47	二明本新義(三)	001	二 明 本 新 義  三  
ZH_X51_0825_001:0464a01	初淨月等師唯立本有(三)	001	初 淨 月 等 師 唯 立 本 有  三  
ZH_X51_0825_001:0464a02	初釋義(此)	001	初 釋 義  此  
ZH_X51_0825_001:0464a03	次引證(二)	001	次 引 證  二  
ZH_X51_0825_001:0464a04	初引教(如)	001	初 引 教  如  
ZH_X51_0825_001:0464a05	次引理(又)	001	次 引 理  又  
ZH_X51_0825_001:0464a06	三結示(如)	001	三 結 示  如  
ZH_X51_0825_001:0464a07	次難陀等師唯立新熏(三)	001	次 難 陀 等 師 唯 立 新 熏  三  
ZH_X51_0825_001:0464a08	初釋義(有)	001	初 釋 義  有  
ZH_X51_0825_001:0464a09	次引證(二)	001	次 引 證  二  
ZH_X51_0825_001:0464a10	初引教(如)	001	初 引 教  如  
ZH_X51_0825_001:0464a11	次引理(二)	001	次 引 理  二  
ZH_X51_0825_001:0464a12	初證有漏(又)	001	初 證 有 漏  又  
ZH_X51_0825_001:0464a13	次證無漏(無)	001	次 證 無 漏  無  
ZH_X51_0825_001:0464a14	三會違(二)	001	三 會 違  二  
ZH_X51_0825_001:0464a15	初會本有五種性別(三)	001	初 會 本 有 五 種 性 別  三  
ZH_X51_0825_001:0464a16	初標(有)	001	初 標  有  
ZH_X51_0825_001:0464a17	次釋(即)	001	次 釋  即  
ZH_X51_0825_001:0464a18	三結(故)	001	三 結  故  
ZH_X51_0825_001:0464a19	次會地獄成就三根(所)	001	次 會 地 獄 成 就 三 根  所  
ZH_X51_0825_001:0464a20	三護法正義新本合論(三)	001	三 護 法 正 義 新 本 合 論  三  
ZH_X51_0825_001:0464a21	初正釋二類(二)	001	初 正 釋 二 類  二  
ZH_X51_0825_001:0464a22	初標(有)	001	初 標  有  
ZH_X51_0825_001:0464a23	次釋(二)	001	次 釋  二  
ZH_X51_0825_001:0464a24	初本有(一)	001	初 本 有  一  
ZH_X51_0825_001:0464a25	次始起(二)	001	次 始 起  二  
ZH_X51_0825_001:0464a26	次斥前互闕(二)	001	次 斥 前 互 闕  二  
ZH_X51_0825_001:0464a27	初破淨月唯本有(二)	001	初 破 淨 月 唯 本 有  二  
ZH_X51_0825_001:0464a28	初正破(二)	001	初 正 破  二  
ZH_X51_0825_001:0464a29	初明違理(二)	001	初 明 違 理  二  
ZH_X51_0825_001:0464a30	初約因緣義破不從熏生(三)	001	初 約 因 緣 義 破 不 從 熏 生  三  
ZH_X51_0825_001:0464a31	初標(若)	001	初 標  若  
ZH_X51_0825_001:0464a32	次釋(二)	001	次 釋  二  
ZH_X51_0825_001:0464a33	初引證(如)	001	初 引 證  如  
ZH_X51_0825_001:0464a34	次引論(攝)	001	次 引 論  攝  
ZH_X51_0825_001:0464a35	三結(唯)	001	三 結  唯  
ZH_X51_0825_001:0464a36	次約因緣義破由熏增長(非)	001	次 約 因 緣 義 破 由 熏 增 長  非  
ZH_X51_0825_001:0464a37	次明違教(又)	001	次 明 違 教  又  
ZH_X51_0825_001:0464a38	次結責(故)	001	次 結 責  故  
ZH_X51_0825_001:0464a39	次破難陀唯新熏(二)	001	次 破 難 陀 唯 新 熏  二  
ZH_X51_0825_001:0464a40	初正破(二)	001	初 正 破  二  
ZH_X51_0825_001:0464a41	初明違理(二)	001	初 明 違 理  二  
ZH_X51_0825_001:0464a42	初正明違理(二)	001	初 正 明 違 理  二  
ZH_X51_0825_001:0464a43	初斥非(二)	001	初 斥 非  二  
ZH_X51_0825_001:0464a44	初約有為無漏無因破(若)	001	初 約 有 為 無 漏 無 因 破  若  
ZH_X51_0825_001:0464a45	次遮性淨為無漏生因(三)	001	次 遮 性 淨 為 無 漏 生 因  三  
ZH_X51_0825_001:0464a46	初出彼所憑(分)	001	初 出 彼 所 憑  分  
ZH_X51_0825_001:0464a47	次破彼謬解(二)	001	次 破 彼 謬 解  二  
ZH_X51_0825_001:0464a48	初徵(而)	001	初 徵  而  
ZH_X51_0825_001:0464a49	次破(三)	001	次 破  三  
ZH_X51_0825_001:0464a50	初破以空理為無漏因(若)	001	初 破 以 空 理 為 無 漏 因  若  
ZH_X51_0825_001:0464a51	次破以即心為無漏因(若)	001	次 破 以 即 心 為 無 漏 因  若  
ZH_X51_0825_001:0464a52	三破有漏心性是無漏(二)	001	三 破 有 漏 心 性 是 無 漏  二  
ZH_X51_0825_001:0464a53	初以有漏例無漏(若)	001	初 以 有 漏 例 無 漏  若  
ZH_X51_0825_001:0464a54	次以異生例聖者(二)	001	次 以 異 生 例 聖 者  二  
ZH_X51_0825_001:0465a01	初正例(又)	001	初 正 例  又  
ZH_X51_0825_001:0465a02	次破救(若)	001	次 破 救  若  
ZH_X51_0825_001:0465a03	三申經正義(然)	001	三 申 經 正 義  然  
ZH_X51_0825_001:0465a04	次顯正(由)	001	次 顯 正  由  
ZH_X51_0825_001:0465a05	次通前所引(四)	001	次 通 前 所 引  四  
ZH_X51_0825_001:0465a06	初通內種定有熏習(諸)	001	初 通 內 種 定 有 熏 習  諸  
ZH_X51_0825_001:0465a07	二通無漏由聞熏習(二)	001	二 通 無 漏 由 聞 熏 習  二  
ZH_X51_0825_001:0465a08	初明亦熏本無漏種(其)	001	初 明 亦 熏 本 無 漏 種  其  
ZH_X51_0825_001:0465a09	次判二性為緣亦異(聞)	001	次 判 二 性 為 緣 亦 異  聞  
ZH_X51_0825_001:0465a10	三通依障建立種性(二)	001	三 通 依 障 建 立 種 性  二  
ZH_X51_0825_001:0465a11	初正釋(依)	001	初 正 釋  依  
ZH_X51_0825_001:0465a12	次通妨(然)	001	次 通 妨  然  
ZH_X51_0825_001:0465a13	四通三根依當可生(既)	001	四 通 三 根 依 當 可 生  既  
ZH_X51_0825_001:0465a14	次明違教(然)	001	次 明 違 教  然  
ZH_X51_0825_001:0465a15	次結責(故)	001	次 結 責  故  
ZH_X51_0825_001:0465a16	三結示正義(由)	001	三 結 示 正 義  由  
ZH_X51_0825_001:0465a17	三明種子義○	001	三 明 種 子 義  
ZH_X51_0825_001:0465a18	四明熏習義○	001	四 明 熏 習 義  
ZH_X51_0825_001:0465a19	三結○	001	三 結  
ZH_X51_0825_001:0465a20	二不可知等三門○	001	二 不 可 知 等 三 門  
ZH_X51_0825_001:0465a21	三相應門○	001	三 相 應 門  
ZH_X51_0825_001:0465a22	四受俱門○	001	四 受 俱 門  
ZH_X51_0825_001:0465a23	五三性門○	001	五 三 性 門  
ZH_X51_0825_001:0465a24	六心所例王門○	001	六 心 所 例 王 門  
ZH_X51_0825_001:0465a25	七因果譬喻門○	001	七 因 果 譬 喻 門  
ZH_X51_0825_001:0465a26	八伏斷位次門○	001	八 伏 斷 位 次 門  
ZH_X51_0825_001:0465a27	次證有本識○	001	次 證 有 本 識  
ZH_X51_0825_001:0465a28	次第二能變○	001	次 第二能變  
ZH_X51_0825_001:0465a29	三第三能變○	001	三 第 三 能 變  
ZH_X51_0825_001:0465a30	次會三能變俱轉示二諦○	001	次 會 三 能 變 俱 轉 示 二 諦  
ZH_X51_0825_001:0465a31	次九行頌廣釋外難顯唯識○	001	次 九 行 頌 廣 釋 外 難 顯 唯 識  
ZH_X51_0825_001:0465a33	○三明種子義(三)	001	 三 明 種 子 義  三  
ZH_X51_0825_001:0465a34	初明內種(三)	001	初 明 內 種  三  
ZH_X51_0825_001:0465a35	初總標(然)	001	初 總 標  然  
ZH_X51_0825_001:0465a36	次別釋(六)	001	次 別 釋  六  
ZH_X51_0825_001:0465a37	初剎那滅(一)	001	初 剎 那 滅  一  
ZH_X51_0825_001:0465a38	二果俱有(二)	001	二 果 俱 有  二  
ZH_X51_0825_001:0465a39	三恒隨轉(三)	001	三 恒 隨 轉  三  
ZH_X51_0825_001:0465a40	四性決定(四)	001	四 性 決 定  四  
ZH_X51_0825_001:0465a41	五待眾緣(五)	001	五 待 眾 緣  五  
ZH_X51_0825_001:0465a42	六引自果(六)	001	六 引 自 果  六  
ZH_X51_0825_001:0465a43	三結示(唯)	001	三 結 示  唯  
