segmentnr	original	folio	analyzed
ZH_X30_0602_007:0353a09	楞嚴明十四無畏功德。一者由我不自觀音以觀	007	楞 嚴 明 十 四 無 畏 功 德  一 者 由 我 不 自 觀 音 以 觀 
ZH_X30_0602_007:0353a10	觀者。令苦眾生觀其音聲即得解脫。夫不自觀音	007	觀 者  令 苦 眾 生 觀 其 音 聲 即 得 解 脫  夫 不 自 觀 音 
ZH_X30_0602_007:0353a11	以觀觀者。即離塵復性之真觀也。離塵復性則諸	007	以 觀 觀 者  即 離 塵 復 性 之 真 觀 也  離 塵 復 性 則 諸 
ZH_X30_0602_007:0353a12	妄自脫。故能令苦眾生蒙我真觀即得解脫。二者	007	妄 自 脫  故 能 令 苦 眾 生 蒙 我 真 觀 即 得 解 脫  二 者 
ZH_X30_0602_007:0353a13	知見旋復則火不能燒。三者觀聽旋復則水不能	007	知 見 旋 復 則 火 不 能 燒  三 者 觀 聽 旋 復 則 水 不 能 
ZH_X30_0602_007:0353a14	溺。葢見覺屬火聞聽屬水。知見旋則離火塵。聞聽	007	溺  葢 見 覺 屬 火 聞 聽 屬 水  知 見 旋 則 離 火 塵  聞 聽 
ZH_X30_0602_007:0353a15	旋則離水塵。幻塵既離真性斯復。所以無能燒溺	007	旋 則 離 水 塵  幻 塵 既 離 真 性 斯 復  所 以 無 能 燒 溺 
ZH_X30_0602_007:0353a16	也。能旋見聽則煩惱之火貪愛之水皆無能燒溺	007	也  能 旋 見 聽 則 煩 惱 之 火 貪 愛 之 水 皆 無 能 燒 溺 
ZH_X30_0602_007:0353a17	矣。四者滅妄斷殺則鬼不能害。皆由離塵復性之	007	矣  四 者 滅 妄 斷 殺 則 鬼 不 能 害  皆 由 離 塵 復 性 之 
ZH_X30_0602_007:0353a18	觀力加被也。昔于相國問黑風漂墮之義於紫玉。	007	觀 力 加 被 也  昔 于 相 國 問 黑 風 漂 墮 之 義 於 紫 玉  
ZH_X30_0602_007:0353a19	玉呼名諷之。公悖然變色。玉曰。便是黑風漂墮。則	007	玉 呼 名 諷 之  公 悖 然 變 色  玉 曰  便 是 黑 風 漂 墮  則 
ZH_X30_0602_007:0353a20	凡不能離塵循聲流轉。一念漂墮皆如是也。△二	007	凡 不 能 離 塵 循 聲 流 轉  一 念 漂 墮 皆 如 是 也   二 
ZH_X30_0602_007:0353a21	脫刑戮。	007	脫 刑 戮  
ZH_X30_0602_007:0353a22	若復有人臨當被害(至)而得解脫。	007	若 復 有 人 臨 當 被 害  至  而 得 解 脫  
ZH_X30_0602_007:0353a23	此由菩薩以六根消復。同於聲聽之力。加之以同	007	此 由 菩 薩 以 六 根 消 復  同 於 聲 聽 之 力  加 之 以 同 
ZH_X30_0602_007:0353a24	聲聽無復形礙。故使刀兵猶割水吹光。性無損動。	007	聲 聽 無 復 形 礙  故 使 刀 兵 猶 割 水 吹 光  性 無 損 動  
ZH_X30_0602_007:0353b01	△三脫鬼害。	007	 三 脫 鬼 害  
ZH_X30_0602_007:0353b02	若三千大千國土滿中夜叉(至)況復加害。	007	若 三千大千國土 滿 中 夜 叉  至  況 復 加 害  
ZH_X30_0602_007:0353b03	此假聞熏精明之力。爍諸癡暗故鬼不能視。斷滅	007	此 假 聞 熏 精 明 之 力  爍 諸 癡 暗 故 鬼 不 能 視  斷 滅 
ZH_X30_0602_007:0353b04	妄想心無殺害。故害不能加。△四脫囚繫。	007	妄 想 心 無 殺 害  故 害 不 能 加   四 脫 囚 繫  
ZH_X30_0602_007:0353b05	設復有人若有罪若無罪(至)皆悉斷壞即得解脫。	007	設 復 有 人 若 有 罪 若 無 罪  至  皆 悉 斷 壞 即 得 解 脫  
ZH_X30_0602_007:0353b06	此由音性圓消離諸塵妄之力加之。塵妄既離則	007	此 由 音 性 圓 消 離 諸 塵 妄 之 力 加 之  塵 妄 既 離 則 
ZH_X30_0602_007:0353b07	身相不有。故枷鎻自脫。△五脫怨賊。	007	身 相 不 有  故 枷 鎻 自 脫   五 脫 怨 賊  
ZH_X30_0602_007:0353b08	若三千大千國土滿中怨賊(至)稱其名故即得解脫。	007	若 三千大千國土 滿 中 怨 賊  至  稱 其 名 故 即 得 解 脫  
ZH_X30_0602_007:0353b09	此由滅音圓聞徧生慈力加之。葢因聞兩立則物	007	此 由 滅 音 圓 聞 徧 生 慈 力 加 之  葢 因 聞 兩 立 則 物 
ZH_X30_0602_007:0353b10	我成敵。滅音圓聞則內外無待。故能徧慈而却敵也。	007	我 成 敵  滅 音 圓 聞 則 內 外 無 待  故 能 徧 慈 而 却 敵 也  
ZH_X30_0602_007:0353b11	無盡意。觀世音菩薩摩訶薩威神之力巍巍如是。	007	無 盡 意  觀 世 音 菩薩摩訶薩 威 神 之 力 巍 巍 如 是  
ZH_X30_0602_007:0353b12	結外業也。△二脫內業三。初婬。	007	結 外 業 也   二 脫 內 業 三  初 婬  
ZH_X30_0602_007:0353b13	若有眾生多於婬欲(至)便得離慾。	007	若 有 眾 生 多 於 婬 欲  至  便 得 離 慾  
ZH_X30_0602_007:0353b14	此由熏聞離塵色所不劫之力加之。葢眾生以欲	007	此 由 熏 聞 離 塵 色 所 不 劫 之 力 加 之  葢 眾 生 以 欲 
ZH_X30_0602_007:0353b15	習合塵故為色劫。一蒙妙力則欲愛乾枯根境而	007	習 合 塵 故 為 色 劫  一 蒙 妙 力 則 欲 愛 乾 枯 根 境 而 
ZH_X30_0602_007:0353b16	不偶。雖有妖色不能劫動。故便得離慾。△二恚。	007	不 偶  雖 有 妖 色 不 能 劫 動  故 便 得 離 慾   二 恚  
ZH_X30_0602_007:0353b17	若多嗔恚。常念恭敬觀世音菩薩。便得離嗔。	007	若 多 嗔 恚  常 念 恭 敬 觀 世 音 菩 薩  便 得 離 嗔  
ZH_X30_0602_007:0353b18	此由根境圓融無能所對之力加之。葢嗔由違情	007	此 由 根 境 圓 融 無 能 所 對 之 力 加 之  葢 嗔 由 違 情 
ZH_X30_0602_007:0353b19	而起對境而生。圓融則無違無對。則不嗔矣。△三	007	而 起 對 境 而 生  圓 融 則 無 違 無 對  則 不 嗔 矣   三 
ZH_X30_0602_007:0353b20	癡。	007	癡  
ZH_X30_0602_007:0353b21	若多愚癡。常念恭敬觀世音菩薩。便得離癡。	007	若 多 愚 癡  常 念 恭 敬 觀 世 音 菩 薩  便 得 離 癡  
ZH_X30_0602_007:0353b22	此由消塵旋明朗徹無礙之力加之。以癡由妄塵	007	此 由 消 塵 旋 明 朗 徹 無 礙 之 力 加 之  以 癡 由 妄 塵 
ZH_X30_0602_007:0353b23	所蔽無明所覆。消塵則無蔽朗徹則無覆。故能旋	007	所 蔽 無 明 所 覆  消 塵 則 無 蔽 朗 徹 則 無 覆  故 能 旋 
ZH_X30_0602_007:0353b24	復真明永離癡暗也。內業有十。而壞滅法身唯婬	007	復 真 明 永 離 癡 暗 也  內 業 有 十  而 壞 滅 法 身 唯 婬 
ZH_X30_0602_007:0353c01	怒癡為甚。故舉三以兼餘。上皆依楞嚴漸說。自頓	007	怒 癡 為 甚  故 舉 三 以 兼 餘  上 皆 依 楞 嚴 漸 說  自 頓 
ZH_X30_0602_007:0353c02	言之。三毒水泡元無自性。知觀觀者豈不便離。	007	言 之  三 毒 水 泡 元 無 自 性  知 觀 觀 者 豈 不 便 離  
ZH_X30_0602_007:0353c03	無盡意觀世音菩薩(至)是故眾生常應心念。	007	無 盡 意 觀 世 音 菩 薩  至  是 故 眾 生 常 應 心 念  
ZH_X30_0602_007:0353c04	結內業也。△三示福應。	007	結 內 業 也   三 示 福 應  
ZH_X30_0602_007:0353c05	若有女人設欲求男(至)無盡意觀世音菩薩有如是	007	若 有 女 人 設 欲 求 男  至  無 盡 意 觀 世 音 菩 薩 有 如 是 
ZH_X30_0602_007:0353c06	力。	007	力  
ZH_X30_0602_007:0353c07	融形涉世徧事諸佛。為法王子之力加之。即生男。	007	融 形 涉 世 徧 事 諸 佛  為 法 王 子 之 力 加 之  即 生 男  
ZH_X30_0602_007:0353c08	圓通合界承順如來。受領法門之力加之。即生女。	007	圓 通 合 界 承 順 如 來  受 領 法 門 之 力 加 之  即 生 女  
ZH_X30_0602_007:0353c09	若有眾生(至)於百千萬億劫不可窮盡。	007	若 有 眾 生  至  於 百 千 萬 億 劫 不可窮盡  
ZH_X30_0602_007:0353c10	此第十四無畏功德也。楞嚴云。此大千界現住世	007	此 第 十 四 無 畏 功 德 也  楞 嚴 云  此 大 千 界 現 住 世 
ZH_X30_0602_007:0353c11	間有六十二億恒河沙菩薩。修法垂範方便利生。	007	間 有 六 十 二 億 恒 河 沙 菩 薩  修 法 垂 範 方 便 利 生  
ZH_X30_0602_007:0353c12	持名供養得無量福。而持觀音名其福齊等。葢由	007	持 名 供 養 得 無 量 福  而 持 觀 音 名 其 福 齊 等  葢 由 
ZH_X30_0602_007:0353c13	觀音得真圓通。一多平等彼我無二故也。	007	觀 音 得 真 圓 通  一 多 平 等 彼 我 無 二 故 也  
ZH_X30_0602_007:0353c14	無盡意(至)得如是無量無邊福德之利。	007	無 盡 意  至  得 如 是 無量無邊 福 德 之 利  
ZH_X30_0602_007:0353c15	總結十四無畏之福。△三問現形說法。	007	總 結 十 四 無 畏 之 福   三 問 現 形 說 法  
ZH_X30_0602_007:0353c16	無盡意菩薩白佛言(至)其事云何。	007	無 盡 意 菩 薩 白 佛 言  至  其 事 云 何  
ZH_X30_0602_007:0353c17	△四佛答所現二。初且略敘。	007	 四 佛 答 所 現 二  初 且 略 敘  
ZH_X30_0602_007:0353c18	即三十二應也。觀音於楞嚴會上自說。我昔供養	007	即 三 十 二 應 也  觀 音 於 楞 嚴 會 上 自 說  我 昔 供 養 
ZH_X30_0602_007:0353c19	觀音如來。授我如幻聞熏聞修金剛三昧。與佛如	007	觀 音 如 來  授 我 如 幻 聞 熏 聞 修 金 剛 三 昧  與 佛 如 
ZH_X30_0602_007:0353c20	來同慈力故。令我身成三十二應入諸國土。始自	007	來 同 慈 力 故  令 我 身 成 三 十 二 應 入 諸 國 土  始 自 
ZH_X30_0602_007:0353c21	佛身終至人非人等。為三十二。皆以無作妙力自	007	佛 身 終 至 人 非 人 等  為 三 十 二  皆 以 無 作 妙 力 自 
ZH_X30_0602_007:0353c22	在成就。△二正科釋二。初現四聖。	007	在 成 就   二 正 科 釋 二  初 現 四 聖  
ZH_X30_0602_007:0353c23	佛告無盡意菩薩(至)而為說法。	007	佛 告 無 盡 意 菩 薩  至  而 為 說 法  
ZH_X30_0602_007:0353c24	但舉三聖者。妙音品開菩薩位。此則合在佛位。應	007	但 舉 三 聖 者  妙 音 品 開 菩 薩 位  此 則 合 在 佛 位  應 
ZH_X30_0602_007:0354a01	讀為膺。當其根而應之也。△二現六凡眾三。初	007	讀 為 膺  當 其 根 而 應 之 也   二 現 六 凡 眾 三  初 
ZH_X30_0602_007:0354a02	現天。	007	現 天  
ZH_X30_0602_007:0354a03	應以梵王身得度者(至)而為說法。	007	應 以 梵 王 身 得 度 者  至  而 為 說 法  
ZH_X30_0602_007:0354a04	梵王為初禪天主。帝釋為忉利天主。自在天居欲	007	梵 王 為 初 禪 天 主  帝 釋 為 忉 利 天 主  自 在 天 居 欲 
ZH_X30_0602_007:0354a05	界頂。大自在天居色界頂。天大將軍統領鬼神。四	007	界 頂  大 自 在 天 居 色 界 頂  天 大 將 軍 統 領 鬼 神  四 
ZH_X30_0602_007:0354a06	天王統領世界。毗沙門居北方為最尊。初二從顯	007	天 王 統 領 世 界  毗 沙 門 居 北 方 為 最 尊  初 二 從 顯 
ZH_X30_0602_007:0354a07	舉。以梵釋常隨佛故。次四從總舉。謂欲界之總。色	007	舉  以 梵 釋 常 隨 佛 故  次 四 從 總 舉  謂 欲 界 之 總  色 
ZH_X30_0602_007:0354a08	界之總。鬼神之總。世界之總也。△二現人三。初	007	界 之 總  鬼 神 之 總  世 界 之 總 也   二 現 人 三  初 
ZH_X30_0602_007:0354a09	現王臣士庶。	007	現 王 臣 士 庶  
ZH_X30_0602_007:0354a10	應以小王身得度者(至)而為說法。	007	應 以 小 王 身 得 度 者  至  而 為 說 法  
ZH_X30_0602_007:0354a11	妙音品先言輪王。次言小王。乃總別兼舉。此從總	007	妙 音 品 先 言 輪 王  次 言 小 王  乃 總 別 兼 舉  此 從 總 
ZH_X30_0602_007:0354a12	舉。合依正法華言輪王。輪王統四天下。小王治一	007	舉  合 依 正 法 華 言 輪 王  輪 王 統 四 天 下  小 王 治 一 
ZH_X30_0602_007:0354a13	邦國。長者族姓推尊。居士清節養素。宰官判斷邦	007	邦 國  長 者 族 姓 推 尊  居 士 清 節 養 素  宰 官 判 斷 邦 
ZH_X30_0602_007:0354a14	邑。婆羅門術數攝衛。△二現入道四眾。	007	邑  婆 羅 門 術 數 攝 衛   二 現 入 道 四 眾  
ZH_X30_0602_007:0354a15	應以比丘比丘尼(至)而為說法。	007	應 以 比 丘 比 丘 尼  至  而 為 說 法  
ZH_X30_0602_007:0354a16	前二出家持大戒。後二出家持五戒。△三現主婦	007	前 二 出 家 持 大 戒  後 二 出 家 持 五 戒   三 現 主 婦 
ZH_X30_0602_007:0354a17	童真。	007	童 真  
ZH_X30_0602_007:0354a18	應以長者居士(至)而為說法。	007	應 以 長 者 居 士  至  而 為 說 法  
ZH_X30_0602_007:0354a19	△三現神。	007	 三 現 神  
ZH_X30_0602_007:0354a20	應以天龍夜叉(至)而為說法。	007	應 以 天 龍 夜 叉  至  而 為 說 法  
ZH_X30_0602_007:0354a21	手執金剛護佛法者。六凡止舉天人神三類者。舉	007	手 執 金 剛 護 佛 法 者  六 凡 止 舉 天 人 神 三 類 者  舉 
ZH_X30_0602_007:0354a22	得度者而已。若地獄鬼畜方沈幽昏未應得度。則	007	得 度 者 而 已  若 地 獄 鬼 畜 方 沈 幽 昏 未 應 得 度  則 
ZH_X30_0602_007:0354a23	漸滅其苦。於頌見之。△三結所現。	007	漸 滅 其 苦  於 頌 見 之   三 結 所 現  
ZH_X30_0602_007:0354a24	無盡意是觀世音菩薩(至)度脫眾生。	007	無 盡 意 是 觀 世 音 菩 薩  至  度 脫 眾 生  
ZH_X30_0602_007:0354b01	△五勸興供養。	007	 五 勸 興 供 養  
ZH_X30_0602_007:0354b02	是故汝等(至)皆號之為施無畏者。	007	是 故 汝 等  至  皆 號 之 為 施 無 畏 者  
ZH_X30_0602_007:0354b03	△六無盡興供。	007	 六 無 盡 興 供  
ZH_X30_0602_007:0354b04	無盡意菩薩白佛言(至)受此法施珍寶纓珞。	007	無 盡 意 菩 薩 白 佛 言  至  受 此 法 施 珍 寶 纓 珞  
ZH_X30_0602_007:0354b05	妙音供養釋迦特奉纓珞。無盡供養觀音亦奉纓	007	妙 音 供 養 釋 迦 特 奉 纓 珞  無 盡 供 養 觀 音 亦 奉 纓 
ZH_X30_0602_007:0354b06	珞。皆表法寶莊嚴。故曰法施。	007	珞  皆 表 法 寶 莊 嚴  故 曰 法 施  
ZH_X30_0602_007:0354b07	時觀世音菩薩不肯受之(至)一分奉多寶佛塔。	007	時 觀 世 音 菩 薩 不 肯 受 之  至  一 分 奉 多 寶 佛 塔  
ZH_X30_0602_007:0354b08	普門性中本無施受。但為物故施愍物故受也。分	007	普 門 性 中 本 無 施 受  但 為 物 故 施 愍 物 故 受 也  分 
ZH_X30_0602_007:0354b09	奉二尊者。示為四眾莊嚴福聚也。△七總結前文。	007	奉 二 尊 者  示 為 四 眾 莊 嚴 福 聚 也   七 總 結 前 文  
ZH_X30_0602_007:0354b10	無盡意觀世音菩薩(至)遊於娑婆世界。	007	無 盡 意 觀 世 音 菩 薩  至  遊 於 娑婆世界  
ZH_X30_0602_007:0354b11	結答云何遊此之問。△八以偈重頌二。初無盡	007	結 答 云 何 遊 此 之 問   八 以 偈 重 頌 二  初 無 盡 
ZH_X30_0602_007:0354b12	重聞。	007	重 聞  
ZH_X30_0602_007:0354b13	爾時無盡意菩薩以偈問曰。	007	爾 時 無 盡 意 菩 薩 以 偈 問 曰  
ZH_X30_0602_007:0354b14	世尊妙相具。我今重問彼。佛子何因緣。名為觀世音。	007	世 尊 妙 相 具  我 今 重 問 彼  佛 子 何 因 緣  名 為 觀 世 音  
ZH_X30_0602_007:0354b15	△二釋尊偈答二。初總敘。	007	 二 釋 尊 偈 答 二  初 總 敘  
ZH_X30_0602_007:0354b16	具足妙相尊(至)能滅諸有苦。	007	具 足 妙 相 尊  至  能 滅 諸 有 苦  
ZH_X30_0602_007:0354b17	△二別答八。初頌脫外業五。初頌三災。	007	 二 別 答 八  初 頌 脫 外 業 五  初 頌 三 災  
ZH_X30_0602_007:0354b18	假使興害意(至)波浪不能沒。	007	假 使 興 害 意  至  波 浪 不 能 沒  
ZH_X30_0602_007:0354b19	於水言漂。浪則兼風災。自此至電雹消散。皆頌外	007	於 水 言 漂  浪 則 兼 風 災  自 此 至 電 雹 消 散  皆 頌 外 
ZH_X30_0602_007:0354b20	業。在長行為十四無畏。而頌文事相不同。又加傍	007	業  在 長 行 為 十 四 無 畏  而 頌 文 事 相 不 同  又 加 傍 
ZH_X30_0602_007:0354b21	頌者。十四無畏特舉大略。實具一切功德故也。次	007	頌 者  十 四 無 畏 特 舉 大 略  實 具 一切功德 故 也  次 
ZH_X30_0602_007:0354b22	傍頌險難。	007	傍 頌 險 難  
ZH_X30_0602_007:0354b23	或在須彌峯(至)不能損一毛。	007	或 在 須 彌 峯  至  不 能 損 一 毛  
ZH_X30_0602_007:0354b24	言峻利之極尚不能損。況其小難。△二頌怨賊。	007	言 峻 利 之 極 尚 不 能 損  況 其 小 難   二 頌 怨 賊  
ZH_X30_0602_007:0354c01	或值怨賊遶。各執刀加害。念彼觀音力。咸即起慈心。	007	或 值 怨 賊 遶  各 執 刀 加 害  念 彼 觀 音 力  咸 即 起 慈 心  
ZH_X30_0602_007:0354c02	△三頌刑戮。	007	 三 頌 刑 戮  
ZH_X30_0602_007:0354c03	或遭王難苦。臨刑欲壽終。念彼觀音力。刀尋段段壞。	007	或 遭 王 難 苦  臨 刑 欲 壽 終  念 彼 觀 音 力  刀 尋 段 段 壞  
ZH_X30_0602_007:0354c04	△四頌囚繫。	007	 四 頌 囚 繫  
ZH_X30_0602_007:0354c05	或因禁枷鎻。手足被杻械。念彼觀音力。釋然得解脫。	007	或 因 禁 枷 鎻  手 足 被 杻 械  念 彼 觀 音 力  釋 然 得 解 脫  
ZH_X30_0602_007:0354c06	次傍頌詛毒。	007	次 傍 頌 詛 毒  
ZH_X30_0602_007:0354c07	呪詛諸毒藥。所欲害身者。念彼觀音力。還著於本人。	007	呪 詛 諸 毒 藥  所 欲 害 身 者  念 彼 觀 音 力  還 著 於 本 人  
ZH_X30_0602_007:0354c08	具正念者橫逆莫加。出爾反爾自貽伊戚。△五頌	007	具 正 念 者 橫 逆 莫 加  出 爾 反 爾 自 貽 伊 戚   五 頌 
ZH_X30_0602_007:0354c09	鬼害。	007	鬼 害  
ZH_X30_0602_007:0354c10	或遇惡羅剎。毒龍諸鬼等。念彼觀音力。時悉不敢害。	007	或 遇 惡 羅 剎  毒 龍 諸 鬼 等  念 彼 觀 音 力  時 悉 不 敢 害  
ZH_X30_0602_007:0354c11	次傍頌蛇獸。	007	次 傍 頌 蛇 獸  
ZH_X30_0602_007:0354c12	若惡獸圍遶(至)尋聲自回去。	007	若 惡 獸 圍 遶  至  尋 聲 自 回 去  
ZH_X30_0602_007:0354c13	信謂兕無所投角兵無所投刃也。次傍頌災變。	007	信 謂 兕 無 所 投 角 兵 無 所 投 刃 也  次 傍 頌 災 變  
ZH_X30_0602_007:0354c14	雲雷鼓掣電。降雹澍大雨。念彼觀音力。應時得消散。	007	雲 雷 鼓 掣 電  降 雹 澍 大 雨  念 彼 觀 音 力  應 時 得 消 散  
ZH_X30_0602_007:0354c15	雷電調適為常。鼓掣為變。陰包陽則為凝雹。陰過	007	雷 電 調 適 為 常  鼓 掣 為 變  陰 包 陽 則 為 凝 雹  陰 過 
ZH_X30_0602_007:0354c16	陽則為大雨。是皆災變故欲其消散也。△二頌脫	007	陽 則 為 大 雨  是 皆 災 變 故 欲 其 消 散 也   二 頌 脫 
ZH_X30_0602_007:0354c17	內業。	007	內 業  
ZH_X30_0602_007:0354c18	眾生被困厄。無量苦逼身。觀音妙智力。能救世間苦。	007	眾 生 被 困 厄  無 量 苦 逼 身  觀 音 妙 智 力  能 救 世 間 苦  
ZH_X30_0602_007:0354c19	眾生由無妙智力故。為欲恚癡之所困逼。△三頌	007	眾 生 由 無 妙 智 力 故  為 欲 恚 癡 之 所 困 逼   三 頌 
ZH_X30_0602_007:0354c20	現形說法。	007	現 形 說 法  
ZH_X30_0602_007:0354c21	具足神通力(至)以漸悉令滅。	007	具 足 神 通 力  至  以 漸 悉 令 滅  
ZH_X30_0602_007:0354c22	智方便即所謂有慧方便也。雖三惡趣方沈幽昏	007	智 方 便 即 所 謂 有 慧 方 便 也  雖 三 惡 趣 方 沈 幽 昏 
ZH_X30_0602_007:0354c23	未應得度。亦與漸滅其苦。△四結顯觀智。	007	未 應 得 度  亦 與 漸 滅 其 苦   四 結 顯 觀 智  
ZH_X30_0602_007:0354c24	真觀清淨觀。廣大智慧觀。悲觀及慈觀。常願常瞻仰。	007	真 觀 清 淨 觀  廣大智慧觀  悲 觀 及 慈 觀  常 願 常 瞻 仰  
ZH_X30_0602_007:0355a01	其所以觀音脫苦能施無畏現形度生。皆五觀之	007	其 所 以 觀 音 脫 苦 能 施 無 畏 現 形 度 生  皆 五 觀 之 
ZH_X30_0602_007:0355a02	力。故此結顯也。真以息妄。淨以治染。智以破惑。悲	007	力  故 此 結 顯 也  真 以 息 妄  淨 以 治 染  智 以 破 惑  悲 
ZH_X30_0602_007:0355a03	以拔苦。慈以與樂。以是五觀加被群迷故。妄染惑	007	以 拔 苦  慈 以 與 樂  以 是 五 觀 加 被 群 迷 故  妄 染 惑 
ZH_X30_0602_007:0355a04	苦應念息滅。所以常願仰而依之。然性本圓澄。因	007	苦 應 念 息 滅  所 以 常 願 仰 而 依 之  然 性 本 圓 澄  因 
ZH_X30_0602_007:0355a05	迷起妄。惑染既生故觀智繁設。苟無妄染則真淨	007	迷 起 妄  惑 染 既 生 故 觀 智 繁 設  苟 無 妄 染 則 真 淨 
ZH_X30_0602_007:0355a06	不立矣。葢以真息妄等事。皆聖人不得已也。故楞	007	不 立 矣  葢 以 真 息 妄 等 事  皆 聖 人 不 得 已 也  故 楞 
ZH_X30_0602_007:0355a07	嚴曰。言妄顯諸真妄真同二妄。△五重歎觀智。	007	嚴 曰  言 妄 顯 諸 真 妄 真 同 二 妄   五 重 歎 觀 智  
ZH_X30_0602_007:0355a08	無垢清淨光。慧日破諸暗。能伏災風火。普明照世間。	007	無 垢 清 淨 光  慧 日 破 諸 暗  能 伏 災 風 火  普 明 照 世 間  
ZH_X30_0602_007:0355a09	無垢慧日歎觀智之體。伏災普照歎觀智之用。伏	007	無 垢 慧 日 歎 觀 智 之 體  伏 災 普 照 歎 觀 智 之 用  伏 
ZH_X30_0602_007:0355a10	災言脫苦。普照言現形。△六總歎說法。	007	災 言 脫 苦  普 照 言 現 形   六 總 歎 說 法  
ZH_X30_0602_007:0355a11	悲體戒雷震。慈意妙大雲。澍甘露法雨。滅除煩惱燄。	007	悲 體 戒 雷 震  慈 意 妙 大 雲  澍 甘 露 法 雨  滅 除 煩 惱 燄  
ZH_X30_0602_007:0355a12	戒教戒也。法身無體以悲為體。故教戒所行如雷	007	戒 教 戒 也  法 身 無 體 以 悲 為 體  故 教 戒 所 行 如 雷 
ZH_X30_0602_007:0355a13	作動。聖人無意以慈為意。故利澤之興如雲潤覆。	007	作 動  聖 人 無 意 以 慈 為 意  故 利 澤 之 興 如 雲 潤 覆  
ZH_X30_0602_007:0355a14	諍訟經官處。怖畏軍陣中。念彼觀音力。眾怨悉退散。	007	諍 訟 經 官 處  怖 畏 軍 陣 中  念 彼 觀 音 力  眾 怨 悉 退 散  
ZH_X30_0602_007:0355a15	此亦傍頌施無畏德。△七頌名勸念。	007	此 亦 傍 頌 施 無 畏 德   七 頌 名 勸 念  
ZH_X30_0602_007:0355a16	妙音觀世音(至)念念勿生疑。	007	妙 音 觀 世 音  至  念 念 勿 生 疑  
ZH_X30_0602_007:0355a17	觀音之行不異妙音。由能從妙而普故兼二號。以	007	觀 音 之 行 不 異 妙 音  由 能 從 妙 而 普 故 兼 二 號  以 
ZH_X30_0602_007:0355a18	說法不滯為妙音。尋聲救苦為觀音。音性無著為	007	說 法 不 滯 為 妙 音  尋 聲 救 苦 為 觀 音  音 性 無 著 為 
ZH_X30_0602_007:0355a19	梵音。應不失時為潮音。此所以勝世間音也。具是	007	梵 音  應 不 失 時 為 潮 音  此 所 以 勝 世 間 音 也  具 是 
ZH_X30_0602_007:0355a20	眾德故須常念不間不疑。則觀行智力無不相應	007	眾 德 故 須 常 念 不 間 不 疑  則 觀 行 智 力 無 不 相 應 
ZH_X30_0602_007:0355a21	矣。△八頌德勸歸。	007	矣   八 頌 德 勸 歸  
ZH_X30_0602_007:0355a22	觀世音淨聖(至)是故應頂禮。	007	觀 世 音 淨 聖  至  是 故 應 頂 禮  
ZH_X30_0602_007:0355a23	觀聽反入離諸塵妄。是謂淨聖。乘彼正念假之福	007	觀 聽 反 入 離 諸 塵 妄  是 謂 淨 聖  乘 彼 正 念 假 之 福 
ZH_X30_0602_007:0355a24	力。是謂依怙。具一切德則隨所求而應之。不止十	007	力  是 謂 依 怙  具 一 切 德 則 隨 所 求 而 應 之  不 止 十 
ZH_X30_0602_007:0355b01	四無畏也。慈視眾生則擇可度而度之。不止三十	007	四 無 畏 也  慈 視 眾 生 則 擇 可 度 而 度 之  不 止 三 十 
ZH_X30_0602_007:0355b02	二應也。其福聚如海利澤不窮。故應歸命。△九持	007	二 應 也  其 福 聚 如 海 利 澤 不 窮  故 應 歸 命   九 持 
ZH_X30_0602_007:0355b03	地讚顯。	007	地 讚 顯  
ZH_X30_0602_007:0355b04	爾時持地菩薩(至)當知是人功德不少。	007	爾 時 持 地 菩 薩  至  當 知 是 人 功 德 不 少  
ZH_X30_0602_007:0355b05	持地菩薩昔遇毗舍浮佛。教之平持心地則一切	007	持 地 菩 薩 昔 遇 毗 舍 浮 佛  教 之 平 持 心 地 則 一 切 
ZH_X30_0602_007:0355b06	皆平。是能以妙法內平自心。使外患自平。不能為	007	皆 平  是 能 以 妙 法 內 平 自 心  使 外 患 自 平  不 能 為 
ZH_X30_0602_007:0355b07	害者也。故聞此品深讚其功。意顯自在之業普門	007	害 者 也  故 聞 此 品 深 讚 其 功  意 顯 自 在 之 業 普 門 
ZH_X30_0602_007:0355b08	之行。實為心地法門。聞持之人苟能以是平持心	007	之 行  實 為 心 地 法 門  聞 持 之 人 苟 能 以 是 平 持 心 
ZH_X30_0602_007:0355b09	地。則外患自平不能為害。可以於諸怖畏能施無	007	地  則 外 患 自 平 不 能 為 害  可 以 於 諸 怖 畏 能 施 無 
ZH_X30_0602_007:0355b10	畏。由是自在之業普門之行遂為己有。故曰若有	007	畏  由 是 自 在 之 業 普 門 之 行 遂 為 己 有  故 曰 若 有 
ZH_X30_0602_007:0355b11	聞者當知是人功德不少。觀音之號或曰觀世音。	007	聞 者 當 知 是 人 功 德 不 少  觀 音 之 號 或 曰 觀 世 音  
ZH_X30_0602_007:0355b12	或曰觀自在。其行或曰普門。或曰圓通者。依悲觀	007	或 曰 觀 自 在  其 行 或 曰 普 門  或 曰 圓 通 者  依 悲 觀 
ZH_X30_0602_007:0355b13	慈觀應物之德言之。故號觀世音。依真觀淨觀照	007	慈 觀 應 物 之 德 言 之  故 號 觀 世 音  依 真 觀 淨 觀 照 
