segmentnr	original	folio	analyzed
ZH_X16_0311_001:0375a14	而心不顯。則知念佛一門。誠為見性成佛之妙法矣。	001	而 心 不 顯  則 知 念 佛 一 門  誠 為 見 性 成 佛 之 妙 法 矣  
ZH_X16_0311_001:0375a15	大下分二。先釋又二。初總明該攝。大矣哉者。能讚	001	大 下 分 二  先 釋 又 二  初 總 明 該 攝  大 矣 哉 者  能 讚 
ZH_X16_0311_001:0375a16	詞。亦是發語之端也。念下所讚法。初句標體。念佛	001	詞  亦 是 發 語 之 端 也  念 下 所 讚 法  初 句 標 體  念 佛 
ZH_X16_0311_001:0375a17	別也。法門通也。大等四句釋相。初二句人也。大小	001	別 也  法 門 通 也  大 等 四 句 釋 相  初 二 句 人 也  大 小 
ZH_X16_0311_001:0375a18	約乘。利鈍約根。並收均攝者。化導小乘。迴小向大。	001	約 乘  利 鈍 約 根  並 收 均 攝 者  化 導 小 乘  迴 小 向 大  
ZH_X16_0311_001:0375a19	勉進大乘。捨權歸實。使上根三心(一至誠心。二深心。三迴向發願	001	勉 進 大 乘  捨 權 歸 實  使 上 根 三 心  一 至 誠 心  二 深 心  三 迴 向 發 願 
ZH_X16_0311_001:0375a20	心)圓發直入無生。令下根十念成功亦生彼國。次	001	心  圓 發 直 入 無 生  令 下 根 十 念 成 功 亦 生 彼 國  次 
ZH_X16_0311_001:0375a21	二句法也。事理約行。性相約諦。圓融無礙者。下愚	001	二 句 法 也  事 理 約 行  性 相 約 諦  圓 融 無 礙 者  下 愚 
ZH_X16_0311_001:0375a22	著事而迷理。小智執理而遺事。今則通乎理事。依	001	著 事 而 迷 理  小 智 執 理 而 遺 事  今 則 通 乎 理 事  依 
ZH_X16_0311_001:0375a23	理修則證真諦而見自性彌陀。依事修則證俗諦	001	理 修 則 證 真 諦 而 見 自 性 彌 陀  依 事 修 則 證 俗 諦 
ZH_X16_0311_001:0375a24	而生極樂相土。即下二別顯不二中。先心佛不二。	001	而 生 極 樂 相 土  即 下 二 別 顯 不 二 中  先 心 佛 不 二  
ZH_X16_0311_001:0375b01	初四句約性起心佛開五句。一心外佛佛外心。二	001	初 四 句 約 性 起 心 佛 開 五 句  一 心 外 佛 佛 外 心  二 
ZH_X16_0311_001:0375b02	心內佛佛唯心。三心即是佛佛即是心。四心非是	001	心 內 佛 佛 唯 心  三 心 即 是 佛 佛 即 是 心  四 心 非 是 
ZH_X16_0311_001:0375b03	佛佛非是心。五心佛圓融無障無礙。五教如次配	001	佛 佛 非 是 心  五 心 佛 圓 融 無障無礙  五 教 如 次 配 
ZH_X16_0311_001:0375b04	知。今明第三句義也。此之心佛。全體遍收。如金與	001	知  今 明 第 三 句 義 也  此 之 心 佛  全 體 遍 收  如 金 與 
ZH_X16_0311_001:0375b05	器。以金収器。器無所遺。以器攝金。金無不盡。心一	001	器  以 金 収 器  器 無 所 遺  以 器 攝 金  金 無 不 盡  心 一 
ZH_X16_0311_001:0375b06	下八句。約修顯。心憶佛佛稱心皆明修也。心憶佛	001	下 八 句  約 修 顯  心 憶 佛 佛 稱 心 皆 明 修 也  心 憶 佛 
ZH_X16_0311_001:0375b07	彰。心即是佛故。佛稱心顯。佛即是心故。無為心憶。	001	彰  心 即 是 佛 故  佛 稱 心 顯  佛 即 是 心 故  無 為 心 憶  
ZH_X16_0311_001:0375b08	心外無佛故。無為佛稱。佛外無心故。華嚴迴向品	001	心 外 無 佛 故  無 為 佛 稱  佛 外 無 心 故  華 嚴 迴 向 品 
ZH_X16_0311_001:0375b09	云。無有智外如為智所入。亦無如外智能證於如。	001	云  無 有 智 外 如 為 智 所 入  亦 無 如 外 智 能 證 於 如  
ZH_X16_0311_001:0375b10	正此義也。眾生下後三無差別。謂心佛生三無別	001	正 此 義 也  眾 生 下 後 三無差別  謂 心 佛 生 三 無 別 
ZH_X16_0311_001:0375b11	也。初四句。正明無別。眾生念佛者。諸佛心內眾生	001	也  初 四 句  正 明 無 別  眾 生 念 佛 者  諸 佛 心 內 眾 生 
ZH_X16_0311_001:0375b12	念眾生心中諸佛也。佛在生心內者。眾生心外更	001	念 眾 生 心 中 諸 佛 也  佛 在 生 心 內 者  眾 生 心 外 更 
ZH_X16_0311_001:0375b13	無別佛。以佛真心即眾生真心故。此明因門攝法	001	無 別 佛  以 佛 真 心 即 眾 生 真 心 故  此 明 因 門 攝 法 
ZH_X16_0311_001:0375b14	無遺也。故云眾生念佛現前當來必定見佛。華嚴	001	無 遺 也  故 云 眾 生 念 佛 現 前 當 來 必 定 見 佛  華 嚴 
ZH_X16_0311_001:0375b15	亦云。應知自心念念常有佛成正覺。何以故。諸佛	001	亦 云  應 知 自 心 念 念 常 有 佛 成 正 覺  何 以 故  諸 佛 
ZH_X16_0311_001:0375b16	如來不離此心成正覺故。佛念眾生者。眾生心內	001	如 來 不 離 此 心 成 正 覺 故  佛 念 眾 生 者  眾 生 心 內 
ZH_X16_0311_001:0375b17	諸佛念諸佛心中眾生也。生在佛心中者。佛真心	001	諸 佛 念 諸 佛 心 中 眾 生 也  生 在 佛 心 中 者  佛 真 心 
ZH_X16_0311_001:0375b18	外更無眾生。以眾生真心即佛真心故。此明果門	001	外 更 無 眾 生  以 眾 生 真 心 即 佛 真 心 故  此 明 果 門 
ZH_X16_0311_001:0375b19	攝法無遺也。故云十方如來憐念眾生如母憶子。	001	攝 法 無 遺 也  故 云 十 方 如 來 憐 念 眾 生 如 母 憶 子  
ZH_X16_0311_001:0375b20	佛性論云。一切眾生悉在如來智內。以一切眾生	001	佛 性 論 云  一 切 眾 生 悉 在 如 來 智 內  以 一 切 眾 生 
ZH_X16_0311_001:0375b21	決定無有出如如境者。並為如來之所攝持。據清	001	決 定 無 有 出 如 如 境 者  並 為 如 來 之 所 攝 持  據 清 
ZH_X16_0311_001:0375b22	凉疏。開成四句。一諸佛心外無別眾生。二眾生心	001	凉 疏  開 成 四 句  一 諸 佛 心 外 無 別 眾 生  二 眾 生 心 
ZH_X16_0311_001:0375b23	外更無別佛。三佛心生心兩存齊現。四生心佛心	001	外 更 無 別 佛  三 佛 心 生 心 兩 存 齊 現  四 生 心 佛 心 
ZH_X16_0311_001:0375b24	互奪雙亡。今且約前二句明也。是心下四句。躡前	001	互 奪 雙 亡  今 且 約 前 二 句 明 也  是 心 下 四 句  躡 前 
ZH_X16_0311_001:0375c01	反顯。心本是佛。由不覺而佛隱。若欲作佛。須當念	001	反 顯  心 本 是 佛  由 不 覺 而 佛 隱  若 欲 作 佛  須 當 念 
ZH_X16_0311_001:0375c02	心故。起信謂。眾生本覺與佛本覺無有二體。若不	001	心 故  起 信 謂  眾 生 本 覺 與 佛 本 覺 無 有 二 體  若 不 
ZH_X16_0311_001:0375c03	念心。難成佛矣。佛本是心。因無明而心暗。若欲顯	001	念 心  難 成 佛 矣  佛 本 是 心  因 無 明 而 心 暗  若 欲 顯 
ZH_X16_0311_001:0375c04	心。須當念佛故。華嚴謂。佛智廣大。遍眾生心。眾生	001	心  須 當 念 佛 故  華 嚴 謂  佛 智 廣 大  遍 眾 生 心  眾 生 
ZH_X16_0311_001:0375c05	語言。皆悉不離如來法輪。若不稱佛。難明心矣。則	001	語 言  皆 悉 不 離 如 來 法 輪  若 不 稱 佛  難 明 心 矣  則 
ZH_X16_0311_001:0375c06	知下次結。彌陀即是自性。淨土全唯一心。離心性	001	知 下 次 結  彌 陀 即 是 自 性  淨 土 全 唯 一 心  離 心 性 
ZH_X16_0311_001:0375c07	外。毫無可得。若能憶念。即顯本性佛矣。起信云。法	001	外  毫 無 可 得  若 能 憶 念  即 顯 本 性 佛 矣  起 信 云  法 
ZH_X16_0311_001:0375c08	界一相。即是如來平等法身。性佛一顯。果佛自證	001	界 一 相  即 是 如 來 平 等 法 身  性 佛 一 顯  果 佛 自 證 
ZH_X16_0311_001:0375c09	故。圭山云。今知心是佛心。定當作佛。不其然乎。設	001	故  圭 山 云  今 知 心 是 佛 心  定 當 作 佛  不 其 然 乎  設 
ZH_X16_0311_001:0375c10	離念佛門外而欲速見性成佛者。捨其近易。以求	001	離 念 佛 門 外 而 欲 速 見 性 成 佛 者  捨 其 近 易  以 求 
ZH_X16_0311_001:0375c11	諸遠難也。△二別顯此章所詮。	001	諸 遠 難 也   二 別 顯 此 章 所 詮  
ZH_X16_0311_001:0375c12	所以十二如來號曰三昧。勢至菩薩標為圓通。三昧	001	所 以 十 二 如 來 號 曰 三 昧  勢 至 菩 薩 標 為 圓 通  三 昧 
ZH_X16_0311_001:0375c13	則總攝諸禪。圓通則具足萬行。一心頓實。不亦宜乎。	001	則 總 攝 諸 禪  圓 通 則 具 足 萬 行  一 心 頓 實  不 亦 宜 乎  
ZH_X16_0311_001:0375c14	所以下分為三。初正顯。所以者承前起後之辭。十	001	所 以 下 分 為 三  初 正 顯  所 以 者 承 前 起 後 之 辭  十 
ZH_X16_0311_001:0375c15	二如來號念佛為三昧者。凡夫垢心混若黃河。外	001	二 如 來 號 念 佛 為 三 昧 者  凡 夫 垢 心 混 若 黃 河  外 
ZH_X16_0311_001:0375c16	道妄想逸如奔馬。故說三昧。欲令返染成淨捨散	001	道 妄 想 逸 如 奔 馬  故 說 三 昧  欲 令 返 染 成 淨 捨 散 
ZH_X16_0311_001:0375c17	入寂也。勢至菩薩標念佛為圓通者。小乘七生斷	001	入 寂 也  勢 至 菩 薩 標 念 佛 為 圓 通 者  小 乘 七 生 斷 
ZH_X16_0311_001:0375c18	惑證真。權教三祇具因滿果。故說圓通。欲令速證	001	惑 證 真  權 教 三 祇 具 因 滿 果  故 說 圓 通  欲 令 速 證 
ZH_X16_0311_001:0375c19	疾成圓超直入也。三昧下二重揀。謂此三昧。總攝	001	疾 成 圓 超 直 入 也  三 昧 下 二 重 揀  謂 此 三 昧  總 攝 
ZH_X16_0311_001:0375c20	世出世間一切禪定。揀非餘三昧也。如一巨冶鑄	001	世出世間 一 切 禪 定  揀 非 餘 三 昧 也  如 一 巨 冶 鑄 
ZH_X16_0311_001:0375c21	成千器。圓通具足八萬四千一切觀行。揀非餘圓	001	成 千 器  圓 通 具 足 八萬四千 一 切 觀 行  揀 非 餘 圓 
ZH_X16_0311_001:0375c22	通也。猶阿伽陀總愈萬病。末二句三勸誡。三昧實	001	通 也  猶 阿 伽 陀 總 愈 萬 病  末 二 句 三 勸 誡  三 昧 實 
ZH_X16_0311_001:0375c23	教所詮。圓通頓教所詮。學頓實教者。是其所宜也。	001	教 所 詮  圓 通 頓 教 所 詮  學 頓 實 教 者  是 其 所 宜 也  
ZH_X16_0311_001:0375c24	又上顯圓義。此兼顯頓實。眾生念佛定當成佛。實	001	又 上 顯 圓 義  此 兼 顯 頓 實  眾 生 念 佛 定 當 成 佛  實 
ZH_X16_0311_001:0376a01	也。起信云。專念阿彌。修善迴向。願生彼界。終得見	001	也  起 信 云  專 念 阿 彌  修 善 迴 向  願 生 彼 界  終 得 見 
ZH_X16_0311_001:0376a02	佛。華嚴云。臨命終時。諸根散壞。唯此願王引導其	001	佛  華 嚴 云  臨命終時  諸 根 散 壞  唯 此 願 王 引 導 其 
ZH_X16_0311_001:0376a03	前。即得往生。見彌陀佛。蒙佛授記。不久當坐菩提	001	前  即 得 往 生  見 彌 陀 佛  蒙 佛 授 記  不 久 當 坐 菩 提 
ZH_X16_0311_001:0376a04	道場成等正覺。眾生憶佛現前即見。頓也。佛藏經	001	道 場 成等正覺  眾 生 憶 佛 現 前 即 見  頓 也  佛 藏 經 
ZH_X16_0311_001:0376a05	云。無覺無觀名為念佛。無想無語是名念佛。摩訶	001	云  無 覺 無 觀 名 為 念 佛  無 想 無 語 是 名 念 佛  摩 訶 
ZH_X16_0311_001:0376a06	般若云。菩薩摩訶薩念佛。不以色念。不以受想行	001	般 若 云  菩薩摩訶薩 念 佛  不 以 色 念  不 以 受 想 行 
ZH_X16_0311_001:0376a07	識念。以諸法自性空故。今兼顯此。故頓實者宜應	001	識 念  以 諸法自性 空 故  今 兼 顯 此  故 頓 實 者 宜 應 
ZH_X16_0311_001:0376a08	學也。△三引取勝益勸修。	001	學 也   三 引 取 勝 益 勸 修  
ZH_X16_0311_001:0376a09	聞說佛名。威光證入於無盡。憶想佛境。德雲解脫於	001	聞 說 佛 名  威 光 證 入 於 無 盡  憶 想 佛 境  德 雲 解 脫 於 
ZH_X16_0311_001:0376a10	多門。有此勝益。應當信行。何得自暴自棄不願不修	001	多 門  有 此 勝 益  應 當 信 行  何 得 自 暴 自 棄 不 願 不 修 
ZH_X16_0311_001:0376a11	耶。	001	耶  
ZH_X16_0311_001:0376a12	聞說四句。初引明說。佛名者。華嚴云。勝雲佛現時。	001	聞 說 四 句  初 引 明 說  佛 名 者  華 嚴 云  勝 雲 佛 現 時  
ZH_X16_0311_001:0376a13	寶華林中。出說三世一切諸佛名號音聲。時彼如	001	寶 華 林 中  出 說 三 世 一切諸佛 名 號 音 聲  時 彼 如 
ZH_X16_0311_001:0376a14	來於眾會中說普集一切三世佛自在法修多羅。	001	來 於 眾 會 中 說 普 集 一 切 三 世 佛 自 在 法 修 多 羅  
ZH_X16_0311_001:0376a15	入無盡者。華嚴云。勝雲佛所。證得一切諸佛功德	001	入 無 盡 者  華 嚴 云  勝 雲 佛 所  證 得 一切諸佛 功 德 
ZH_X16_0311_001:0376a16	輪三昧。證得一切佛法普門陀羅尼。了知一切佛	001	輪 三 昧  證 得 一切佛法 普 門 陀 羅 尼  了 知 一 切 佛 
ZH_X16_0311_001:0376a17	決定解莊嚴成就海。了知無邊佛現一切眾生前	001	決 定 解 莊 嚴 成 就 海  了 知 無 邊 佛 現 一 切 眾 生 前 
ZH_X16_0311_001:0376a18	神通海。了知一切佛力無畏法。於善眼佛所。即得	001	神 通 海  了 知 一 切 佛 力 無 畏 法  於 善 眼 佛 所  即 得 
ZH_X16_0311_001:0376a19	念佛三昧。名無邊海藏門。如是等十千法門。皆得	001	念佛三昧  名 無 邊 海 藏 門  如 是 等 十 千 法 門  皆 得 
ZH_X16_0311_001:0376a20	通達。憶佛境者。華嚴云。德雲告善財言。善男子。我	001	通 達  憶 佛 境 者  華 嚴 云  德 雲 告 善 財 言  善 男 子  我 
ZH_X16_0311_001:0376a21	唯得此憶念一切諸佛境界智慧光明普見法門。	001	唯 得 此 憶 念 一切諸佛 境 界 智慧光明 普 見 法 門  
ZH_X16_0311_001:0376a22	多解脫者。華嚴云。所謂智光普照念佛門乃至住	001	多 解 脫 者  華 嚴 云  所 謂 智 光 普 照 念 佛 門 乃 至 住 
ZH_X16_0311_001:0376a23	虗空念佛門等二十一種。有此下二結勸二。初正	001	虗 空 念 佛 門 等 二 十 一 種  有 此 下 二 結 勸 二  初 正 
ZH_X16_0311_001:0376a24	勸諸餘法門。淺則上根不被。深則下根絕分。唯此	001	勸 諸 餘 法 門  淺 則 上 根 不 被  深 則 下 根 絕 分  唯 此 
ZH_X16_0311_001:0376b01	一法。利鈍兼収。如水清珠。到處便益。故當信受行	001	一 法  利 鈍 兼 収  如 水 清 珠  到 處 便 益  故 當 信 受 行 
ZH_X16_0311_001:0376b02	持。念佛如種糓。自心如家田。信如信栽此種定得	001	持  念 佛 如 種 糓  自 心 如 家 田  信 如 信 栽 此 種 定 得 
ZH_X16_0311_001:0376b03	成糓。願如知此佳種一心求糓。行如欣求得糓作	001	成 糓  願 如 知 此 佳 種 一 心 求 糓  行 如 欣 求 得 糓 作 
ZH_X16_0311_001:0376b04	畊耨事。何得下二結責。十界因果皆唯心現。若一	001	畊 耨 事  何 得 下 二 結 責  十 界 因 果 皆 唯 心 現  若 一 
ZH_X16_0311_001:0376b05	念心瞋恚邪婬。即地獄界。慳貪不施。即餓鬼界。愚	001	念 心 瞋 恚 邪 婬  即 地 獄 界  慳 貪 不 施  即 餓 鬼 界  愚 
ZH_X16_0311_001:0376b06	癡暗蔽。即畜生界。我慢貢高。即修羅界。堅持五戒。	001	癡 暗 蔽  即 畜 生 界  我 慢 貢 高  即 修 羅 界  堅 持 五 戒  
ZH_X16_0311_001:0376b07	即人法界。精修十善。即天法界。證悟人空。即聲聞	001	即 人 法 界  精 修 十 善  即 天 法 界  證 悟 人 空  即 聲 聞 
ZH_X16_0311_001:0376b08	界。知緣性離。即緣覺界。六度齊修。即菩薩界。真慈	001	界  知 緣 性 離  即 緣 覺 界  六 度 齊 修  即 菩 薩 界  真 慈 
ZH_X16_0311_001:0376b09	平等。即佛法界。今此教念佛者。欲人念我自心成	001	平 等  即 佛 法 界  今 此 教 念 佛 者  欲 人 念 我 自 心 成 
ZH_X16_0311_001:0376b10	我自佛。云何捨自心佛孤佛教耶。如來不思議境	001	我 自 佛  云 何 捨 自 心 佛 孤 佛 教 耶  如 來 不思議境 
ZH_X16_0311_001:0376b11	界經云。菩薩了知諸佛及一切法皆唯心量。得隨	001	界 經 云  菩 薩 了 知 諸 佛 及 一 切 法 皆 唯 心 量  得 隨 
ZH_X16_0311_001:0376b12	順忍。捨身速生極樂淨土。照律師問。經云。是心作	001	順 忍  捨 身 速 生 極樂淨土  照 律 師 問  經 云  是 心 作 
ZH_X16_0311_001:0376b13	佛。是心是佛。心既是佛。何須念他佛耶。答。秪由心	001	佛  是 心 是 佛  心 既 是 佛  何 須 念 他 佛 耶  答  秪 由 心 
ZH_X16_0311_001:0376b14	本是佛故。令專念彼佛。梵網戒云。信知一切眾生	001	本 是 佛 故  令 專 念 彼 佛  梵 網 戒 云  信 知 一 切 眾 生 
ZH_X16_0311_001:0376b15	皆有佛性。我是未成之佛。諸佛是已成之佛。汝心	001	皆 有 佛 性  我 是 未 成 之 佛  諸 佛 是 已 成 之 佛  汝 心 
ZH_X16_0311_001:0376b16	佛者未成佛也。彌陀佛者已成佛也。未成佛者。久	001	佛 者 未 成 佛 也  彌 陀 佛 者 已 成 佛 也  未 成 佛 者  久 
ZH_X16_0311_001:0376b17	沉欲海。具足煩惱。杳無出期。已成佛者。久證菩提。	001	沉 欲 海  具 足 煩 惱  杳 無 出 期  已 成 佛 者  久 證 菩 提  
ZH_X16_0311_001:0376b18	具足威神。能為物護。是故。諸佛勸令念佛。即是以	001	具 足 威 神  能 為 物 護  是 故  諸 佛 勸 令 念 佛  即 是 以 
ZH_X16_0311_001:0376b19	我未成之佛。求他已成之佛。而為救護耳。眾生若	001	我 未 成 之 佛  求 他 已 成 之 佛  而 為 救 護 耳  眾 生 若 
ZH_X16_0311_001:0376b20	不念佛。聖凡永隔。父子乖離。長處輪迴。去佛遠矣。	001	不 念 佛  聖 凡 永 隔  父 子 乖 離  長 處 輪 迴  去 佛 遠 矣  
ZH_X16_0311_001:0376b21	所以文殊普賢等諸菩薩皆願念佛往生。況我凡	001	所 以 文 殊 普 賢 等 諸 菩 薩 皆 願 念 佛 往 生  況 我 凡 
ZH_X16_0311_001:0376b22	愚人耶。又彼螟蛉尚聽教成。可以人而不如蟲乎。	001	愚 人 耶  又 彼 螟 蛉 尚 聽 教 成  可 以 人 而 不 如 蟲 乎  
ZH_X16_0311_001:0376b23	不願自棄。迷也甚矣。△二略釋經題。	001	不 願 自 棄  迷 也 甚 矣   二 略 釋 經 題  
ZH_X16_0311_001:0376b24	楞嚴者。一切事究竟堅固也。乃大部之總名。圓通者。	001	楞 嚴 者  一 切 事 究 竟 堅 固 也  乃 大 部 之 總 名  圓 通 者  
ZH_X16_0311_001:0376c01	聖性法門無不通也。是一章之別目。勢至者。啟教之	001	聖 性 法 門 無 不 通 也  是 一 章 之 別 目  勢 至 者  啟 教 之 
ZH_X16_0311_001:0376c02	人也。念佛者。修行之法也。文雖一十二行。義括淨土	001	人 也  念 佛 者  修 行 之 法 也  文 雖 一 十 二 行  義 括 淨 土 
ZH_X16_0311_001:0376c03	諸典。有教有機。有法有喻。生佛感應。以遍含自他因	001	諸 典  有 教 有 機  有 法 有 喻  生 佛 感 應  以 遍 含 自 他 因 
ZH_X16_0311_001:0376c04	果而該徹。作心境之月燈。為聖凡之舟楫。故言楞嚴	001	果 而 該 徹  作 心 境 之 月 燈  為 聖 凡 之 舟 楫  故 言 楞 嚴 
ZH_X16_0311_001:0376c05	經勢至念佛圓通章。	001	經 勢 至 念 佛 圓 通 章  
ZH_X16_0311_001:0376c06	楞下先釋名。一切事。三科七大也。究竟空也。堅固	001	楞 下 先 釋 名  一 切 事  三 科 七 大 也  究 竟 空 也  堅 固 
ZH_X16_0311_001:0376c07	不空也。合二空不空也。蘊處界大。本如來藏故。事	001	不 空 也  合 二 空 不 空 也  蘊 處 界 大  本 如 來 藏 故  事 
ZH_X16_0311_001:0376c08	事究竟堅固。名楞嚴定。既住法位。世相常住。故此	001	事 究 竟 堅 固  名 楞 嚴 定  既 住 法 位  世 相 常 住  故 此 
ZH_X16_0311_001:0376c09	亦名健相三昧。聖性舉理。法門約教。影略行果可	001	亦 名 健 相 三 昧  聖 性 舉 理  法 門 約 教  影 略 行 果 可 
ZH_X16_0311_001:0376c10	知。正顯四法互相圓遍該通也。依止成定。名為楞	001	知  正 顯 四 法 互 相 圓 遍 該 通 也  依 止 成 定  名 為 楞 
ZH_X16_0311_001:0376c11	嚴。依觀成慧。號作圓通。別目者。以勢至念佛圓通	001	嚴  依 觀 成 慧  號 作 圓 通  別 目 者  以 勢 至 念 佛 圓 通 
ZH_X16_0311_001:0376c12	乃修道二十五圓通中一也。勢至下亦影略。義具	001	乃 修 道 二 十 五 圓 通 中 一 也  勢 至 下 亦 影 略  義 具 
ZH_X16_0311_001:0376c13	應云。能啟能修勢至人也。所啟所修念佛法也。文	001	應 云  能 啟 能 修 勢 至 人 也  所 啟 所 修 念 佛 法 也  文 
ZH_X16_0311_001:0376c14	下後結歎二。先別歎。彼佛教我念佛。機教也。母子	001	下 後 結 歎 二  先 別 歎  彼 佛 教 我 念 佛  機 教 也  母 子 
ZH_X16_0311_001:0376c15	形影染香。法喻也。如來憐念眾生。眾生一心憶佛。	001	形 影 染 香  法 喻 也  如 來 憐 念 眾 生  眾 生 一 心 憶 佛  
ZH_X16_0311_001:0376c16	生佛感應也。我因念佛入忍。今攝念人歸淨。自他	001	生 佛 感 應 也  我 因 念 佛 入 忍  今 攝 念 人 歸 淨  自 他 
ZH_X16_0311_001:0376c17	因果也。心境月燈者。依我自心念彼佛境。則佛境	001	因 果 也  心 境 月 燈 者  依 我 自 心 念 彼 佛 境  則 佛 境 
ZH_X16_0311_001:0376c18	可彰。託彼佛境念我自心。則自心易顯。此之彰顯。	001	可 彰  託 彼 佛 境 念 我 自 心  則 自 心 易 顯  此 之 彰 顯  
ZH_X16_0311_001:0376c19	皆憑月燈教法以照見也。心外有境小教也。境唯	001	皆 憑 月 燈 教 法 以 照 見 也  心 外 有 境 小 教 也  境 唯 
ZH_X16_0311_001:0376c20	是心始教也。即心即境終也。非境非心頓也。心境	001	是 心 始 教 也  即 心 即 境 終 也  非 境 非 心 頓 也  心 境 
ZH_X16_0311_001:0376c21	無盡圓也。即所詮法。月燈喻能詮教。聲名句義門	001	無 盡 圓 也  即 所 詮 法  月 燈 喻 能 詮 教  聲 名 句 義 門 
ZH_X16_0311_001:0376c22	如螢燈。小也。攝境唯心門如火燈。始也。理事無礙	001	如 螢 燈  小 也  攝 境 唯 心 門 如 火 燈  始 也  理 事 無 礙 
ZH_X16_0311_001:0376c23	門如星。終也。會相歸性門如月。頓也。普融無盡門	001	門 如 星  終 也  會 相 歸 性 門 如 月  頓 也  普 融 無 盡 門 
ZH_X16_0311_001:0376c24	如日。圓也。今約中二以說聖凡舟楫者。念名號佛。	001	如 日  圓 也  今 約 中 二 以 說 聖 凡 舟 楫 者  念 名 號 佛  
ZH_X16_0311_001:0377a01	受持皈戒。越於三途。下下品生。名為人乘。其猶舠	001	受 持 皈 戒  越 於 三 途  下 下 品 生  名 為 人 乘  其 猶 舠 
ZH_X16_0311_001:0377a02	船纔過谿澗。念色像佛。修行禪善。越於四洲。生下	001	船 纔 過 谿 澗  念 色 像 佛  修 行 禪 善  越 於 四 洲  生 下 
ZH_X16_0311_001:0377a03	品蓮。名為天乘。其猶艇船出小河港。念應化佛。觀	001	品 蓮  名 為 天 乘  其 猶 艇 船 出 小 河 港  念 應 化 佛  觀 
ZH_X16_0311_001:0377a04	四真諦。越於三界。生中品蓮。名聲聞乘。其猶艨艦	001	四 真 諦  越 於 三 界  生 中 品 蓮  名 聲 聞 乘  其 猶 艨 艦 
ZH_X16_0311_001:0377a05	過於大湖。念受用佛。了悟因緣。證二涅槃。生上品	001	過 於 大 湖  念 受 用 佛  了 悟 因 緣  證 二 涅 槃  生 上 品 
ZH_X16_0311_001:0377a06	蓮。名緣覺乘。其猶[舟*(彖/虫)]艞過於大江。念法性佛。智悲	001	蓮  名 緣 覺 乘  其 猶 [舟彖虫] 艞 過 於 大 江  念 法 性 佛  智 悲 
ZH_X16_0311_001:0377a07	並運。萬行繁興。成無上道。超凡小界。上上品生。名	001	並 運  萬 行 繁 興  成 無 上 道  超 凡 小 界  上 上 品 生  名 
ZH_X16_0311_001:0377a08	菩薩乘。其猶艆[舟*芻]直過大海。又持名念佛如特舟。	001	菩 薩 乘  其 猶 艆 [舟芻] 直 過 大 海  又 持 名 念 佛 如 特 舟  
ZH_X16_0311_001:0377a09	聲聞乘也。觀像念佛如方舟。辟支佛也。觀想念佛	001	聲 聞 乘 也  觀 像 念 佛 如 方 舟  辟 支 佛 也  觀 想 念 佛 
ZH_X16_0311_001:0377a10	如維舟。菩薩乘也。實相念佛如造舟。佛乘也。聖凡	001	如 維 舟  菩 薩 乘 也  實 相 念 佛 如 造 舟  佛 乘 也  聖 凡 
ZH_X16_0311_001:0377a11	即所化人。舟揖喻能化法。故言句次總結。△二開	001	即 所 化 人  舟 揖 喻 能 化 法  故 言 句 次 總 結   二 開 
ZH_X16_0311_001:0377a12	章釋文二。初略標。	001	章 釋 文 二  初 略 標  
ZH_X16_0311_001:0377a13	將解此經。五門分別。一教起因緣。二藏乘教攝。三宗	001	將 解 此 經  五 門 分 別  一 教 起 因 緣  二 藏 乘 教 攝  三 宗 
ZH_X16_0311_001:0377a14	趣旨歸。四略釋題名。五詳解文義。	001	趣 旨 歸  四 略 釋 題 名  五 詳 解 文 義  
ZH_X16_0311_001:0377a15	初二句總敘。一下別列。此例般若疏意。略開五章。	001	初 二 句 總 敘  一 下 別 列  此 例 般 若 疏 意  略 開 五 章  
ZH_X16_0311_001:0377a16	前三義門。後二正釋。△二詳解五。初教興。	001	前 三 義 門  後 二 正 釋   二 詳 解 五  初 教 興  
ZH_X16_0311_001:0377a17	初教起因緣者。智度論云。如須彌山。非無因緣。非少	001	初 教 起 因 緣 者  智 度 論 云  如須彌山  非 無 因 緣  非 少 
ZH_X16_0311_001:0377a18	因緣令得振動。念佛教興。亦復如是。具多因緣。一指	001	因 緣 令 得 振 動  念 佛 教 興  亦復如是  具 多 因 緣  一 指 
ZH_X16_0311_001:0377a19	出捷徑修行門路故。二直示當人念自心佛故。三欲	001	出 捷 徑 修 行 門 路 故  二 直 示 當 人 念 自 心 佛 故  三 欲 
ZH_X16_0311_001:0377a20	令悟入佛之心性故。四為顯生佛心無差別故。五度	001	令 悟 入 佛 之 心 性 故  四 為 顯 生 佛 心 無 差 別 故  五 度 
ZH_X16_0311_001:0377a21	脫凡外橫超三界故。六接引權小圓成佛果故。七充	001	脫 凡 外 橫 超 三 界 故  六 接 引 權 小 圓 成 佛 果 故  七 充 
ZH_X16_0311_001:0377a22	足三輩無有疑悔故。八利益今後周遍無盡故。九頓	001	足 三 輩 無 有 疑 悔 故  八 利 益 今 後 周 遍 無 盡 故  九 頓 
ZH_X16_0311_001:0377a23	攝六根證圓通境故。十疾空障惱定生佛土故。	001	攝 六 根 證 圓 通 境 故  十 疾 空 障 惱 定 生 佛 土 故  
