segmentnr	original	folio	analyzed
ZH_X54_0873_004:0349b04	周易遯卦爻辭。又云肥遯。言高尚隱逸也)標越俗之美。獨恬事外。歡足方	004	周 易 遯 卦 爻 辭  又 云 肥 遯  言 高 尚 隱 逸 也  標 越 俗 之 美  獨 恬 事 外  歡 足 方 
ZH_X54_0873_004:0349b05	寸。(此歡劉公匡山蓮社。已遂隱逸之志。標越塵俗之美名。獨享世外之樂。其歡足內心)每一言	004	寸   此 歡 劉 公 匡 山 蓮 社  已 遂 隱 逸 之 志  標 越 塵 俗 之 美 名  獨 享 世 外 之 樂  其 歡 足 內 心  每 一 言 
ZH_X54_0873_004:0349b06	集。(每與南來之人。一言集會之間)何嘗不遠喻林下之雅詠。(來人一言話間。	004	集   每 與 南 來 之 人  一 言 集 會 之 間  何 嘗 不 遠 喻 林 下 之 雅 詠   來 人 一 言 話 間  
ZH_X54_0873_004:0349b07	未嘗不遠領林下之雅詠。謂時領社中名公著作也)高致悠然。(此讚所聞諸作。則知高尚之思。	004	未 嘗 不 遠 領 林 下 之 雅 詠  謂 時 領 社 中 名 公 著 作 也  高 致 悠 然   此 讚 所 聞 諸 作  則 知 高 尚 之 思  
ZH_X54_0873_004:0349b08	悠然可想)清散未期。(言慕社中清勝君子。蕭散之懷。未期佳會)厚自保愛。(此囑劉公	004	悠 然 可 想  清 散 未 期   言 慕 社 中 清 勝 君 子  蕭 散 之 懷  未 期 佳 會  厚 自 保 愛   此 囑 劉 公 
ZH_X54_0873_004:0349b09	加餐之意)每因行李。數有承問。(因往來人。數得劉公音問)願彼山僧無	004	加 餐 之 意  每 因 行 李  數 有 承 問   因 往 來 人  數 得 劉 公 音 問  願 彼 山 僧 無 
ZH_X54_0873_004:0349b10	恙。道俗通佳(酬前大眾康和。但社有宰官居士。故併問道俗)承遠法師之勝	004	恙  道 俗 通 佳  酬 前 大 眾 康 和  但 社 有 宰 官 居 士  故 併 問 道 俗  承 遠 法 師 之 勝 
ZH_X54_0873_004:0349b11	常。(此酬前外國法師當休納)以為欣慰。(喜法師勝常。足以慰心)雖未清承。然	004	常   此 酬 前 外 國 法 師 當 休 納  以 為 欣 慰   喜 法 師 勝 常  足 以 慰 心  雖 未 清 承  然 
ZH_X54_0873_004:0349b12	服膺高軌。企佇之勤。為日久矣。(敘仰慕遠公之情。雖然未承清範。而服膺	004	服 膺 高 軌  企 佇 之 勤  為 日 久 矣   敘 仰 慕 遠 公 之 情  雖 然 未 承 清 範  而 服 膺 
ZH_X54_0873_004:0349b13	懷德。仰其高躅。瞻慕之心。非一日矣)公以過順之年。湛氣彌厲。(下酬敘遠公近	004	懷 德  仰 其 高 躅  瞻 慕 之 心  非 一 日 矣  公 以 過 順 之 年  湛 氣 彌 厲   下 酬 敘 遠 公 近 
ZH_X54_0873_004:0349b14	履佳況。前云遠公湛氣若茲之勤。故因歎云。過順之年。澄湛之氣彌厲。益嚴勁倍常。所謂老當益壯)養	004	履 佳 況  前 云 遠 公 湛 氣 若 茲 之 勤  故 因 歎 云  過 順 之 年  澄 湛 之 氣 彌 厲  益 嚴 勁 倍 常  所 謂 老 當 益 壯  養 
ZH_X54_0873_004:0349b15	徒(作養徒眾)幽巖。抱一(凝神)沖(空虗)谷。遐邇仰詠。(遠近仰高誦德)何美	004	徒  作 養 徒 眾  幽 巖  抱 一  凝 神  沖  空 虗  谷  遐 邇 仰 詠   遠 近 仰 高 誦 德  何 美 
ZH_X54_0873_004:0349b16	如之。(歎遠公美德。無以過之)每亦翹想一隅。懸庇霄岸。(言翹想遠公天	004	如 之   歎 遠 公 美 德  無 以 過 之  每 亦 翹 想 一 隅  懸 庇 霄 岸   言 翹 想 遠 公 天 
ZH_X54_0873_004:0349b17	各一方。霄岸猶言天際。言懸遠托庇蔭於天際)無由寫敬。(懷慕之心。布敬無因)致慨良	004	各 一 方  霄 岸 猶 言 天 際  言 懸 遠 托 庇 蔭 於 天 際  無 由 寫 敬   懷 慕 之 心  布 敬 無 因  致 慨 良 
ZH_X54_0873_004:0349b18	深。(言懸想而不及見。慷慨之念實深)君清對終日。快有悟心之歡也。	004	深   言 懸 想 而 不 及 見  慷 慨 之 念 實 深  君 清 對 終 日  快 有 悟 心 之 歡 也  
ZH_X54_0873_004:0349b19	(酬前憑慰既深。謂慕遠公之高。恨不及見。君幸終日清對。且喜有悟心之快)即此大眾尋	004	 酬 前 憑 慰 既 深  謂 慕 遠 公 之 高  恨 不 及 見  君 幸 終 日 清 對  且 喜 有 悟 心 之 快  即 此 大 眾 尋 
ZH_X54_0873_004:0349b20	常。(如常)什法師如宜。(正答休納)秦王道性自然。(此下敘國王外護。三寶正	004	常   如 常  什 法 師 如 宜   正 答 休 納  秦 王 道 性 自 然   此 下 敘 國 王 外 護  三 寶 正 
ZH_X54_0873_004:0349b21	隆)天機邁俗。(言秦王向道之性。不勉而能。天機超俗。不以有國為榮)城塹(外護)三	004	隆  天 機 邁 俗   言 秦 王 向 道 之 性  不 勉 而 能  天 機 超 俗  不 以 有 國 為 榮  城 塹  外 護  三 
ZH_X54_0873_004:0349b22	寶。弘道是務。(言不以國事為累。但終日弘道)由使異典(法寶。即下敘新經)勝	004	寶  弘 道 是 務   言 不 以 國 事 為 累  但 終 日 弘 道  由 使 異 典  法 寶  即 下 敘 新 經  勝 
ZH_X54_0873_004:0349b23	僧。(僧寶。即下敘諸師)方遠而至。(自西竺遠來)靈鷲之風。萃於茲土。	004	僧   僧 寶  即 下 敘 諸 師  方 遠 而 至   自 西 竺 遠 來  靈 鷲 之 風  萃 於 茲 土  
ZH_X54_0873_004:0349b24	(佛居靈鷲之風。什師入關。三寶聚於此土)領公(支法領也。遠公弟子)遠舉。乃千載之	004	 佛 居 靈 鷲 之 風  什 師 入 關  三 寶 聚 於 此 土  領 公  支 法 領 也  遠 公 弟 子  遠 舉  乃 千 載 之 
ZH_X54_0873_004:0349c01	津梁也。(〔頌〕公往西域取經。故云遠舉)於西域還。得方等新經二百	004	津 梁 也    頌  公 往 西 域 取 經  故 云 遠 舉  於 西 域 還  得 方 等 新 經 二 百 
ZH_X54_0873_004:0349c02	餘部。(遠公使領公往西域取經。所取方等諸經。按新疏云。華嚴梵本。亦領公尋至。恨無正傳)請	004	餘 部   遠 公 使 領 公 往 西 域 取 經  所 取 方 等 諸 經  按 新 疏 云  華 嚴 梵 本  亦 領 公 尋 至  恨 無 正 傳  請 
ZH_X54_0873_004:0349c03	大乘禪師一人。(禪師名佛陀婆陀羅。此云覺賢。賢學禪業於罽賓佛大仙。弘始中入秦。於	004	大 乘 禪 師 一 人   禪 師 名 佛 陀 婆 陀 羅  此 云 覺 賢  賢 學 禪 業 於 罽 賓 佛 大 仙  弘 始 中 入 秦  於 
ZH_X54_0873_004:0349c04	瓦官寺教習禪道。江南慧嚴慧觀。關中玄高等。皆從師受業。論主亦在其中。故劉公稱云悟發之器)三	004	瓦 官 寺 教 習 禪 道  江 南 慧 嚴 慧 觀  關 中 玄 高 等  皆 從 師 受 業  論 主 亦 在 其 中  故 劉 公 稱 云 悟 發 之 器  三 
ZH_X54_0873_004:0349c05	藏法師一人。(名弗若多羅。姚興待以上賓之禮。令譯十誦。未竟而終)毗婆沙法	004	藏 法 師 一 人   名 弗 若 多 羅  姚 興 待 以 上 賓 之 禮  令 譯 十 誦  未 竟 而 終  毗 婆 沙 法 
ZH_X54_0873_004:0349c06	師二人。(一名曇摩耶舍。一名曇摩掘多。以善通此論。故以為名)什法師於大石	004	師 二 人   一 名 曇 摩 耶 舍  一 名 曇 摩 掘 多  以 善 通 此 論  故 以 為 名  什 法 師 於 大 石 
ZH_X54_0873_004:0349c07	寺出新至諸經。(諸經。或諸師齎來。或領公所取。皆一時至。故云新至)法藏淵曠。	004	寺 出 新 至 諸 經   諸 經  或 諸 師 齎 來  或 領 公 所 取  皆 一 時 至  故 云 新 至  法 藏 淵 曠  
ZH_X54_0873_004:0349c08	(淵深廣大)日有異聞。(時聽誦譯)禪師於瓦官寺教習禪道。門徒	004	 淵 深 廣 大  日 有 異 聞   時 聽 誦 譯  禪 師 於 瓦 官 寺 教 習 禪 道  門 徒 
ZH_X54_0873_004:0349c09	數百。夙夜匪懈。(日夜參求)邕邕(和也)肅肅。(敬也)致可欣樂。(由是而知	004	數 百  夙 夜 匪 懈   日 夜 參 求  邕 邕  和 也  肅 肅   敬 也  致 可 欣 樂   由 是 而 知 
ZH_X54_0873_004:0349c10	達磨未來已前。禪道已行。學者不少。論主蚤以從修禪業。有所悟入。觀論旨幽玄。非悟何以至此)三	004	達 磨 未 來 已 前  禪 道 已 行  學 者 不 少  論 主 蚤 以 從 修 禪 業  有 所 悟 入  觀 論 旨 幽 玄  非 悟 何 以 至 此  三 
ZH_X54_0873_004:0349c11	藏法師於中寺出律藏。本(謂四重等)末(謂餘篇)精(精詳)悉。(盡悉)若	004	藏 法 師 於 中 寺 出 律 藏  本  謂 四 重 等  末  謂 餘 篇  精  精 詳  悉   盡 悉  若 
ZH_X54_0873_004:0349c12	覩初制。(若覩如來初制之日)毗婆沙法師於石羊寺出舍利弗	004	覩 初 制   若 覩 如 來 初 制 之 日  毗 婆 沙 法 師 於 石 羊 寺 出 舍 利 弗 
ZH_X54_0873_004:0349c13	阿毗曇(小乘論名)胡本。(梵本)雖未及譯。時問中事。發言新奇。	004	阿 毗 曇  小 乘 論 名  胡 本   梵 本  雖 未 及 譯  時 問 中 事  發 言 新 奇  
ZH_X54_0873_004:0349c14	(此上敘譯場近來諸經。及西來諸師。足見一時法運之盛。故特以相聞)貧道一生。猥參	004	 此 上 敘 譯 場 近 來 諸 經  及 西 來 諸 師  足 見 一 時 法 運 之 盛  故 特 以 相 聞  貧 道 一 生  猥 參 
ZH_X54_0873_004:0349c15	嘉運。遇茲盛化。自恨不覩釋迦祇桓之集。餘復何恨。	004	嘉 運  遇 茲 盛 化  自 恨 不 覩 釋 迦 祇 桓 之 集  餘 復 何 恨  
ZH_X54_0873_004:0349c16	(論主自慶時清道泰。明主弘法。真師主盟。聖典遠臻。勝友雲集。可謂一時之盛。何幸參預嘉運。過茲盛化。所恨	004	 論 主 自 慶 時 清 道 泰  明 主 弘 法  真 師 主 盟  聖 典 遠 臻  勝 友 雲 集  可 謂 一 時 之 盛  何 幸 參 預 嘉 運  過 茲 盛 化  所 恨 
ZH_X54_0873_004:0349c17	不覩祇園親承佛會。餘復何憾)而慨不得與清勝君子同斯法集耳。	004	不 覩 祇 園 親 承 佛 會  餘 復 何 憾  而 慨 不 得 與 清 勝 君 子 同 斯 法 集 耳  
ZH_X54_0873_004:0349c18	(此以不得劉公同此法集。良以為慨耳)生上人頃在此。同止數年。(什公門下	004	 此 以 不 得 劉 公 同 此 法 集  良 以 為 慨 耳  生 上 人 頃 在 此  同 止 數 年   什 公 門 下 
ZH_X54_0873_004:0349c19	弟子。有生。肇。融。叡。稱為四哲時美其盛。謂通情則生融上首。精難則叡肇第一。或云觀公)至於言	004	弟 子  有 生  肇  融  叡  稱 為 四 哲 時 美 其 盛  謂 通 情 則 生 融 上 首  精 難 則 叡 肇 第 一  或 云 觀 公  至 於 言 
ZH_X54_0873_004:0349c20	話之際。常相稱詠。(詠。誦也。謂常稱誦匡山之盛)中途還南。(因譯涅槃經。至	004	話 之 際  常 相 稱 詠   詠  誦 也  謂 常 稱 誦 匡 山 之 盛  中 途 還 南   因 譯 涅 槃 經  至 
ZH_X54_0873_004:0349c21	闡提無佛性義。生公曰。蠢動含靈皆有佛性。闡提雖不信。有時善根發現。何以言無佛性。想經來未盡耳。眾皆	004	闡 提 無 佛 性 義  生 公 曰  蠢 動 含 靈 皆 有 佛 性  闡 提 雖 不 信  有 時 善 根 發 現  何 以 言 無 佛 性  想 經 來 未 盡 耳  眾 皆 
ZH_X54_0873_004:0349c22	不然。生公遂去譯場。故云中途南還)君得與相見。(來書云始見生上人示無知論。故云相見)	004	不 然  生 公 遂 去 譯 場  故 云 中 途 南 還  君 得 與 相 見   來 書 云 始 見 生 上 人 示 無 知 論  故 云 相 見  
ZH_X54_0873_004:0349c23	未更近問。惘悒何言。(言生公去後。更無近問。中心惘悒。言思慕不忘也)威道	004	未 更 近 問  惘 悒 何 言   言 生 公 去 後  更 無 近 問  中 心 惘 悒  言 思 慕 不 忘 也  威 道 
ZH_X54_0873_004:0349c24	人至。(自蓮社來)得君念佛三昧詠。并得遠法師三昧詠及	004	人 至   自 蓮 社 來  得 君 念佛三昧 詠  并 得 遠 法 師 三 昧 詠 及 
ZH_X54_0873_004:0350a01	序。(言劉公作念佛三昧詩。遠公亦作。且更有序。威道人持來。故得一見)此作興寄既高。	004	序   言 劉 公 作 念佛三昧 詩  遠 公 亦 作  且 更 有 序  威 道 人 持 來  故 得 一 見  此 作 興 寄 既 高  
ZH_X54_0873_004:0350a02	辭致清婉。(此美念佛三昧之作。托興寄心已高。而文辭清爽。致思微婉)能文之士。	004	辭 致 清 婉   此 美 念佛三昧 之 作  托 興 寄 心 已 高  而 文 辭 清 爽  致 思 微 婉  能 文 之 士  
ZH_X54_0873_004:0350a03	率稱其美。(言關中能文之士。相率皆稱其美)可謂游涉聖門。扣玄關	004	率 稱 其 美   言 關 中 能 文 之 士  相 率 皆 稱 其 美  可 謂 游 涉 聖 門  扣 玄 關 
ZH_X54_0873_004:0350a04	之唱也。(稱其能以文辭發揮佛理。故云游涉孔聖之門。而扣法界玄關之唱。非空談也)君與	004	之 唱 也   稱 其 能 以 文 辭 發 揮 佛 理  故 云 游 涉 孔 聖 之 門  而 扣 法 界 玄 關 之 唱  非 空 談 也  君 與 
ZH_X54_0873_004:0350a05	法師當數有文集。因來何少。(因見念佛詠序。則知公與遠公文集當多。而見	004	法 師 當 數 有 文 集  因 來 何 少   因 見 念 佛 詠 序  則 知 公 與 遠 公 文 集 當 多  而 見 
ZH_X54_0873_004:0350a06	寄何少耶)什法師以午年。(弘始八年。歲次丙午)出維摩經。貧道時預	004	寄 何 少 耶  什 法 師 以 午 年   弘 始 八 年  歲 次 丙 午  出 維 摩 經  貧 道 時 預 
ZH_X54_0873_004:0350a07	聽次。(什師譯維摩。且譯且講。故云時預聽次)參承之暇。輙復條記成言。	004	聽 次   什 師 譯 維 摩  且 譯 且 講  故 云 時 預 聽 次  參 承 之 暇  輙 復 條 記 成 言  
ZH_X54_0873_004:0350a08	(謂參承講說之暇。復條記什師現成之言)以為注解。(此言註雖出肇手。而義則本乎什師)辭	004	 謂 參 承 講 說 之 暇  復 條 記 什 師 現 成 之 言  以 為 注 解   此 言 註 雖 出 肇 手  而 義 則 本 乎 什 師  辭 
ZH_X54_0873_004:0350a09	雖不文。然義承有本。(論主自謙。維摩注解。辭雖不文。而義則承本什師)今因	004	雖 不 文  然 義 承 有 本   論 主 自 謙  維 摩 注 解  辭 雖 不 文  而 義 則 承 本 什 師  今 因 
ZH_X54_0873_004:0350a10	信(使者)持一本往南。君閑詳。(言劉公閑於文字。詳於義理)試可取看。	004	信  使 者  持 一 本 往 南  君 閑 詳   言 劉 公 閑 於 文 字  詳 於 義 理  試 可 取 看  
ZH_X54_0873_004:0350a11	(已上敘彼此一往之事。以通其情。此下方敘來問發起)來問婉切。(謂劉公五難。辭婉而義切)	004	 已 上 敘 彼 此 一 往 之 事  以 通 其 情  此 下 方 敘 來 問 發 起  來 問 婉 切   謂 劉 公 五 難  辭 婉 而 義 切  
ZH_X54_0873_004:0350a12	難為郢人。(論主自謙。謂難與劉公敵手。郢人事出莊子。謂郢人堊漫其鼻端若蠅翼。使匠石斲	004	難 為 郢 人   論 主 自 謙  謂 難 與 劉 公 敵 手  郢 人 事 出 莊 子  謂 郢 人 堊 漫 其 鼻 端 若 蠅 翼  使 匠 石 斲 
ZH_X54_0873_004:0350a13	之。匠石運斤成風。盡堊而鼻不傷。郢人立不失容。此匠石揮斤之妙。固難其人。而郢人立不失容。更自難得。言	004	之  匠 石 運 斤 成 風  盡 堊 而 鼻 不 傷  郢 人 立 不 失 容  此 匠 石 揮 斤 之 妙  固 難 其 人  而 郢 人 立 不 失 容  更 自 難 得  言 
ZH_X54_0873_004:0350a14	承當之難也)貧道思不關微。(言入理)兼拙於筆語。(謂不但思不入理。兼	004	承 當 之 難 也  貧 道 思 不 關 微   言 入 理  兼 拙 於 筆 語   謂 不 但 思 不 入 理  兼 
ZH_X54_0873_004:0350a15	且拙於文字)且至趣無言。言必乖趣。(至理無言言生理喪)云云(猶嘵嘵)	004	且 拙 於 文 字  且 至 趣 無 言  言 必 乖 趣   至 理 無 言 言 生 理 喪  云 云  猶 嘵 嘵  
ZH_X54_0873_004:0350a16	不已。竟何所辨。(言不及理。辨之何益)聊以狂(妄言)言。示詶來旨耳。	004	不 已  竟 何 所 辨   言 不 及 理  辨 之 何 益  聊 以 狂  妄 言  言  示 詶 來 旨 耳  
ZH_X54_0873_004:0350a17	(莊子云。吾與汝妄言之。汝亦妄聽之)疏云。稱聖心冥寂。理極同無。雖處	004	 莊 子 云  吾 與 汝 妄 言 之  汝 亦 妄 聽 之  疏 云  稱 聖 心 冥 寂  理 極 同 無  雖 處 
ZH_X54_0873_004:0350a18	有名之中。而遠與無名同。斯理之玄。固常彌昧者。(上牒	004	有 名 之 中  而 遠 與 無 名 同  斯 理 之 玄  固 常 彌 昧 者   上 牒 
ZH_X54_0873_004:0350a19	來疏所引論辭)以此為懷。自可忘言內得。取定方寸。(此許其所得。自	004	來 疏 所 引 論 辭  以 此 為 懷  自 可 忘 言 內 得  取 定 方 寸   此 許 其 所 得  自 
ZH_X54_0873_004:0350a20	可忘言內證。取定一心)復何足以人情之所異。而求聖心之異	004	可 忘 言 內 證  取 定 一 心  復 何 足 以 人 情 之 所 異  而 求 聖 心 之 異 
ZH_X54_0873_004:0350a21	乎。(此責其不能忘言。復以常人之情。而求聖心之異)疏曰。(下舉難出意)談者謂窮	004	乎   此 責 其 不 能 忘 言  復 以 常 人 之 情  而 求 聖 心 之 異  疏 曰   下 舉 難 出 意  談 者 謂 窮 
ZH_X54_0873_004:0350a22	靈極數。妙盡冥符。則寂照之名。故是定慧之體耳。(寂照	004	靈 極 數  妙 盡 冥 符  則 寂 照 之 名  故 是 定 慧 之 體 耳   寂 照 
ZH_X54_0873_004:0350a23	下出難)若心體自然。靈怕獨感。(下出難)則羣數之應。固以	004	下 出 難  若 心 體 自 然  靈 怕 獨 感   下 出 難  則 羣 數 之 應  固 以 
ZH_X54_0873_004:0350a24	幾乎息矣。(上牒難下出意)意謂(通下句)妙盡冥符。(心境合一。則寂照雙絕)	004	幾 乎 息 矣   上 牒 難 下 出 意  意 謂  通 下 句  妙 盡 冥 符   心 境 合 一  則 寂 照 雙 絕  
ZH_X54_0873_004:0350b01	不可以定慧(二法)為名。(意謂)靈怕獨感。(則靈絕待)不可稱羣	004	不 可 以 定 慧  二 法  為 名   意 謂  靈 怕 獨 感   則 靈 絕 待  不 可 稱 羣 
ZH_X54_0873_004:0350b02	數以息。(却不知)兩言雖殊。妙用常一。迹我而乖。在聖不	004	數 以 息   却 不 知  兩 言 雖 殊  妙 用 常 一  迹 我 而 乖  在 聖 不 
ZH_X54_0873_004:0350b03	殊也。(上以正意責迷)何者。(徵釋無異。先示定慧同源)夫聖人玄心(寂體)默照。	004	殊 也   上 以 正 意 責 迷  何 者   徵 釋 無 異  先 示 定 慧 同 源  夫 聖 人 玄 心  寂 體  默 照  
ZH_X54_0873_004:0350b04	(照用)理極同無。(照極則兩忘。同一真源)既曰為同。同無不極。(既同一源。	004	 照 用  理 極 同 無   照 極 則 兩 忘  同 一 真 源  既 曰 為 同  同 無 不 極   既 同 一 源  
ZH_X54_0873_004:0350b05	則無有不極○下責迷)何有同無之極。而有定慧之名。(此出正義。下釋	004	則 無 有 不 極  下 責 迷  何 有 同 無 之 極  而 有 定 慧 之 名   此 出 正 義  下 釋 
ZH_X54_0873_004:0350b06	伏疑云。定慧既一。何故前云寂即用用即寂)定慧之名。非同外之稱也。(謂寂	004	伏 疑 云  定 慧 既 一  何 故 前 云 寂 即 用 用 即 寂  定 慧 之 名  非 同 外 之 稱 也   謂 寂 
ZH_X54_0873_004:0350b07	照既同一源。則知定慧本同一體。豈同外別稱定慧之名耶)若稱生同內。有稱非	004	照 既 同 一 源  則 知 定 慧 本 同 一 體  豈 同 外 別 稱 定 慧 之 名 耶  若 稱 生 同 內  有 稱 非 
ZH_X54_0873_004:0350b08	同。(謂若定慧之名。生於同內。則凡涉名言。則非真體)若稱生同外。稱非我也。	004	同   謂 若 定 慧 之 名  生 於 同 內  則 凡 涉 名 言  則 非 真 體  若 稱 生 同 外  稱 非 我 也  
ZH_X54_0873_004:0350b09	(謂於同外強稱定慧之名。則是迷者妄執在我。般若體中本無定慧二名○上答定慧不二。下答權應不息)	004	 謂 於 同 外 強 稱 定 慧 之 名  則 是 迷 者 妄 執 在 我  般 若 體 中 本 無 定 慧 二 名  上 答 定 慧 不 二  下 答 權 應 不 息  
ZH_X54_0873_004:0350b10	又聖心虗微。妙絕常境。(妙盡冥符。此言實智無為。次言權應不息)感無不	004	又 聖 心 虗 微  妙 絕 常 境   妙 盡 冥 符  此 言 實 智 無 為  次 言 權 應 不 息  感 無 不 
ZH_X54_0873_004:0350b11	應。會無不通。冥機(妙智)潛運。其用不勤。(權智妙應。而無不為如此)羣	004	應  會 無 不 通  冥 機  妙 智  潛 運  其 用 不 勤   權 智 妙 應  而 無 不 為 如 此  羣 
ZH_X54_0873_004:0350b12	數之應。亦何為而息耶。(上明實智無為。權應不息。下答二智體殊。正答心異。兼通	004	數 之 應  亦 何 為 而 息 耶   上 明 實 智 無 為  權 應 不 息  下 答 二 智 體 殊  正 答 心 異  兼 通 
ZH_X54_0873_004:0350b13	有知。先標妄)且夫心之有也。(凡夫妄心之有)以(因也)其有有。(有待緣而後有)	004	有 知  先 標 妄  且 夫 心 之 有 也   凡 夫 妄 心 之 有  以  因 也  其 有 有   有 待 緣 而 後 有  
ZH_X54_0873_004:0350b14	有不自有。(以待緣而有。故不能自有)故聖心不有有。(此顯真也。以聖心離緣。故	004	有 不 自 有   以 待 緣 而 有  故 不 能 自 有  故 聖 心 不 有 有   此 顯 真 也  以 聖 心 離 緣  故 
ZH_X54_0873_004:0350b15	不有有)不有有。故有無有。(以不借緣生。故雖有而非有)有無有故。(牒上)	004	不 有 有  不 有 有  故 有 無 有   以 不 借 緣 生  故 雖 有 而 非 有  有 無 有 故   牒 上  
ZH_X54_0873_004:0350b16	則無無。(既已非有。則亦非無)無無故。(牒上)聖人不有不無。(雙絕有無。冥心	004	則 無 無   既 已 非 有  則 亦 非 無  無 無 故   牒 上  聖 人 不 有 不 無   雙 絕 有 無  冥 心 
ZH_X54_0873_004:0350b17	一際)不有不無。其神乃虗。(以有無雙絕。則虗靈獨照。妙契中道)何者。(徵起。下即	004	一 際  不 有 不 無  其 神 乃 虗   以 有 無 雙 絕  則 虗 靈 獨 照  妙 契 中 道  何 者   徵 起  下 即 
ZH_X54_0873_004:0350b18	難就通。正答心異以明雙非。夫有下至廢用耶。通為一唱。二百零一字)夫有也無也。心	004	難 就 通  正 答 心 異 以 明 雙 非  夫 有 下 至 廢 用 耶  通 為 一 唱  二 百 零 一 字  夫 有 也 無 也  心 
ZH_X54_0873_004:0350b19	之影響也。(影譬象。響譬言)言也象也。影響之所攀緣也。(分別影響	004	之 影 響 也   影 譬 象  響 譬 言  言 也 象 也  影 響 之 所 攀 緣 也   分 別 影 響 
ZH_X54_0873_004:0350b20	本無實法。下正示雙非)有無既廢。(絕也)則心無影響。影響既淪。(喪也)	004	本 無 實 法  下 正 示 雙 非  有 無 既 廢   絕 也  則 心 無 影 響  影 響 既 淪   喪 也  
ZH_X54_0873_004:0350b21	則言象莫測。(心絕緣影。則言象不及)言象莫測。則道絕羣方。(則心	004	則 言 象 莫 測   心 絕 緣 影  則 言 象 不 及  言 象 莫 測  則 道 絕 羣 方   則 心 
ZH_X54_0873_004:0350b22	體離量)道絕羣方。故能窮靈極數。(窮虗則理極。極數則妄盡)窮靈極	004	體 離 量  道 絕 羣 方  故 能 窮 靈 極 數   窮 虗 則 理 極  極 數 則 妄 盡  窮 靈 極 
ZH_X54_0873_004:0350b23	數。乃曰妙盡。(真妄雙亡。是非齊泯)妙盡之道。本乎無寄。(靈靈絕待。故曰	004	數  乃 曰 妙 盡   真 妄 雙 亡  是 非 齊 泯  妙 盡 之 道  本 乎 無 寄   靈 靈 絕 待  故 曰 
ZH_X54_0873_004:0350b24	無寄)夫無寄在(因也)乎冥寂。(權實一心。寂照一體)冥絕故虗以通之。	004	無 寄  夫 無 寄 在  因 也  乎 冥 寂   權 實 一 心  寂 照 一 體  冥 絕 故 虗 以 通 之  
ZH_X54_0873_004:0350c01	(通者道達之意。謂冥寂之體。至絕離相。若不假一虗字通之。則人何以了悟)妙盡存(亦因也)	004	 通 者 道 達 之 意  謂 冥 寂 之 體  至 絕 離 相  若 不 假 一 虗 字 通 之  則 人 何 以 了 悟  妙 盡 存  亦 因 也  
ZH_X54_0873_004:0350c02	乎極數。(真不窮則妄不盡。妄不盡則真不極)極數故數以應之。(會萬物而為己。	004	乎 極 數   真 不 窮 則 妄 不 盡  妄 不 盡 則 真 不 極  極 數 故 數 以 應 之   會 萬 物 而 為 己  
ZH_X54_0873_004:0350c03	故曰極數。分身萬象。法身普應。故數以應之)數以應之。故動與事會。(權智應物。	004	故 曰 極 數  分 身 萬 象  法 身 普 應  故 數 以 應 之  數 以 應 之  故 動 與 事 會   權 智 應 物  
ZH_X54_0873_004:0350c04	感而遂通。故云動與事會)虗以通之。故道超名外。(實智證理。離名絕相。故云道超	004	感 而 遂 通  故 云 動 與 事 會  虗 以 通 之  故 道 超 名 外   實 智 證 理  離 名 絕 相  故 云 道 超 
ZH_X54_0873_004:0350c05	名外。下兼通有知)道超名外。因謂之無。(但離名相。不是斷滅)動與事會。	004	名 外  下 兼 通 有 知  道 超 名 外  因 謂 之 無   但 離 名 相  不 是 斷 滅  動 與 事 會  
ZH_X54_0873_004:0350c06	因謂之有。(感應在機。隨緣而現。故有非實有)因謂之有者。應夫(作非字)	004	因 謂 之 有   感 應 在 機  隨 緣 而 現  故 有 非 實 有  因 謂 之 有 者  應 夫  作 非 字  
ZH_X54_0873_004:0350c07	真(實也)有。強謂之然耳。彼(指中道一心)何然哉。(待機緣而有者。應非實有。	004	真  實 也  有  強 謂 之 然 耳  彼  指 中 道 一 心  何 然 哉   待 機 緣 而 有 者  應 非 實 有  
ZH_X54_0873_004:0350c08	但強謂之耳。彼寂滅一心。何嘗動而為有哉)故經云。(引證無知)聖智無知而無	004	但 強 謂 之 耳  彼 寂 滅 一 心  何 嘗 動 而 為 有 哉  故 經 云   引 證 無 知  聖 智 無 知 而 無 
ZH_X54_0873_004:0350c09	所不知。無為而無所不為。(此義引般若諸文。以證聖心權實不異。有知無知本	004	所 不 知  無 為 而 無 所 不 為   此 義 引 般 若 諸 文  以 證 聖 心 權 實 不 異  有 知 無 知 本 
ZH_X54_0873_004:0350c10	一致也)此無言無相寂滅之道。豈曰有而為有。無而為	004	一 致 也  此 無 言 無 相 寂 滅 之 道  豈 曰 有 而 為 有  無 而 為 
ZH_X54_0873_004:0350c11	無。動而乖靜。靜而廢用耶。(此據理責迷。以結上義也)而今談者。(此下	004	無  動 而 乖 靜  靜 而 廢 用 耶   此 據 理 責 迷  以 結 上 義 也  而 今 談 者   此 下 
ZH_X54_0873_004:0350c12	正答有知。潛答心異)多即言以定旨。(責迷不能忘言會理)尋大方而徵(求也)	004	正 答 有 知  潛 答 心 異  多 即 言 以 定 旨   責 迷 不 能 忘 言 會 理  尋 大 方 而 徵  求 也  
