segmentnr	original	folio	analyzed
ZH_X46_0776_001:0172a24	主者。三者本體本性法身主者。四者本末俱絕滿道	001	主 者  三 者 本 體 本 性 法 身 主 者  四 者 本 末 俱 絕 滿 道 
ZH_X46_0776_001:0172b01	主者。五者隨應無礙自然主者。是名為五(以上開三身為五身。	001	主 者  五 者 隨 應 無 礙 自 然 主 者  是 名 為 五  以 上 開 三 身 為 五 身  
ZH_X46_0776_001:0172b02	一是生身。二是變化身。此二是應身。三是法身。四是自受用身。五是他受用身。此二是報身○下文引經第一)。	001	一 是 生 身  二 是 變 化 身  此 二 是 應 身  三 是 法 身  四 是 自 受 用 身  五 是 他 受 用 身  此 二 是 報 身  下 文 引 經 第 一   
ZH_X46_0776_001:0172b03	修集行因大陀羅尼脩多羅中作如是說。爾時花輪	001	修 集 行 因 大 陀 羅 尼 脩 多 羅 中 作如是說  爾 時 花 輪 
ZH_X46_0776_001:0172b04	寶光明天子則白佛言。世尊。第一導師有幾數量可	001	寶 光 明 天 子 則 白 佛 言  世 尊  第 一 導 師 有 幾 數 量 可 
ZH_X46_0776_001:0172b05	思議不可思議。惟願世尊為我等眾開示顯說。我等	001	思 議 不可思議  惟 願 世 尊 為 我 等 眾 開 示 顯 說  我 等 
ZH_X46_0776_001:0172b06	大眾。聞其名字。常誦常念。出無明藏。到涅槃城。於是	001	大 眾  聞 其 名 字  常 誦 常 念  出 無 明 藏  到 涅 槃 城  於 是 
ZH_X46_0776_001:0172b07	世尊告天子言。我若以神通力無量無邊阿僧祇劫	001	世 尊 告 天 子 言  我 若 以 神 通 力 無量無邊 阿僧祇劫 
ZH_X46_0776_001:0172b08	中說其名字終不能盡。今當略言。為汝等眾宣說其	001	中 說 其 名 字 終 不 能 盡  今 當 略 言  為 汝 等 眾 宣 說 其 
ZH_X46_0776_001:0172b09	要。善男子。其覺者數廣大圓滿過於恒沙。略說五種。	001	要  善 男 子  其 覺 者 數 廣 大 圓 滿 過 於 恒 沙  略 說 五 種  
ZH_X46_0776_001:0172b10	云何為五。一者隨體佛。二者變體佛。三者法體佛。四	001	云 何 為 五  一 者 隨 體 佛  二 者 變 體 佛  三 者 法 體 佛  四 
ZH_X46_0776_001:0172b11	者莫測佛。五者應轉佛。乃至廣說故。如偈頂禮一切	001	者 莫 測 佛  五 者 應 轉 佛  乃至廣說 故  如 偈 頂 禮 一 切 
ZH_X46_0776_001:0172b12	無餘明故。以何義故一切導師皆名主者。以三義故。	001	無 餘 明 故  以 何 義 故 一 切 導 師 皆 名 主 者  以 三 義 故  
ZH_X46_0776_001:0172b13	云何為三。一者自在義。諸法王故(佛為法王。於法自在)。二者頂	001	云 何 為 三  一 者 自 在 義  諸 法 王 故  佛 為 法 王  於 法 自 在   二 者 頂 
ZH_X46_0776_001:0172b14	上義。三界一故(天上天下。唯佛獨尊)。三者周徧義。無所不至故	001	上 義  三 界 一 故  天 上 天 下  唯 佛 獨 尊   三 者 周 徧 義  無 所 不 至 故 
ZH_X46_0776_001:0172b15	(毗盧遮那。徧一切處)。是名為三。如是已說顯示中中主者門。次	001	 毗 盧 遮 那  徧一切處   是 名 為 三  如 是 已 說 顯 示 中 中 主 者 門  次 
ZH_X46_0776_001:0172b16	當說顯示道路軌則門(法寶)。就此門中。則有六種。云何	001	當 說 顯 示 道 路 軌 則 門  法 寶   就 此 門 中  則 有 六 種  云 何 
ZH_X46_0776_001:0172b17	為六。一者音臍言導無礙自在軌則。二者所依本地	001	為 六  一 者 音 臍 言 導 無 礙 自 在 軌 則  二 者 所 依 本 地 
ZH_X46_0776_001:0172b18	平等一種離諸虗妄軌則。三者生長莊嚴一一有力	001	平 等 一 種 離 諸 虗 妄 軌 則  三 者 生 長 莊 嚴 一 一 有 力 
ZH_X46_0776_001:0172b19	軌則。四者究竟圓滿無餘盡攝軌則。五者非名非相	001	軌 則  四 者 究 竟 圓 滿 無 餘 盡 攝 軌 則  五 者 非 名 非 相 
ZH_X46_0776_001:0172b20	非體非用無造無作軌則。六者自然現前常住不變	001	非 體 非 用 無 造 無 作 軌 則  六 者 自 然 現 前 常 住 不 變 
ZH_X46_0776_001:0172b21	無所詮了究竟淨滿軌則。是名為六(第三分中所說五種本位。以此	001	無 所 詮 了 究 竟 淨 滿 軌 則  是 名 為 六  第 三 分 中 所 說 五 種 本 位  以 此 
ZH_X46_0776_001:0172b22	中一二兩法。為第三周徧圓滿廣大位。以第三法。為第一無超次第漸轉位。以第四法。為第二無餘究竟總持	001	中 一 二 兩 法  為 第 三 周 徧 圓 滿 廣 大 位  以 第 三 法  為 第 一 無 超 次 第 漸 轉 位  以 第 四 法  為 第 二 無 餘 究 竟 總 持 
ZH_X46_0776_001:0172b23	位。以第五法。為第四一切諸法俱非位。以第六法。為第五一切諸法俱是位。此六彼五。開合應知○引經第二)。	001	位  以 第 五 法  為 第 四 一切諸法 俱 非 位  以 第 六 法  為 第 五 一切諸法 俱 是 位  此 六 彼 五  開 合 應 知  引 經 第 二   
ZH_X46_0776_001:0172b24	金剛三昧無礙解脫本智實性脩多羅中作如是說。	001	金 剛 三 昧 無礙解脫 本 智 實 性 脩 多 羅 中 作如是說  
ZH_X46_0776_001:0172c01	復次文殊師利。若我廣說。總有十億七萬三千五十	001	復 次 文 殊 師 利  若 我 廣 說  總 有 十 億 七 萬 三 千 五 十 
ZH_X46_0776_001:0172c02	法門。行者履遊道路則則。若我略說。總有六種行者	001	法 門  行 者 履 遊 道 路 則 則  若 我 略 說  總 有 六 種 行 者 
ZH_X46_0776_001:0172c03	履遊則則。如是六則。通攝一切無量無邊軌則藏海。	001	履 遊 則 則  如 是 六 則  通 攝 一 切 無量無邊 軌 則 藏 海  
ZH_X46_0776_001:0172c04	云何為六。一者說則。二者等則。三者種則。四者上則。	001	云 何 為 六  一 者 說 則  二 者 等 則  三 者 種 則  四 者 上 則  
ZH_X46_0776_001:0172c05	五者非則。六者常則。乃至廣說故。如偈非一非一諸	001	五 者 非 則  六 者 常 則  乃至廣說 故  如 偈 非 一 非 一 諸 
ZH_X46_0776_001:0172c06	則地故。以何義故一切法藏皆名軌則。以三義故。云	001	則 地 故  以 何 義 故 一 切 法 藏 皆 名 軌 則  以 三 義 故  云 
ZH_X46_0776_001:0172c07	何為三。一者金區義。時人易轉。法門之印常恒不變。	001	何 為 三  一 者 金 區 義  時 人 易 轉  法 門 之 印 常 恒 不 變  
ZH_X46_0776_001:0172c08	如彼區故。二者引導義。攝將行者令趣治路。如彼導	001	如 彼 區 故  二 者 引 導 義  攝 將 行 者 令 趣 治 路  如 彼 導 
ZH_X46_0776_001:0172c09	故。三者能持義。善持自相而不壞失。如彼持故。是名	001	故  三 者 能 持 義  善 持 自 相 而 不 壞 失  如 彼 持 故  是 名 
ZH_X46_0776_001:0172c10	為三。如是已說顯示道路軌則門。次當說顯示離雜	001	為 三  如 是 已 說 顯 示 道 路 軌 則 門  次 當 說 顯 示 離 雜 
ZH_X46_0776_001:0172c11	合一門(僧寶)。就此門中。則有三種。云何為三。一者結縛	001	合 一 門  僧 寶   就 此 門 中  則 有 三 種  云 何 為 三  一 者 結 縛 
ZH_X46_0776_001:0172c12	合一。一切無量無邊無明煩惱之眾類再生。雖無內	001	合 一  一 切 無量無邊 無 明 煩 惱 之 眾 類 再 生  雖 無 內 
ZH_X46_0776_001:0172c13	合一。而有外合一。以數量等成立契一義故(凡僧)。二者	001	合 一  而 有 外 合 一  以 數 量 等 成 立 契 一 義 故  凡 僧   二 者 
ZH_X46_0776_001:0172c14	解脫合一。一切無量無邊三乘諸聖人等。內有道理	001	解 脫 合 一  一 切 無量無邊 三 乘 諸 聖 人 等  內 有 道 理 
ZH_X46_0776_001:0172c15	之合一義。外有同塵之合一義故(三乘聖僧)。三者具足俱	001	之 合 一 義  外 有 同 塵 之 合 一 義 故  三 乘 聖 僧   三 者 具 足 俱 
ZH_X46_0776_001:0172c16	非合一。一切無量無邊金剛中間大聖眾等。具足能	001	非 合 一  一 切 無量無邊 金 剛 中 間 大 聖 眾 等  具 足 能 
ZH_X46_0776_001:0172c17	契所契之二義故(一乘聖僧)。是名為三(引經第三)。文殊師利論	001	契 所 契 之 二 義 故  一 乘 聖 僧   是 名 為 三  引 經 第 三   文 殊 師 利 論 
ZH_X46_0776_001:0172c18	義第一無極無盡脩多羅中作如是說。僧眾之海雖	001	義 第 一 無 極 無 盡 脩 多 羅 中 作如是說  僧 眾 之 海 雖 
ZH_X46_0776_001:0172c19	無有量。而其本體但有三種。云何為三。一者無根無	001	無 有 量  而 其 本 體 但 有 三 種  云 何 為 三  一 者 無 根 無 
ZH_X46_0776_001:0172c20	諍地。二者俱根無諍地。三者有根無諍地。乃至廣說	001	諍 地  二 者 俱 根 無 諍 地  三 者 有 根 無 諍 地  乃至廣說 
ZH_X46_0776_001:0172c21	故。如偈不數不思無量一故。以何義故一切諸僧皆	001	故  如 偈 不 數 不 思 無 量 一 故  以 何 義 故 一 切 諸 僧 皆 
ZH_X46_0776_001:0172c22	名合一。有二義故。云何為二。一者積集義。集會無量	001	名 合 一  有 二 義 故  云 何 為 二  一 者 積 集 義  集 會 無 量 
ZH_X46_0776_001:0172c23	無邊一切散亂塵故(身合一)。二者一種義。安止無量無	001	無 邊 一 切 散 亂 塵 故  身 合 一   二 者 一 種 義  安 止 無 量 無 
ZH_X46_0776_001:0172c24	邊一切波浪識故(心合一)。是名為二。如是已說顯示離	001	邊 一 切 波 浪 識 故  心 合 一   是 名 為 二  如 是 已 說 顯 示 離 
ZH_X46_0776_001:0173a01	雜合一門。次當說顯示無邊毛生門(有情)。就此門中。則	001	雜 合 一 門  次 當 說 顯 示 無 邊 毛 生 門  有 情   就 此 門 中  則 
ZH_X46_0776_001:0173a02	有三門。云何為三。一者有類毛生無邊門。二者空類	001	有 三 門  云 何 為 三  一 者 有 類 毛 生 無 邊 門  二 者 空 類 
ZH_X46_0776_001:0173a03	毛生無邊門。三者似類毛生無邊門。是名為三。就初	001	毛 生 無 邊 門  三 者 似 類 毛 生 無 邊 門  是 名 為 三  就 初 
ZH_X46_0776_001:0173a04	門中。則有四種。云何為四。一者卵生。二者胎生。三者	001	門 中  則 有 四 種  云 何 為 四  一 者 卵 生  二 者 胎 生  三 者 
ZH_X46_0776_001:0173a05	溼生。四者化生。是名為四。如是四生。能攝一切無量	001	溼 生  四 者 化 生  是 名 為 四  如 是 四 生  能 攝 一 切 無 量 
ZH_X46_0776_001:0173a06	有類根本名數。就中門中。則有三種。云何為三。一者	001	有 類 根 本 名 數  就 中 門 中  則 有 三 種  云 何 為 三  一 者 
ZH_X46_0776_001:0173a07	光明中藏空類。二者闇色中藏空類。三者風雲中藏	001	光 明 中 藏 空 類  二 者 闇 色 中 藏 空 類  三 者 風 雲 中 藏 
ZH_X46_0776_001:0173a08	空類。是名為三(中藏者。在內安住也)。如是三類。空故非空(身如虗空	001	空 類  是 名 為 三  中 藏 者  在 內 安 住 也   如 是 三 類  空 故 非 空  身 如 虗 空 
ZH_X46_0776_001:0173a09	非頑冥空)。以隱故空(隱而不現。故名為空)。應審觀察。空類眷屬。其數	001	非 頑 冥 空   以 隱 故 空  隱 而 不 現  故 名 為 空   應 審 觀 察  空 類 眷 屬  其 數 
ZH_X46_0776_001:0173a10	眾多。不出此量。就後門中。亦有三種。云何為三。一者	001	眾 多  不 出 此 量  就 後 門 中  亦 有 三 種  云 何 為 三  一 者 
ZH_X46_0776_001:0173a11	幻化呪術相相無理似類。二者變藥方禁相相無理	001	幻 化 呪 術 相 相 無 理 似 類  二 者 變 藥 方 禁 相 相 無 理 
ZH_X46_0776_001:0173a12	似類(上之二類。雖有相相。而不合理。故名似類)。二者隨本現前影像似類	001	似 類  上 之 二 類  雖 有 相 相  而 不 合 理  故 名 似 類   二 者 隨 本 現 前 影 像 似 類 
ZH_X46_0776_001:0173a13	(本人妄想所現影像。雖現在前而非實有。亦名似類)。是名為三。如是三類。能攝	001	 本 人 妄 想 所 現 影 像  雖 現 在 前 而 非 實 有  亦 名 似 類   是 名 為 三  如 是 三 類  能 攝 
ZH_X46_0776_001:0173a14	一切無量無邊種種似類根本名數(引經第四)。集類法門	001	一 切 無量無邊 種 種 似 類 根 本 名 數  引 經 第 四   集 類 法 門 
ZH_X46_0776_001:0173a15	脩多羅中作如是說。有識種類。廣說有十。略說有三。	001	脩 多 羅 中 作如是說  有 識 種 類  廣 說 有 十  略 說 有 三  
ZH_X46_0776_001:0173a16	云何為三。一者心識親近在有眾生。二者處所隱藏	001	云 何 為 三  一 者 心 識 親 近 在 有 眾 生  二 者 處 所 隱 藏 
ZH_X46_0776_001:0173a17	不見眾生。三者識遠似有動轉眾生。是名為三。乃至	001	不 見 眾 生  三 者 識 遠 似 有 動 轉 眾 生  是 名 為 三  乃 至 
ZH_X46_0776_001:0173a18	廣說故。如偈并諸種種趣生類故。以何義故一切眾	001	廣 說 故  如 偈 并 諸 種 種 趣 生 類 故  以 何 義 故 一 切 眾 
ZH_X46_0776_001:0173a19	生皆名毛生。有二義故。云何為二。一者動轉不定義。	001	生 皆 名 毛 生  有 二 義 故  云 何 為 二  一 者 動 轉 不 定 義  
ZH_X46_0776_001:0173a20	隨趣受生無有定法故。二者眾多無數義。方角無有	001	隨 趣 受 生 無 有 定 法 故  二 者 眾 多 無 數 義  方 角 無 有 
ZH_X46_0776_001:0173a21	數量故。是名為二。今此門中。為欲現示聖如角尠凡	001	數 量 故  是 名 為 二  今 此 門 中  為 欲 現 示 聖 如 角 尠 凡 
ZH_X46_0776_001:0173a22	如毛多故。如是已說顯示無邊毛生門。次當說現示	001	如 毛 多 故  如 是 已 說 顯 示 無 邊 毛 生 門  次 當 說 現 示 
ZH_X46_0776_001:0173a23	種種離識門(無情)。就此門中。則有二種。云何為二。一者	001	種 種 離 識 門  無 情   就 此 門 中  則 有 二 種  云 何 為 二  一 者 
ZH_X46_0776_001:0173a24	共業建立斷命品。二者別業建立斷命品。是名為二。	001	共 業 建 立 斷 命 品  二 者 別 業 建 立 斷 命 品  是 名 為 二  
ZH_X46_0776_001:0173b01	就第一門中。則有四種。云何為四一者風輪大地斷	001	就 第 一 門 中  則 有 四 種  云 何 為 四 一 者 風 輪 大 地 斷 
ZH_X46_0776_001:0173b02	命品。二者水輪大地斷命品。三者金輪大地斷命品。	001	命 品  二 者 水 輪 大 地 斷 命 品  三 者 金 輪 大 地 斷 命 品  
ZH_X46_0776_001:0173b03	四者火輪大地斷命品。是名為四。如是四輪。能攝一	001	四 者 火 輪 大 地 斷 命 品  是 名 為 四  如 是 四 輪  能 攝 一 
ZH_X46_0776_001:0173b04	切無量無邊共業建立斷命品類根本名數。言別業	001	切 無量無邊 共 業 建 立 斷 命 品 類 根 本 名 數  言 別 業 
ZH_X46_0776_001:0173b05	建立斷命品者。謂眾生身非執受攝髮毛等類(引經第五)。	001	建 立 斷 命 品 者  謂 眾 生 身 非 執 受 攝 髮 毛 等 類  引 經 第 五   
ZH_X46_0776_001:0173b06	業行本因脩多羅中作如是說。復次文殊師利。言眾	001	業 行 本 因 脩 多 羅 中 作如是說  復 次 文 殊 師 利  言 眾 
ZH_X46_0776_001:0173b07	生居住世間者。則有二種。云何為二。一者總輪世間。	001	生 居 住 世 間 者  則 有 二 種  云 何 為 二  一 者 總 輪 世 間  
ZH_X46_0776_001:0173b08	二者別持世間。是名為二。此二世間。善能攝持無量	001	二 者 別 持 世 間  是 名 為 二  此 二 世 間  善 能 攝 持 無 量 
ZH_X46_0776_001:0173b09	無邊一切居住依止世間。乃至廣說故。如偈及無量	001	無 邊 一 切 居 住 依 止 世 間  乃至廣說 故  如 偈 及 無 量 
ZH_X46_0776_001:0173b10	數斷命品故。以何義故一切離識皆名斷命。所謂無	001	數 斷 命 品 故  以 何 義 故 一 切 離 識 皆 名 斷 命  所 謂 無 
ZH_X46_0776_001:0173b11	有了別智品故。如是已說現示種種離識門。次當說	001	有 了 別 智 品 故  如 是 已 說 現 示 種 種 離 識 門  次 當 說 
ZH_X46_0776_001:0173b12	現示假有無實門(假有)。就此門中。則有五種。云何為五。	001	現 示 假 有 無 實 門  假 有   就 此 門 中  則 有 五 種  云 何 為 五  
ZH_X46_0776_001:0173b13	一者如水中月假有。二者如闥婆城假有。三者如陽	001	一 者 如水中月 假 有  二 者 如 闥 婆 城 假 有  三 者 如 陽 
ZH_X46_0776_001:0173b14	炎水假有。四者如幻化作假有。五者如谷響音假有。	001	炎 水 假 有  四 者 如 幻 化 作 假 有  五 者 如 谷 響 音 假 有  
ZH_X46_0776_001:0173b15	是名為五(引經第六)。大寶無盡蓮華地地脩多羅中作如	001	是 名 為 五  引 經 第 六   大 寶 無 盡 蓮 華 地 地 脩 多 羅 中 作 如 
ZH_X46_0776_001:0173b16	是說。如水中月等五種虗說譬喻。總攝五萬五千五	001	是 說  如水中月 等 五 種 虗 說 譬 喻  總 攝 五 萬 五 千 五 
ZH_X46_0776_001:0173b17	百五十詮虗說譬喻根本名字。乃至廣說故。如偈與	001	百 五 十 詮 虗 說 譬 喻 根 本 名 字  乃至廣說 故  如 偈 與 
ZH_X46_0776_001:0173b18	等塵塵無有法故。以何義故一切無量虗說譬喻皆	001	等 塵 塵 無 有 法 故  以 何 義 故 一 切 無 量 虗 說 譬 喻 皆 
ZH_X46_0776_001:0173b19	名無有。所謂無有實自性故。名曰為無。無有其實非	001	名 無 有  所 謂 無 有 實 自 性 故  名 曰 為 無  無 有 其 實 非 
ZH_X46_0776_001:0173b20	都無故。名曰為有。如是已說現示假有無實門。次當	001	都 無 故  名 曰 為 有  如 是 已 說 現 示 假 有 無 實 門  次 當 
ZH_X46_0776_001:0173b21	說現示無所有事門(空無)。就此門中。則有四種。云何為	001	說 現 示 無 所 有 事 門  空 無   就 此 門 中  則 有 四 種  云 何 為 
ZH_X46_0776_001:0173b22	四。一者如石女兒無所有事。二者如兔馬角無所有	001	四  一 者 如 石 女 兒 無 所 有 事  二 者 如 兔 馬 角 無 所 有 
ZH_X46_0776_001:0173b23	事。三者如龜趥(七由切。同鰌。魚名)毛無所有事。四者如羅漢	001	事  三 者 如 龜 趥  七 由 切  同 鰌  魚 名  毛 無 所 有 事  四 者 如 羅 漢 
ZH_X46_0776_001:0173b24	染無所有事。是名為四(引經第七)。本地脩多羅中作如是	001	染 無 所 有 事  是 名 為 四  引 經 第 七   本 地 脩 多 羅 中 作 如 是 
ZH_X46_0776_001:0173c01	說。復次佛子。汝前所問何等法名為無所有品者。石	001	說  復 次 佛 子  汝 前 所 問 何 等 法 名 為 無 所 有 品 者  石 
ZH_X46_0776_001:0173c02	女兒等四種本說。我若廣說。其數無量。乃至廣說故。	001	女 兒 等 四 種 本 說  我 若 廣 說  其 數 無 量  乃至廣說 故  
ZH_X46_0776_001:0173c03	如偈兼不可說無所有故。以何義故一切空法皆悉	001	如 偈 兼 不 可 說 無 所 有 故  以 何 義 故 一 切 空 法 皆 悉 
ZH_X46_0776_001:0173c04	名為無所有事。有二種故。云何為二。一者彼空法體	001	名 為 無 所 有 事  有 二 種 故  云 何 為 二  一 者 彼 空 法 體 
ZH_X46_0776_001:0173c05	性空空如此四本說故。二者此空若不詮彼則是空	001	性 空 空 如 此 四 本 說 故  二 者 此 空 若 不 詮 彼 則 是 空 
ZH_X46_0776_001:0173c06	故(假此空法。以詮他法之空。若不詮彼。則此空本無)。是名為二。如是已說現	001	故  假 此 空 法  以 詮 他 法 之 空  若 不 詮 彼  則 此 空 本 無   是 名 為 二  如 是 已 說 現 
ZH_X46_0776_001:0173c07	示無所有事門。次當說現示具足無礙門(普融)。就此門	001	示 無 所 有 事 門  次 當 說 現 示 具 足 無 礙 門  普 融   就 此 門 
ZH_X46_0776_001:0173c08	中。則有十種。云何為十。一者心主法。二者心念法。三	001	中  則 有 十 種  云 何 為 十  一 者 心 主 法  二 者 心 念 法  三 
ZH_X46_0776_001:0173c09	者色主法。四者色子法。五者非契應法。六者無為法。	001	者 色 主 法  四 者 色 子 法  五 者 非 契 應 法  六 者 無 為 法  
ZH_X46_0776_001:0173c10	七者非有為非無為法。八者亦有為亦無為法。九者	001	七 者 非 有 為 非 無 為 法  八 者 亦 有 為 亦 無 為 法  九 者 
ZH_X46_0776_001:0173c11	俱俱法。十者俱非法。是名為十。言心主法者。可一八	001	俱 俱 法  十 者 俱 非 法  是 名 為 十  言 心 主 法 者  可 一 八 
ZH_X46_0776_001:0173c12	識等諸心識本法故。言心念法者。與此相應一切數	001	識 等 諸 心 識 本 法 故  言 心 念 法 者  與 此 相 應 一 切 數 
ZH_X46_0776_001:0173c13	法。言色主法者。可一能造大種法等。言色子法者。可	001	法  言 色 主 法 者  可 一 能 造 大 種 法 等  言 色 子 法 者  可 
ZH_X46_0776_001:0173c14	一所造種種色法言非契應法者。可一非色非心種	001	一 所 造 種 種 色 法 言 非 契 應 法 者  可 一 非 色 非 心 種 
ZH_X46_0776_001:0173c15	種諸法。言無為法者。虗空等四種無為法。言非有為	001	種 諸 法  言 無 為 法 者  虗 空 等 四 種 無 為 法  言 非 有 為 
ZH_X46_0776_001:0173c16	非無為法者。一心等諸本性法。言亦有為亦無為法	001	非 無 為 法 者  一 心 等 諸 本 性 法  言 亦 有 為 亦 無 為 法 
ZH_X46_0776_001:0173c17	者。一心等諸本性之法作業用相。言俱俱法者。大本	001	者  一 心 等 諸 本 性 之 法 作 業 用 相  言 俱 俱 法 者  大 本 
ZH_X46_0776_001:0173c18	之法其第一分。言俱非法者。大本之法其最後分。如	001	之 法 其 第 一 分  言 俱 非 法 者  大 本 之 法 其 最 後 分  如 
ZH_X46_0776_001:0173c19	是十法。今此門中。一有一無。一生一滅。一逆一順。一	001	是 十 法  今 此 門 中  一 有 一 無  一 生 一 滅  一 逆 一 順  一 
ZH_X46_0776_001:0173c20	品一類。不相捨離。是故說言現示具足無礙門焉(此門	001	品 一 類  不相捨離  是 故 說 言 現 示 具 足 無 礙 門 焉  此 門 
ZH_X46_0776_001:0173c21	統攝一切諸法。為本論之綱要。故歸依德處總匯於茲○引經第八)。最勝德王廣大虗	001	統 攝 一切諸法  為 本 論 之 綱 要  故 歸 依 德 處 總 匯 於 茲  引 經 第 八   最 勝 德 王 廣 大 虗 
ZH_X46_0776_001:0173c22	空脩多羅中作如是說。不可說不可說不可說十方	001	空 脩 多 羅 中 作如是說  不可說不可說 不 可 說 十 方 
ZH_X46_0776_001:0173c23	世界微塵之數。無量無邊法門大海。一居一起。一住	001	世 界 微 塵 之 數  無量無邊 法 門 大 海  一 居 一 起  一 住 
ZH_X46_0776_001:0173c24	一止。終不分剖。亦不捨離。以此義故。建立稱曰廣大	001	一 止  終 不 分 剖  亦 不 捨 離  以 此 義 故  建 立 稱 曰 廣 大 
ZH_X46_0776_001:0174a01	圓滿虗空地地無盡無極法界大海門。乃至廣說故。	001	圓 滿 虗 空 地 地 無 盡 無 極 法 界 大 海 門  乃至廣說 故  
ZH_X46_0776_001:0174a02	如偈通俱非是等諸法故。	001	如 偈 通 俱 非 是 等 諸 法 故  
ZH_X46_0776_001:0174a03	○歸依德處因緣大決擇分第二	001	 歸 依 德 處 因 緣 大 決 擇 分 第 二 
ZH_X46_0776_001:0174a04	如是已說歸依德處無邊大決擇分。次當說歸依德	001	如 是 已 說 歸 依 德 處 無 邊 大 決 擇 分  次 當 說 歸 依 德 
ZH_X46_0776_001:0174a05	處因緣大決擇分。其相云何。偈曰。	001	處 因 緣 大 決 擇 分  其相云何  偈 曰  
ZH_X46_0776_001:0174a06	　以有十種大因緣　　造作歸依德處海	001	 以 有 十 種 大 因 緣   造 作 歸 依 德 處 海 
ZH_X46_0776_001:0174a07	　所謂禮恩及加力　　廣大殊勝與無我	001	 所 謂 禮 恩 及 加 力   廣 大 殊 勝 與 無 我 
ZH_X46_0776_001:0174a08	　決定大海并贊化　　兼通現示自本身	001	 決 定 大 海 并 贊 化   兼 通 現 示 自 本 身 
ZH_X46_0776_001:0174a09	　如是十種大因緣　　圓滿大士乃能具	001	 如 是 十 種 大 因 緣   圓 滿 大 士 乃 能 具 
ZH_X46_0776_001:0174a10	　凡非境聖亦非量　　隨分菩薩亦不能	001	 凡 非 境 聖 亦 非 量   隨 分 菩 薩 亦 不 能 
ZH_X46_0776_001:0174a11	論曰。何因緣故歸依德處。以有十種大因緣故而作	001	論 曰  何 因 緣 故 歸 依 德 處  以 有 十 種 大 因 緣 故 而 作 
ZH_X46_0776_001:0174a12	歸依。如偈以有十種大因緣。造作歸依德處海故。云	001	歸 依  如 偈 以 有 十 種 大 因 緣  造 作 歸 依 德 處 海 故  云 
ZH_X46_0776_001:0174a13	何名為十種因緣。一者禮敬尊重甚深因緣。能作禮	001	何 名 為 十 種 因 緣  一 者 禮 敬 尊 重 甚 深 因 緣  能 作 禮 
ZH_X46_0776_001:0174a14	敬歸依德處。摧伏憍慢增長善根故。如偈禮故。二者	001	敬 歸 依 德 處  摧 伏 憍 慢 增 長 善 根 故  如 偈 禮 故  二 者 
ZH_X46_0776_001:0174a15	憶念恩澤報推因緣。而能造作勝妙論教。開曉一切	001	憶 念 恩 澤 報 推 因 緣  而 能 造 作 勝 妙 論 教  開 曉 一 切 
ZH_X46_0776_001:0174a16	狂亂眾生。一切德處皆悉歡喜故。如偈恩故。三者仰	001	狂 亂 眾 生  一 切 德 處 皆 悉 歡 喜 故  如 偈 恩 故  三 者 仰 
ZH_X46_0776_001:0174a17	請加力成為因緣。若為造作大論法門。彼諸德處不	001	請 加 力 成 為 因 緣  若 為 造 作 大 論 法 門  彼 諸 德 處 不 
ZH_X46_0776_001:0174a18	以加力。不能分別法門海故。如偈及加力故。四者開	001	以 加 力  不 能 分 別 法 門 海 故  如 偈 及 加 力 故  四 者 開 
ZH_X46_0776_001:0174a19	布廣散令了因緣。以妙言辭示聰明詮。現了彼諸脩	001	布 廣 散 令 了 因 緣  以 妙 言 辭 示 聰 明 詮  現 了 彼 諸 脩 
ZH_X46_0776_001:0174a20	多羅中祕密微妙深遠文義大海。為令廣大故。如偈	001	多 羅 中 祕 密 微 妙 深 遠 文 義 大 海  為 令 廣 大 故  如 偈 
ZH_X46_0776_001:0174a21	廣大故。五者勸物令生殊勝因緣。造作論教開示文	001	廣 大 故  五 者 勸 物 令 生 殊 勝 因 緣  造 作 論 教 開 示 文 
ZH_X46_0776_001:0174a22	義。若不歸依。彼諸眾生不能究竟信受奉行故。如偈	001	義  若 不 歸 依  彼 諸 眾 生 不 能 究 竟 信受奉行 故  如 偈 
ZH_X46_0776_001:0174a23	殊勝故。六者修習忍辱無我因緣。發起歡喜。尊重歸	001	殊 勝 故  六 者 修 習 忍 辱 無 我 因 緣  發 起 歡 喜  尊 重 歸 
ZH_X46_0776_001:0174a24	向廣大心故。如偈與無我故。七者出生功德決定因	001	向 廣 大 心 故  如 偈 與 無 我 故  七 者 出 生 功 德 決 定 因 
ZH_X46_0776_001:0174b01	緣。歸依德處造作論教。若見若聞。若見見者。若聞聞	001	緣  歸 依 德 處 造 作 論 教  若 見 若 聞  若 見 見 者  若 聞 聞 
ZH_X46_0776_001:0174b02	者。若同國住。一切皆悉隨時不移。出生增長無量無	001	者  若 同 國 住  一 切 皆 悉 隨 時 不 移  出 生 增 長 無 量 無 
ZH_X46_0776_001:0174b03	邊一切功德善根之品。決定決定不謬違故。如偈決	001	邊 一切功德 善 根 之 品  決 定 決 定 不 謬 違 故  如 偈 決 
ZH_X46_0776_001:0174b04	定故。八者大海無盡寶藏因緣。積集無量無邊一切	001	定 故  八 者 大 海 無 盡 寶 藏 因 緣  積 集 無量無邊 一 切 
ZH_X46_0776_001:0174b05	諸種種力。造作殊勝圓滿大海如意寶輪金剛德藏。	001	諸 種 種 力  造 作 殊 勝 圓 滿 大 海 如 意 寶 輪 金 剛 德 藏  
