segmentnr	original	folio	analyzed
ZH_X13_0284_001:0198b11	二即空不空圓融無二義故能非遮非照遮照同	001	二 即 空 不 空 圓 融 無 二 義 故 能 非 遮 非 照 遮 照 同 
ZH_X13_0284_001:0198b12	時然則不離一喻三法宛然法身大故無所不統	001	時 然 則 不 離 一 喻 三 法 宛 然 法 身 大 故 無 所 不 統 
ZH_X13_0284_001:0198b13	般若大故無所不照解脫大故無所不融覺於真	001	般 若 大 故 無 所 不 照 解 脫 大 故 無 所 不 融 覺 於 真 
ZH_X13_0284_001:0198b14	諦故一空一切空覺於俗諦故一假一切假覺於	001	諦 故 一 空 一 切 空 覺 於 俗 諦 故 一 假 一 切 假 覺 於 
ZH_X13_0284_001:0198b15	中諦故一中一切中一空一切空空無空相故無	001	中 諦 故 一 中 一 切 中 一 空 一 切 空 空 無 空 相 故 無 
ZH_X13_0284_001:0198b16	有一法出過於空一假一切假假無假相故無有	001	有 一 法 出 過 於 空 一 假 一 切 假 假 無 假 相 故 無 有 
ZH_X13_0284_001:0198b17	一法出過於假一中一切中中無中相故無有一	001	一 法 出 過 於 假 一 中 一 切 中 中 無 中 相 故 無 有 一 
ZH_X13_0284_001:0198b18	法出過於中三字共顯三德而非縱一字各具三	001	法 出 過 於 中 三 字 共 顯 三 德 而 非 縱 一 字 各 具 三 
ZH_X13_0284_001:0198b19	義而非橫不縱不橫名祕密藏七趣迷此而沉淪	001	義 而 非 橫 不 縱 不 橫 名 祕 密 藏 七 趣 迷 此 而 沉 淪 
ZH_X13_0284_001:0198b20	迷亦不失二乘昧此而枯寂昧亦不減如來證此	001	迷 亦 不 失 二 乘 昧 此 而 枯 寂 昧 亦 不 減 如 來 證 此 
ZH_X13_0284_001:0198b21	為極果果亦非果菩薩悟此為真因因亦非因善	001	為 極 果 果 亦 非 果 菩 薩 悟 此 為 真 因 因 亦 非 因 善 
ZH_X13_0284_001:0198b22	讀經者能向此三字中識取自心則無上寶王不	001	讀 經 者 能 向 此 三 字 中 識 取 自 心 則 無 上 寶 王 不 
ZH_X13_0284_001:0198b23	求自致善觀心者能向一介爾心中識此妙理則	001	求 自 致 善 觀 心 者 能 向 一 介 爾 心 中 識 此 妙 理 則 
ZH_X13_0284_001:0198b24	無邊法藏觸處洞明故先約心法略釋也。	001	無 邊 法 藏 觸 處 洞 明 故 先 約 心 法 略 釋 也  
ZH_X13_0284_001:0198c01	次約佛法廣釋者心法圓具何所不周迷強不知	001	次 約 佛 法 廣 釋 者 心 法 圓 具 何 所 不 周 迷 強 不 知 
ZH_X13_0284_001:0198c02	更觀果德驗果知因令自薦取所云廣者不過廣	001	更 觀 果 德 驗 果 知 因 令 自 薦 取 所 云 廣 者 不 過 廣 
ZH_X13_0284_001:0198c03	其所略非謂心外更有佛法也復為四意一約事	001	其 所 略 非 謂 心 外 更 有 佛 法 也 復 為 四 意 一 約 事 
ZH_X13_0284_001:0198c04	釋二約理釋三約法釋四約喻釋雖似徧用古釋	001	釋 二 約 理 釋 三 約 法 釋 四 約 喻 釋 雖 似 徧 用 古 釋 
ZH_X13_0284_001:0198c05	有二不同一者若但徧用古釋不能相融今四釋	001	有 二 不 同 一 者 若 但 徧 用 古 釋 不 能 相 融 今 四 釋 
ZH_X13_0284_001:0198c06	各列而義實融通二者就今四釋各論則名與古	001	各 列 而 義 實 融 通 二 者 就 今 四 釋 各 論 則 名 與 古 
ZH_X13_0284_001:0198c07	同而義味迥別讀者當自詳之。一約事釋者經	001	同 而 義 味 迥 別 讀 者 當 自 詳 之  一 約 事 釋 者 經 
ZH_X13_0284_001:0198c08	初卷云世尊頂放百寶無畏光明光中出生千葉	001	初 卷 云 世 尊 頂 放 百 寶 無 畏 光 明 光 中 出 生 千 葉 
ZH_X13_0284_001:0198c09	寶蓮有佛化身結跏趺坐宣說神呪第七卷云斯	001	寶 蓮 有 佛 化 身 結跏趺坐 宣 說 神 呪 第 七 卷 云 斯 
ZH_X13_0284_001:0198c10	是如來無見頂相無為心佛從頂發輝坐寶蓮華	001	是 如 來 無見頂相 無 為 心 佛 從 頂 發 輝 坐 寶 蓮 華 
ZH_X13_0284_001:0198c11	所說心呪又云世尊從肉髻中湧百寶光乃至化	001	所 說 心 呪 又 云 世 尊 從 肉 髻 中 湧 百 寶 光 乃 至 化 
ZH_X13_0284_001:0198c12	佛頂放十道百寶光明一一光明皆徧示現十恒	001	佛 頂 放 十 道 百 寶 光 明 一 一 光 明 皆 徧 示 現 十 恒 
ZH_X13_0284_001:0198c13	河沙金剛密跡擎山持杵徧虗空界然後宣說神	001	河 沙 金剛密跡 擎 山 持 杵 徧 虗 空 界 然 後 宣 說 神 
ZH_X13_0284_001:0198c14	呪又云亦說此呪名如來頂而結名中直云是經	001	呪 又 云 亦 說 此 呪 名 如 來 頂 而 結 名 中 直 云 是 經 
ZH_X13_0284_001:0198c15	名大佛頂悉怛多般怛羅無上寶印十方如來清	001	名 大 佛 頂 悉怛多般怛羅 無 上 寶 印 十 方 如 來 清 
ZH_X13_0284_001:0198c16	淨海眼故可約事直釋謂此呪既是大佛頂呪此	001	淨 海 眼 故 可 約 事 直 釋 謂 此 呪 既 是 大 佛 頂 呪 此 
ZH_X13_0284_001:0198c17	經即名大佛頂經也夫事相法門必有所表且此	001	經 即 名 大 佛 頂 經 也 夫 事 相 法 門 必 有 所 表 且 此 
ZH_X13_0284_001:0198c18	神呪釋迦何不自宣乃現頂光化佛又此化佛何	001	神 呪 釋 迦 何 不 自 宣 乃 現 頂 光 化 佛 又 此 化 佛 何 
ZH_X13_0284_001:0198c19	故名為無為心佛良以釋迦如來既已示現出家	001	故 名 為 無 為 心 佛 良 以 釋 迦 如 來 既 已 示 現 出 家 
ZH_X13_0284_001:0198c20	修道方證菩提眾生習見謂是從父母以生身從	001	修 道 方 證 菩 提 眾 生 習 見 謂 是 從 父 母 以 生 身 從 
ZH_X13_0284_001:0198c21	修證而尅果條然與我輩有殊曾不知其心性平	001	修 證 而 尅 果 條 然 與 我 輩 有 殊 曾 不 知 其 心 性 平 
ZH_X13_0284_001:0198c22	等故今頂現化佛表其非屬修成秪是即心自性	001	等 故 今 頂 現 化 佛 表 其 非 屬 修 成 秪 是 即 心 自 性 
ZH_X13_0284_001:0198c23	方是法身無為天然妙覺尊勝第一應化之本法	001	方 是 法 身 無 為 天 然 妙 覺 尊 勝 第 一 應 化 之 本 法 
ZH_X13_0284_001:0198c24	身故稱大妙覺故稱佛尊勝故稱頂此大佛頂的	001	身 故 稱 大 妙 覺 故 稱 佛 尊 勝 故 稱 頂 此 大 佛 頂 的 
ZH_X13_0284_001:0199a01	是十界同具之心源耳近有解者因見經文頂光	001	是 十 界 同 具 之 心 源 耳 近 有 解 者 因 見 經 文 頂 光 
ZH_X13_0284_001:0199a02	化佛遂欲以大佛頂如來五字為句殊覺割裂文	001	化 佛 遂 欲 以 大 佛 頂 如 來 五 字 為 句 殊 覺 割 裂 文 
ZH_X13_0284_001:0199a03	旨不知只此三字已足攝於化佛之事矣問曰既	001	旨 不 知 只 此 三 字 已 足 攝 於 化 佛 之 事 矣 問 曰 既 
ZH_X13_0284_001:0199a04	云表法寧不濫下約理答曰彼則直約三德道理	001	云 表 法 寧 不 濫 下 約 理 答 曰 彼 則 直 約 三 德 道 理 
ZH_X13_0284_001:0199a05	此但托事表法仍屬事釋又問既有所表寧不濫	001	此 但 托 事 表 法 仍 屬 事 釋 又 問 既 有 所 表 寧 不 濫 
ZH_X13_0284_001:0199a06	下約喻答曰彼則擴其不滯見相之喻無關於事	001	下 約 喻 答 曰 彼 則 擴 其 不 滯 見 相 之 喻 無 關 於 事 
ZH_X13_0284_001:0199a07	今則即事有所詮表與經中放光動地諸事同例	001	今 則 即 事 有 所 詮 表 與 經 中 放 光 動 地 諸 事 同 例 
ZH_X13_0284_001:0199a08	不與氷水疊巾等喻同例也。二約理釋者舊云	001	不 與 氷 水 疊 巾 等 喻 同 例 也  二 約 理 釋 者 舊 云 
ZH_X13_0284_001:0199a09	大即法身佛即般若頂即解脫三字分屬義或可	001	大 即 法 身 佛 即 般 若 頂 即 解 脫 三 字 分 屬 義 或 可 
ZH_X13_0284_001:0199a10	然文則割裂且圓妙三德理絕縱橫作此一途寧	001	然 文 則 割 裂 且 圓 妙 三 德 理 絕 縱 橫 作 此 一 途 寧 
ZH_X13_0284_001:0199a11	殫實義今明大佛頂三字直詮果上三德而字字	001	殫 實 義 今 明 大 佛 頂 三 字 直 詮 果 上 三 德 而 字 字 
ZH_X13_0284_001:0199a12	圓具三意亦復非橫所謂大者讚三德也法身體	001	圓 具 三 意 亦 復 非 橫 所 謂 大 者 讚 三 德 也 法 身 體 
ZH_X13_0284_001:0199a13	大般若相大解脫用大所謂佛者詺三德也法身	001	大 般 若 相 大 解 脫 用 大 所 謂 佛 者 詺 三 德 也 法 身 
ZH_X13_0284_001:0199a14	本覺般若始覺解脫究竟覺又般若自覺解脫覺	001	本 覺 般 若 始 覺 解 脫 究 竟 覺 又 般 若 自 覺 解 脫 覺 
ZH_X13_0284_001:0199a15	他法身覺滿所謂頂者表三德之究竟也法身更	001	他 法 身 覺 滿 所 謂 頂 者 表 三 德 之 究 竟 也 法 身 更 
ZH_X13_0284_001:0199a16	無可上般若不可相見解脫放光現化故合名之	001	無 可 上 般 若 不 可 相 見 解 脫 放 光 現 化 故 合 名 之 
ZH_X13_0284_001:0199a17	為大佛頂又一字中所具三義仍復各各圓具三	001	為 大 佛 頂 又 一 字 中 所 具 三 義 仍 復 各 各 圓 具 三 
ZH_X13_0284_001:0199a18	義大字三義者謂大多勝一往為語大是法身統	001	義 大 字 三 義 者 謂 大 多 勝 一 往 為 語 大 是 法 身 統 
ZH_X13_0284_001:0199a19	諸法故如經云此見及緣元是菩提妙淨明體等	001	諸 法 故 如 經 云 此 見 及 緣 元 是 菩 提 妙 淨 明 體 等 
ZH_X13_0284_001:0199a20	多是般若照諸境故如經云我以妙明不滅不生	001	多 是 般 若 照 諸 境 故 如 經 云 我 以 妙 明 不滅不生 
ZH_X13_0284_001:0199a21	合如來藏乃至於中一為無量等勝是解脫超一	001	合 如 來 藏 乃 至 於 中 一 為 無 量 等 勝 是 解 脫 超 一 
ZH_X13_0284_001:0199a22	切故如經云若能轉物即同如來等然法身亦多	001	切 故 如 經 云 若 能 轉 物 即 同 如 來 等 然 法 身 亦 多 
ZH_X13_0284_001:0199a23	亦勝般若亦勝亦大解脫亦大亦多法身多者徧	001	亦 勝 般 若 亦 勝 亦 大 解 脫 亦 大 亦 多 法 身 多 者 徧 
ZH_X13_0284_001:0199a24	一切處無非法身經云陰入處界皆如來藏妙真	001	一 切 處 無 非 法 身 經 云 陰 入 處 界 皆 如 來 藏 妙 真 
ZH_X13_0284_001:0199b01	如性隨舉一陰一根一塵一識即是如來藏之全	001	如 性 隨 舉 一 陰 一 根 一 塵 一 識 即 是 如 來 藏 之 全 
ZH_X13_0284_001:0199b02	體非是少分如千萬人仰視圓月各見全體若各	001	體 非 是 少 分 如 千 萬 人 仰 視 圓 月 各 見 全 體 若 各 
ZH_X13_0284_001:0199b03	各行各見圓月隨之而去法身非一非多而說為	001	各 行 各 見 圓 月 隨 之 而 去 法 身 非 一 非 多 而 說 為 
ZH_X13_0284_001:0199b04	多亦復如是法身勝者既云常住真心性淨明體	001	多 亦復如是 法 身 勝 者 既 云 常 住 真 心 性 淨 明 體 
ZH_X13_0284_001:0199b05	寧不最勝此易可知般若勝者第一波羅蜜多故	001	寧 不 最 勝 此 易 可 知 般 若 勝 者 第 一 波羅蜜多 故 
ZH_X13_0284_001:0199b06	佛知見故般若大者如智如理無二體故如經云	001	佛 知 見 故 般 若 大 者 如 智 如 理 無 二 體 故 如 經 云 
ZH_X13_0284_001:0199b07	惟妙覺明圓照法界等解脫大者不可思議解脫	001	惟 妙 覺 明 圓 照 法 界 等 解 脫 大 者 不可思議 解 脫 
ZH_X13_0284_001:0199b08	當體絕待故如經云狂心頓歇歇即菩提勝淨明	001	當 體 絕 待 故 如 經 云 狂 心 頓 歇 歇 即 菩 提 勝 淨 明 
ZH_X13_0284_001:0199b09	心本周法界等解脫多者法法無縛故如大涅槃	001	心 本 周 法 界 等 解 脫 多 者 法 法 無 縛 故 如 大 涅 槃 
ZH_X13_0284_001:0199b10	百句解脫亦如淨名三十二門此經二十五圓通	001	百 句 解 脫 亦 如 淨 名 三 十 二 門 此 經 二 十 五 圓 通 
ZH_X13_0284_001:0199b11	等佛字三義者自覺覺他覺滿一往為語自覺是	001	等 佛 字 三 義 者 自覺覺他 覺 滿 一 往 為 語 自 覺 是 
ZH_X13_0284_001:0199b12	般若覺他是解脫覺滿是法身然自覺者即是自	001	般 若 覺 他 是 解 脫 覺 滿 是 法 身 然 自 覺 者 即 是 自 
ZH_X13_0284_001:0199b13	證三德覺他者即是令他亦證三德覺滿者即是	001	證 三 德 覺 他 者 即 是 令 他 亦 證 三 德 覺 滿 者 即 是 
ZH_X13_0284_001:0199b14	自他不二又本覺即是性中三德始覺即是因中	001	自 他 不 二 又 本 覺 即 是 性 中 三 德 始 覺 即 是 因 中 
ZH_X13_0284_001:0199b15	三德究竟覺即是果中三德頂字三義者謂最尊	001	三 德 究 竟 覺 即 是 果 中 三 德 頂 字 三 義 者 謂 最 尊 
ZH_X13_0284_001:0199b16	義不可見義放光現化義一往為語最尊是法身	001	義 不 可 見 義 放 光 現 化 義 一 往 為 語 最 尊 是 法 身 
ZH_X13_0284_001:0199b17	不可見是般若放光現化是解脫然三德無不最	001	不 可 見 是 般 若 放 光 現 化 是 解 脫 然 三 德 無 不 最 
ZH_X13_0284_001:0199b18	尊三德並不可見而能現所現一一無非三德全	001	尊 三 德 並 不 可 見 而 能 現 所 現 一 一 無 非 三 德 全 
ZH_X13_0284_001:0199b19	體斯則文義俱妙祕藏泠然是故經云而如來藏	001	體 斯 則 文 義 俱 妙 祕 藏 泠 然 是 故 經 云 而 如 來 藏 
ZH_X13_0284_001:0199b20	本妙圓心非心非空非地非水非風火非六根非	001	本 妙 圓 心 非 心 非 空 非 地 非 水 非 風 火 非 六 根 非 
ZH_X13_0284_001:0199b21	六塵非六識界非十二因緣非四諦智得非六度	001	六 塵 非 六 識 界 非 十二因緣 非 四 諦 智 得 非 六 度 
ZH_X13_0284_001:0199b22	彼岸非如來三號非涅槃四德以是俱非世出世	001	彼 岸 非 如 來 三 號 非 涅 槃 四 德 以 是 俱 非 世 出 世 
ZH_X13_0284_001:0199b23	故即如來藏元明心妙即心即空乃至即我即淨	001	故 即 如 來 藏 元 明 心 妙 即 心 即 空 乃 至 即 我 即 淨 
ZH_X13_0284_001:0199b24	以是俱即世出世故即如來藏妙明心元離即離	001	以 是 俱 即 世 出 世 故 即 如 來 藏 妙 明 心 元 離 即 離 
ZH_X13_0284_001:0199c01	非是即非即當知此即是大佛頂法之極證也蓋	001	非 是 即 非 即 當 知 此 即 是 大 佛 頂 法 之 極 證 也 蓋 
ZH_X13_0284_001:0199c02	此如來藏心秪是眾生本具理體惟佛以妙明不	001	此 如來藏心 秪 是 眾 生 本 具 理 體 惟 佛 以 妙 明 不 
ZH_X13_0284_001:0199c03	滅不生合之故發真如妙覺明性所謂發得本有	001	滅 不 生 合 之 故 發 真 如 妙 覺 明 性 所 謂 發 得 本 有 
ZH_X13_0284_001:0199c04	實無新得又復應知即此本具如來藏心非謂除	001	實 無 新 得 又 復 應 知 即 此 本 具 如來藏心 非 謂 除 
ZH_X13_0284_001:0199c05	却十界依正假名之外別有一總相法門以為能	001	却 十 界 依 正 假 名 之 外 別 有 一 總 相 法 門 以 為 能 
ZH_X13_0284_001:0199c06	非能即能雙遮照而以十界諸法為所非所即所	001	非 能 即 能 雙 遮 照 而 以 十 界 諸 法 為 所 非 所 即 所 
ZH_X13_0284_001:0199c07	雙遮照也特以不變之性熾然隨緣正隨緣處全	001	雙 遮 照 也 特 以 不 變 之 性 熾 然 隨 緣 正 隨 緣 處 全 
ZH_X13_0284_001:0199c08	體不變故於十法界中若染若淨若實若名若依	001	體 不 變 故 於 十 法 界 中 若 染 若 淨 若 實 若 名 若 依 
ZH_X13_0284_001:0199c09	若正隨拈一法即是全體如來藏心即復俱非俱	001	若 正 隨 拈 一 法 即 是 全 體 如來藏心 即 復 俱 非 俱 
ZH_X13_0284_001:0199c10	即雙遮雙照稱性圓融不可思議夫隨拈一法而	001	即 雙 遮 雙 照 稱 性 圓 融 不可思議 夫 隨 拈 一 法 而 
ZH_X13_0284_001:0199c11	十界皆離即離非是即非即者一往是大義也隨	001	十 界 皆 離 即 離 非 是 即 非 即 者 一 往 是 大 義 也 隨 
ZH_X13_0284_001:0199c12	拈一法而十界俱非者一往是佛義也隨拈一法	001	拈 一 法 而 十 界 俱 非 者 一 往 是 佛 義 也 隨 拈 一 法 
ZH_X13_0284_001:0199c13	而十界俱即者一往是頂義也復次離即離非是	001	而 十 界 俱 即 者 一 往 是 頂 義 也 復 次 離 即 離 非 是 
ZH_X13_0284_001:0199c14	即非即者體大義也本覺義也最尊義也十界俱	001	即 非 即 者 體 大 義 也 本 覺 義 也 最 尊 義 也 十 界 俱 
ZH_X13_0284_001:0199c15	非者相大義也始覺義也不可見義也十界俱即	001	非 者 相 大 義 也 始 覺 義 也 不 可 見 義 也 十 界 俱 即 
ZH_X13_0284_001:0199c16	者用大義也究竟覺義也現化義也乃至一義中	001	者 用 大 義 也 究 竟 覺 義 也 現 化 義 也 乃 至 一 義 中 
ZH_X13_0284_001:0199c17	更復圓具三義可准思之復次如來藏心本自離	001	更 復 圓 具 三 義 可 准 思 之 復 次 如來藏心 本 自 離 
ZH_X13_0284_001:0199c18	即離非是即非即遮照同時不可思議特以隨緣	001	即 離 非 是 即 非 即 遮 照 同 時 不可思議 特 以 隨 緣 
ZH_X13_0284_001:0199c19	即不變故一切俱非不變即隨緣故一切俱即又	001	即 不 變 故 一 切 俱 非 不 變 即 隨 緣 故 一 切 俱 即 又 
ZH_X13_0284_001:0199c20	不變隨緣者即是舉此一體三義而徧隨十界迷	001	不 變 隨 緣 者 即 是 舉 此 一 體 三 義 而 徧 隨 十 界 迷 
ZH_X13_0284_001:0199c21	悟染淨諸緣隨緣不變者即是舉彼十界迷悟染	001	悟 染 淨 諸 緣 隨 緣 不 變 者 即 是 舉 彼 十 界 迷 悟 染 
ZH_X13_0284_001:0199c22	淨諸法無不當體即是此之一體三義是故一切	001	淨 諸 法 無 不 當 體 即 是 此 之 一 體 三 義 是 故 一 切 
ZH_X13_0284_001:0199c23	俱非名為如實空義一切俱即名為如實不空義	001	俱 非 名 為 如 實 空 義 一 切 俱 即 名 為 如 實 不 空 義 
ZH_X13_0284_001:0199c24	空與不空只是如來藏性法爾圓具二義而其體	001	空 與 不 空 只 是 如 來 藏 性 法 爾 圓 具 二 義 而 其 體 
ZH_X13_0284_001:0200a01	元非空與不空故能雙照空與不空所以經中但	001	元 非 空 與 不 空 故 能 雙 照 空 與 不 空 所 以 經 中 但 
ZH_X13_0284_001:0200a02	稱如來藏本妙圓心元明心妙妙明心元並無三	001	稱 如 來 藏 本 妙 圓 心 元 明 心 妙 妙 明 心 元 並 無 三 
ZH_X13_0284_001:0200a03	如來藏之名即阿難之所致問觀音之所自述亦	001	如 來 藏 之 名 即 阿 難 之 所 致 問 觀 音 之 所 自 述 亦 
ZH_X13_0284_001:0200a04	皆但稱空如來藏更無有不空如來藏空不空如	001	皆 但 稱 空 如 來 藏 更 無 有 不 空 如 來 藏 空 不 空 如 
ZH_X13_0284_001:0200a05	來藏之兩名後世不直明如來藏心所具三義而	001	來 藏 之 兩 名 後 世 不 直 明 如來藏心 所 具 三 義 而 
ZH_X13_0284_001:0200a06	條然安立三名遂使乘言滯句之流似謂三藏各	001	條 然 安 立 三 名 遂 使 乘 言 滯 句 之 流 似 謂 三 藏 各 
ZH_X13_0284_001:0200a07	有別體亦可歎也約理釋竟。三約法釋者此是	001	有 別 體 亦 可 歎 也 約 理 釋 竟  三 約 法 釋 者 此 是 
ZH_X13_0284_001:0200a08	十方如來及大菩薩自住三昧是故最尊無上名	001	十 方 如 來 及 大 菩 薩 自 住 三 昧 是 故 最 尊 無 上 名 
ZH_X13_0284_001:0200a09	之曰大佛頂亦名第一義諦亦名勝義中真勝義	001	之 曰 大 佛 頂 亦 名 第一義諦 亦 名 勝 義 中 真 勝 義 
ZH_X13_0284_001:0200a10	性亦名無上覺道亦名無戲論法亦名阿毗達磨	001	性 亦 名 無 上 覺 道 亦 名 無 戲 論 法 亦 名 阿 毗 達 磨 
ZH_X13_0284_001:0200a11	亦名真實圓通亦名無等等阿耨多羅三藐三菩	001	亦 名 真 實 圓 通 亦 名 無 等 等 阿 耨 多 羅 三 藐 三 菩 
ZH_X13_0284_001:0200a12	提心以要言之只是眾生本具心性常不變而隨	001	提 心 以要言之 只 是 眾 生 本 具 心 性 常 不 變 而 隨 
ZH_X13_0284_001:0200a13	緣正隨緣而不變迷之則生死無邊類演若之狂	001	緣 正 隨 緣 而 不 變 迷 之 則 生 死 無 邊 類 演 若 之 狂 
ZH_X13_0284_001:0200a14	走悟之則涅槃本有喻神珠之元在惟此理為真	001	走 悟 之 則 涅 槃 本 有 喻 神 珠 之 元 在 惟 此 理 為 真 
ZH_X13_0284_001:0200a15	實故是大覺最勝之頂法也經中初則從胸卍字	001	實 故 是 大 覺 最 勝 之 頂 法 也 經 中 初 則 從 胸 卍 字 
ZH_X13_0284_001:0200a16	涌出寶光徧灌十方諸如來頂次則十方如來頂	001	涌 出 寶 光 徧 灌 十 方 諸 如 來 頂 次 則 十 方 如 來 頂 
ZH_X13_0284_001:0200a17	光來灌佛頂乃至說圓通已世尊及十方佛五體	001	光 來 灌 佛 頂 乃 至 說 圓 通 已 世 尊 及 十 方 佛 五 體 
ZH_X13_0284_001:0200a18	同放寶光互灌佛及諸菩薩頂皆即表示此最勝	001	同 放 寶 光 互 灌 佛 及 諸 菩 薩 頂 皆 即 表 示 此 最 勝 
ZH_X13_0284_001:0200a19	法所謂依最勝理說教依最勝教起行依最勝行	001	法 所 謂 依 最 勝 理 說 教 依 最 勝 教 起 行 依 最 勝 行 
ZH_X13_0284_001:0200a20	還契此最勝理教行理三悉名大佛頂矣。四約	001	還 契 此 最 勝 理 教 行 理 三 悉 名 大 佛 頂 矣  四 約 
ZH_X13_0284_001:0200a21	喻者舊云喻之以佛頂使不滯於見相意謂佛頂	001	喻 者 舊 云 喻 之 以 佛 頂 使 不 滯 於 見 相 意 謂 佛 頂 
ZH_X13_0284_001:0200a22	是相而不可見則不滯於相猶般若所謂若見諸	001	是 相 而 不 可 見 則 不 滯 於 相 猶 般 若 所 謂 若 見 諸 
ZH_X13_0284_001:0200a23	相非相即見如來此但即空意耳若善用之則成	001	相 非 相 即 見 如 來 此 但 即 空 意 耳 若 善 用 之 則 成 
ZH_X13_0284_001:0200a24	衍教初門不善解之仍墮無相窠臼般若如大火	001	衍 教 初 門 不 善 解 之 仍 墮 無 相 窠 臼 般 若 如 大 火 
ZH_X13_0284_001:0200b01	聚四邊俱不可觸觸則被燒云何單約無相義解	001	聚 四 邊 俱 不 可 觸 觸 則 被 燒 云 何 單 約 無 相 義 解 
ZH_X13_0284_001:0200b02	耶今謂如來藏性不可以有相喻不可以無相喻	001	耶 今 謂 如 來 藏 性 不 可 以 有 相 喻 不 可 以 無 相 喻 
ZH_X13_0284_001:0200b03	不可以亦有亦無相喻不可以非有非無相喻譬	001	不 可 以 亦 有 亦 無 相 喻 不 可 以 非有非無 相 喻 譬 
ZH_X13_0284_001:0200b04	如佛頂不可謂有相不可謂無相不可謂亦有亦	001	如 佛 頂 不 可 謂 有 相 不 可 謂 無 相 不 可 謂 亦 有 亦 
ZH_X13_0284_001:0200b05	無相不可謂非有非無相若謂有相何以華嚴九	001	無 相 不 可 謂 非有非無 相 若 謂 有 相 何 以 華 嚴 九 
ZH_X13_0284_001:0200b06	地善知識自云不可得見若謂無相何以此會大	001	地 善 知 識 自 云 不 可 得 見 若 謂 無 相 何 以 此 會 大 
ZH_X13_0284_001:0200b07	眾皆得仰觀頂光化佛若謂亦有亦無相終屬相	001	眾 皆 得 仰 觀 頂 光 化 佛 若 謂 亦 有 亦 無 相 終 屬 相 
ZH_X13_0284_001:0200b08	違若謂非有非無相徒增戲論如來藏性亦復如	001	違 若 謂 非有非無 相 徒 增 戲 論 如 來 藏 性 亦 復 如 
ZH_X13_0284_001:0200b09	是經云指皆是物無是見者又云而如來藏本妙	001	是 經 云 指 皆 是 物 無 是 見 者 又 云 而 如 來 藏 本 妙 
ZH_X13_0284_001:0200b10	圓心非心非空乃至非我非淨此即喻如佛頂不	001	圓 心 非 心 非 空 乃 至 非 我 非 淨 此 即 喻 如 佛 頂 不 
ZH_X13_0284_001:0200b11	可以相見也經云是萬象中微細發明無非見者	001	可 以 相 見 也 經 云 是 萬 象 中 微 細 發 明 無 非 見 者 
ZH_X13_0284_001:0200b12	又云而如來藏元明心妙即心即空乃至即我即	001	又 云 而 如 來 藏 元 明 心 妙 即 心 即 空 乃 至 即 我 即 
ZH_X13_0284_001:0200b13	淨此即喻如佛頂不可以非相見也經云見與見	001	淨 此 即 喻 如 佛 頂 不 可 以 非 相 見 也 經 云 見 與 見 
ZH_X13_0284_001:0200b14	緣并所想相如虗空華本無所有又云而如來藏	001	緣 并 所 想 相 如 虗 空 華 本 無 所 有 又 云 而 如 來 藏 
ZH_X13_0284_001:0200b15	妙明心元離即離非此即喻如佛頂不可以亦有	001	妙 明 心 元 離 即 離 非 此 即 喻 如 佛 頂 不 可 以 亦 有 
ZH_X13_0284_001:0200b16	亦無相見也經云此見及緣元是菩提妙淨明體	001	亦 無 相 見 也 經 云 此 見 及 緣 元 是 菩 提 妙 淨 明 體 
ZH_X13_0284_001:0200b17	云何於中有是非是又云而如來藏妙明心元是	001	云 何 於 中 有 是 非 是 又 云 而 如 來 藏 妙 明 心 元 是 
ZH_X13_0284_001:0200b18	即非即此即喻如佛頂不可以非有非無相見也	001	即 非 即 此 即 喻 如 佛 頂 不 可 以 非有非無 相 見 也 
ZH_X13_0284_001:0200b19	般若云若見諸相非相即見如來古人云若見諸	001	般 若 云 若 見 諸 相 非 相 即 見 如 來 古 人 云 若 見 諸 
ZH_X13_0284_001:0200b20	相非相即不見如來又云若見諸相非相即見眉	001	相 非 相 即 不 見 如 來 又 云 若 見 諸 相 非 相 即 見 眉 
ZH_X13_0284_001:0200b21	毛在眼上又般若偈云若以色見我以音聲求我	001	毛 在 眼 上 又 般 若 偈 云 若 以 色 見 我 以 音 聲 求 我 
ZH_X13_0284_001:0200b22	是人行邪道不能見如來予翻偈云若離色見我	001	是 人 行 邪 道 不 能 見 如 來 予 翻 偈 云 若 離 色 見 我 
ZH_X13_0284_001:0200b23	離音聲求我是人行邪道不能見如來乃至亦即	001	離 音 聲 求 我 是 人 行 邪 道 不 能 見 如 來 乃 至 亦 即 
ZH_X13_0284_001:0200b24	亦離不即不離均成邪道若善用之則四句即成	001	亦 離 不 即 不 離 均 成 邪 道 若 善 用 之 則 四 句 即 成 
ZH_X13_0284_001:0200c01	四門門門皆可入道故以佛頂喻如來藏須知若	001	四 門 門 門 皆 可 入 道 故 以 佛 頂 喻 如 來 藏 須 知 若 
ZH_X13_0284_001:0200c02	喻若法無不圓離四謗圓具四門方無過各耳約	001	喻 若 法 無 不 圓 離 四 謗 圓 具 四 門 方 無 過 各 耳 約 
ZH_X13_0284_001:0200c03	佛法廣釋竟。	001	佛 法 廣 釋 竟  
ZH_X13_0284_001:0200c04	三約眾生法例釋者夫大佛頂性含靈本有雖迷	001	三 約 眾 生 法 例 釋 者 夫 大 佛 頂 性 含 靈 本 有 雖 迷 
