segmentnr	original	folio	analyzed
ZH_X59_1084_001:0326c20	界。無二無別。大毗盧遮那成佛神變加持經第二卷	001	界  無 二 無 別  大 毗 盧 遮 那 成 佛 神 變 加 持 經 第 二 卷 
ZH_X59_1084_001:0326c21	中。法界真言曰。[口*藍]。瑜伽蓮花部念誦法云。當觀頂上	001	中  法 界 真 言 曰  [口藍]  瑜 伽 蓮 花 部 念 誦 法 云  當 觀 頂 上 
ZH_X59_1084_001:0326c22	有法界生字。放赤色光。所謂[口*藍]字。顯密圓通云。此梵	001	有 法 界 生 字  放 赤 色 光  所 謂 [口藍] 字  顯 密 圓 通 云  此 梵 
ZH_X59_1084_001:0326c23	書[口*藍]字。若想若誦。能令三業。悉皆清淨。一切罪障盡	001	書 [口藍] 字  若 想 若 誦  能 令 三 業  悉 皆 清 淨  一 切 罪 障 盡 
ZH_X59_1084_001:0326c24	得消除。又能成辦一切勝事。隨所住處。悉得清淨。衣	001	得 消 除  又 能 成 辦 一 切 勝 事  隨 所 住 處  悉 得 清 淨  衣 
ZH_X59_1084_001:0326c25	服不淨。便成淨衣。身不澡浴。便當澡浴。若用水作淨。	001	服 不 淨  便 成 淨 衣  身 不 澡 浴  便 當 澡 浴  若 用 水 作 淨  
ZH_X59_1084_001:0326c26	不名真淨。用此法界心[口*藍]字淨之。即名畢竟清淨。譬	001	不 名 真 淨  用 此 法 界 心 [口藍] 字 淨 之  即 名 畢 竟 清 淨  譬 
ZH_X59_1084_001:0326c27	如靈丹一粒。點鐵成金。真言一字。變染成淨。又大毗	001	如 靈 丹 一 粒  點 鐵 成 金  真 言 一 字  變 染 成 淨  又 大 毗 
ZH_X59_1084_001:0327a01	盧遮那成佛神變加持經第四卷中。有淨法界真言	001	盧 遮 那 成 佛 神 變 加 持 經 第 四 卷 中  有 淨 法 界 真 言 
ZH_X59_1084_001:0327a02	曰。南無三曼多勃駄南達麼馱睹薩嚩婆嚩句痕。大	001	曰  南 無 三 曼 多 勃 駄 南 達 麼 馱 睹 薩 嚩 婆 嚩 句 痕  大 
ZH_X59_1084_001:0327a03	悲空智儀軌經云。佛說一切真言。句首當安唵字。次	001	悲 空 智 儀 軌 經 云  佛 說 一 切 真 言  句 首 當 安 唵 字  次 
ZH_X59_1084_001:0327a04	安吽癹吒字。後用莎賀字。若真言初以唵字。後加莎	001	安 吽 癹 吒 字  後 用 莎 賀 字  若 真 言 初 以 唵 字  後 加 莎 
ZH_X59_1084_001:0327a05	訶字。寂災用。初以唵字。後加[合*牛]癹字。攝召用。初後納	001	訶 字  寂 災 用  初 以 唵 字  後 加 [合牛] 癹 字  攝 召 用  初 後 納 
ZH_X59_1084_001:0327a06	麼。增益用。初後[合*牛]癹。降伏用)。	001	麼  增 益 用  初 後 [合牛] 癹  降 伏 用   
ZH_X59_1084_001:0327a07	∴點淨真言(誦真言時。用右手無名指。搵取香水。彈洒虗空。并塗掌。想壇場	001	 點 淨 真 言  誦 真 言 時  用 右 手 無 名 指  搵 取 香 水  彈 洒 虗 空  并 塗 掌  想 壇 場 
ZH_X59_1084_001:0327a08	內外。悉令清淨)。	001	內 外  悉 令 清 淨   
ZH_X59_1084_001:0327a09	唵啞穆葛拶囉彌麻迎蘇嚕蘇嚕莎訶	001	唵 啞 穆 葛 拶 囉 彌 麻 迎 蘇 嚕 蘇 嚕 莎 訶 
ZH_X59_1084_001:0327a11	(此真言名。出不空罥索	001	 此 真 言 名  出 不 空 罥 索 
ZH_X59_1084_001:0327a12	經。用右手無名指。搵取	001	經  用 右 手 無 名 指  搵 取 
ZH_X59_1084_001:0327a13	白檀香水。塗二手掌。甘	001	白 檀 香 水  塗 二 手 掌  甘 
ZH_X59_1084_001:0327a14	露軍茶利儀軌云。修瑜	001	露 軍 茶 利 儀 軌 云  修 瑜 
ZH_X59_1084_001:0327a15	伽者。不應執著外淨。當	001	伽 者  不 應 執 著 外 淨  當 
ZH_X59_1084_001:0327a16	以勝義自性清淨法水。	001	以 勝義自性 清 淨 法 水  
ZH_X59_1084_001:0327a17	洗滌身心。如理相應。守	001	洗 滌 身 心  如 理 相 應  守 
ZH_X59_1084_001:0327a18	護國界主陀羅尼經云。金剛結跏。端身正坐。左手仰	001	護 國 界 主 陀 羅 尼 經 云  金 剛 結 跏  端 身 正 坐  左 手 仰 
ZH_X59_1084_001:0327a19	掌。當于臍上。右手仰掌。重左手上。以大拇指令頭相	001	掌  當 于 臍 上  右 手 仰 掌  重 左 手 上  以 大 拇 指 令 頭 相 
ZH_X59_1084_001:0327a20	拄。此印名為第一最勝三昧之印。能滅狂亂。一切妄	001	拄  此 印 名 為 第 一 最 勝 三 昧 之 印  能 滅 狂 亂  一 切 妄 
ZH_X59_1084_001:0327a21	念。令心一境。澄定身心。方入法界三昧)。	001	念  令 心 一 境  澄 定 身 心  方 入 法 界 三 昧   
ZH_X59_1084_001:0327a22	∴加持花米真言(誦真言時。以手拈花米三次。想成光明種。出生金銀	001	 加 持 花 米 真 言  誦 真 言 時  以 手 拈 花 米 三 次  想 成 光 明 種  出 生 金 銀 
ZH_X59_1084_001:0327a23	碧玉珍寶之雲)。	001	碧 玉 珍 寶 之 雲   
ZH_X59_1084_001:0327a24	唵斡資囉(二合)[口*普]彌啞吽	001	唵 斡 資 囉  二 合  [口普] 彌 啞 吽 
ZH_X59_1084_001:0327a25	(持明藏儀軌經云。用稻穀花。徧散其上。虗空藏菩薩	001	 持 明 藏 儀 軌 經 云  用 稻 穀 花  徧 散 其 上  虗 空 藏 菩 薩 
ZH_X59_1084_001:0327a26	問七佛陀羅尼經云。以三指撮米花而呪之。此即花	001	問 七 佛 陀 羅 尼 經 云  以 三 指 撮 米 花 而 呪 之  此 即 花 
ZH_X59_1084_001:0327a27	米之因也。將欲應用。表顯諸法。故加持之)。	001	米 之 因 也  將 欲 應 用  表 顯 諸 法  故 加 持 之   
ZH_X59_1084_001:0327b01	∴加持鈴杵真言(誦真言時。手拈花米。洒在鈴杵上。想成智慧種)。	001	 加 持 鈴 杵 真 言  誦 真 言 時  手 拈 花 米  洒 在 鈴 杵 上  想 成 智 慧 種   
ZH_X59_1084_001:0327b02	唵斡資囉(二合)薩答啞吽	001	唵 斡 資 囉  二 合  薩 答 啞 吽 
ZH_X59_1084_001:0327b03	唵斡資囉(二合)看吒啞吽	001	唵 斡 資 囉  二 合  看 吒 啞 吽 
ZH_X59_1084_001:0327b04	(金剛頂蓮花部心儀軌云。次結振鈴印。右杵左振鈴	001	 金 剛 頂 蓮 花 部 心 儀 軌 云  次 結 振 鈴 印  右 杵 左 振 鈴 
ZH_X59_1084_001:0327b05	心入聲解脫。觀照般若理。仁王護國般若波羅蜜多	001	心 入 聲 解 脫  觀 照 般 若 理  仁 王 護 國 般 若 波羅蜜多 
ZH_X59_1084_001:0327b06	經道場念誦儀軌云。東方金剛手菩薩。手執金剛杵。	001	經 道 場 念 誦 儀 軌 云  東 方 金剛手菩薩  手 執 金 剛 杵  
ZH_X59_1084_001:0327b07	表起正智。猶如金剛。能斷我法。微細障故。北方金剛	001	表 起 正 智  猶如金剛  能 斷 我 法  微 細 障 故  北 方 金 剛 
ZH_X59_1084_001:0327b08	藥义菩薩。手持金剛鈴。鈴音振擊。覺悟有情。以表般	001	藥 义 菩 薩  手 持 金 剛 鈴  鈴 音 振 擊  覺 悟 有 情  以 表 般 
ZH_X59_1084_001:0327b09	若。警羣迷故。諸部要目引經云。不持金剛杵。無由得	001	若  警 羣 迷 故  諸 部 要 目 引 經 云  不 持 金 剛 杵  無 由 得 
ZH_X59_1084_001:0327b10	成就。金剛杵者。菩提心義。能壞斷二邊。契中道)。	001	成 就  金 剛 杵 者  菩 提 心 義  能 壞 斷 二 邊  契 中 道   
ZH_X59_1084_001:0327b11	唵(一)(引)啞(二)(引)吽(三)(引)	001	唵  一   引  啞  二   引  吽  三   引  
ZH_X59_1084_001:0327b12	(大教王經云。唵字是大徧照如來。啊字是無量壽如	001	 大 教 王 經 云  唵 字 是 大 徧 照 如 來  啊 字 是 無 量 壽 如 
ZH_X59_1084_001:0327b13	來。吽字是阿閦如來。佛說大悲空智大教王儀軌云。	001	來  吽 字 是 阿 閦 如 來  佛 說 大 悲 空 智 大 教 王 儀 軌 云  
ZH_X59_1084_001:0327b14	唵啞吽三字。名加持真言。成佛儀軌云。由誦此唵字。	001	唵 啞 吽 三 字  名 加 持 真 言  成 佛 儀 軌 云  由 誦 此 唵 字  
ZH_X59_1084_001:0327b15	加持威力故。縱觀想不成。于諸佛海會。諸供養雲海。	001	加 持 威 力 故  縱 觀 想 不 成  于 諸 佛 海 會  諸 供 養 雲 海  
ZH_X59_1084_001:0327b16	真實真成就。由諸佛誠諦法爾所成故。由適誦啊字。	001	真 實 真 成 就  由 諸 佛 誠 諦 法 爾 所 成 故  由 適 誦 啊 字  
ZH_X59_1084_001:0327b17	摧滅諸罪障。獲諸悅意樂。等同一切佛。超勝諸魔羅。	001	摧 滅 諸 罪 障  獲 諸 悅 意 樂  等 同 一 切 佛  超 勝 諸 魔 羅  
ZH_X59_1084_001:0327b18	不能為障礙。應受諸世間。廣大之供養。由吽字加持。	001	不 能 為 障 礙  應 受 諸 世 間  廣 大 之 供 養  由 吽 字 加 持  
ZH_X59_1084_001:0327b19	虎狼諸毒虫。惡心人非人。盡無能陵屈。如來初成佛。	001	虎 狼 諸 毒 虫  惡 心 人 非 人  盡 無 能 陵 屈  如 來 初 成 佛  
ZH_X59_1084_001:0327b20	于菩提樹下。以此印密言。摧壞天魔眾。分一二三。并	001	于 菩提樹下  以 此 印 密 言  摧 壞 天 魔 眾  分 一 二 三  并 
ZH_X59_1084_001:0327b21	引字。準密。呪圓因集)。	001	引 字  準 密  呪 圓 因 集   
ZH_X59_1084_001:0327b22	降魔偈(持杵振鈴誦)。	001	降 魔 偈  持 杵 振 鈴 誦   
ZH_X59_1084_001:0327b23	　我今振鈴杵　　聲徧十方處　　禮請諸聖賢	001	 我 今 振 鈴 杵   聲 徧 十 方 處   禮 請 諸 聖 賢 
ZH_X59_1084_001:0327b24	　悉皆來赴會	001	 悉 皆 來 赴 會 
ZH_X59_1084_001:0327b25	　∴此乃一切諸如來　　手中執持金剛杵	001	  此 乃 一切諸如來   手 中 執 持 金 剛 杵 
ZH_X59_1084_001:0327b26	　金剛佛母大勇識　　我亦恒常而執持	001	 金 剛 佛 母 大 勇 識   我 亦 恒 常 而 執 持 
ZH_X59_1084_001:0327c01	　∴願滅有情大愚癡　　唵賀囉賀囉吽(三遍)	001	  願 滅 有 情 大 愚 癡   唵 賀 囉 賀 囉 吽  三 遍  
ZH_X59_1084_001:0327c02	　∴左手執持微妙七寶鐸　　洪音振動十方及三際	001	  左 手 執 持 微 妙 七 寶 鐸   洪 音 振 動 十 方 及 三 際 
ZH_X59_1084_001:0327c03	　梵音嘹喨驚覺魔冤心　　摧碎邪妖魍魎諸鬼魅	001	 梵 音 嘹 喨 驚 覺 魔 冤 心   摧 碎 邪 妖 魍 魎 諸 鬼 魅 
ZH_X59_1084_001:0327c04	　∴右手執持金剛降魔杵　　威勢力重八萬四千觔	001	  右 手 執 持 金 剛 降 魔 杵   威 勢 力 重 八萬四千 觔 
ZH_X59_1084_001:0327c05	　摧壞天與非天魔眷屬　　普使回光返照而渴仰	001	 摧 壞 天 與 非 天 魔 眷 屬   普 使 回 光 返 照 而 渴 仰 
ZH_X59_1084_001:0327c06	　∴內外冤魔三毒四害等　　呪咀魘禱波旬及外道	001	  內 外 冤 魔 三 毒 四 害 等   呪 咀 魘 禱 波 旬 及 外 道 
ZH_X59_1084_001:0327c07	　三尖火輪遣魔變空力　　能使顛倒夢想皆遠離	001	 三 尖 火 輪 遣 魔 變 空 力   能 使 顛 倒 夢 想 皆 遠 離 
ZH_X59_1084_001:0327c08	　∴四方八面忿怒諸天魔　　聞我作法諦聽而信受	001	  四 方 八 面 忿 怒 諸 天 魔   聞 我 作 法 諦 聽 而 信 受 
ZH_X59_1084_001:0327c09	　唧[口*亡]叭怛秘密妙伽陀　　彈指掃蕩&#;惡及禍崇	001	 唧 [口亡] 叭 怛 秘 密 妙 伽 陀   彈 指 掃 蕩    惡 及 禍 崇 
ZH_X59_1084_001:0327c10	十二因緣呪	001	十二因緣 呪 
ZH_X59_1084_001:0327c11	唵耶答兒麻(二合)兮都不囉(二合)巴斡兮敦的山答塔葛	001	唵 耶 答 兒 麻  二 合  兮 都 不 囉  二 合  巴 斡 兮 敦 的 山 答 塔 葛 
ZH_X59_1084_001:0327c12	答歇斡怛的山拶約尼嚕怛耶[口*邦]叭諦麻曷釋囉(二合)	001	答 歇 斡 怛 的 山 拶 約 尼 嚕 怛 耶 [口邦] 叭 諦 麻 曷 釋 囉  二 合  
ZH_X59_1084_001:0327c13	麻納耶莎訶	001	麻 納 耶 莎 訶 
ZH_X59_1084_001:0327c14	(密呪圓因徃生集中。準經翻譯。即為頌曰。諸法從緣	001	 密 呪 圓 因 徃 生 集 中  準 經 翻 譯  即 為 頌 曰  諸 法 從 緣 
ZH_X59_1084_001:0327c15	起。如來說是因。彼法因緣盡。是大沙門說此呪兩用。	001	起  如 來 說 是 因  彼 法 因 緣 盡  是 大 沙 門 說 此 呪 兩 用  
ZH_X59_1084_001:0327c16	今始開壇。是緣起義)。	001	今 始 開 壇  是 緣 起 義   
ZH_X59_1084_001:0327c18	加持灌頂真言	001	加 持 灌 頂 真 言 
ZH_X59_1084_001:0327c19	唵斡資囉(二合)毗盧拶	001	唵 斡 資 囉  二 合  毗 盧 拶 
ZH_X59_1084_001:0327c20	耶吽	001	耶 吽 
ZH_X59_1084_001:0327c22	　∴稽首皈依蘇悉帝　　頭面頂禮七俱胝	001	  稽 首 皈 依 蘇 悉 帝   頭 面 頂 禮 七 俱 胝 
ZH_X59_1084_001:0327c23	　我今稱讚大準提　　惟願慈悲垂加護	001	 我 今 稱 讚 大 準 提   惟 願 慈 悲 垂 加 護 
ZH_X59_1084_001:0327c24	南無薩哆喃三藐三菩陀俱胝喃怛姪他唵折[棣-木+(上/矢)]主	001	南 無 薩 哆 喃 三 藐 三 菩 陀 俱 胝 喃 怛 姪 他 唵 折 [棣木上矢] 主 
ZH_X59_1084_001:0328a01	[棣-木+(上/矢)]準提莎訶	001	[棣木上矢] 準 提 莎 訶 
ZH_X59_1084_001:0328a02	我及法界。一切有情。從今為始。乃至未證菩提之間。	001	我 及 法 界  一切有情  從 今 為 始  乃 至 未 證 菩 提 之 間  
ZH_X59_1084_001:0328a03	誓願皈依	001	誓 願 皈 依 
ZH_X59_1084_001:0328a04	金剛上師三寶。	001	金剛上師 三 寶  
ZH_X59_1084_001:0328a05	∴上師三寶真言(手持花米上舉而誦)。	001	 上 師 三 寶 真 言  手 持 花 米 上 舉 而 誦   
ZH_X59_1084_001:0328a06	捺謨孤嚕(二合)毗耶(二合)　捺謨勃塔耶	001	捺 謨 孤 嚕  二 合  毗 耶  二 合   捺 謨 勃 塔 耶 
ZH_X59_1084_001:0328a07	捺謨達而麻耶　捺謨桑渴耶	001	捺 謨 達 而 麻 耶  捺 謨 桑 渴 耶 
ZH_X59_1084_001:0328a08	唵哩哩哈哈吽吽癹怛	001	唵 哩 哩 哈 哈 吽 吽 癹 怛 
ZH_X59_1084_001:0328a09	唵失哩麻哈歌羅哈哈吽吽癹怛莎訶	001	唵 失 哩 麻 哈 歌 羅 哈 哈 吽 吽 癹 怛 莎 訶 
ZH_X59_1084_001:0328a10	唵(一)(引)啞(二)(引)吽(三)(引)(將手持的花米。散洒虗空。想所落寶米。悉成花香諸供養等雲)	001	唵  一   引  啞  二   引  吽  三   引   將 手 持 的 花 米  散 洒 虗 空  想 所 落 寶 米  悉 成 花 香 諸 供 養 等 雲  
ZH_X59_1084_001:0328a11	(準瑜伽大教王經。上師。即金剛阿闍黎。經云。此阿闍	001	 準 瑜 伽 大 教 王 經  上 師  即 金 剛 阿 闍 黎  經 云  此 阿 闍 
ZH_X59_1084_001:0328a12	黎。即是我等諸佛父母。及為我等諸佛之師云云。此	001	黎  即 是 我 等 諸 佛 父 母  及 為 我 等 諸 佛 之 師 云 云  此 
ZH_X59_1084_001:0328a13	金剛阿闍黎。即金剛手秘密主。亦即毗盧遮那。故為	001	金 剛 阿 闍 黎  即 金 剛 手 秘 密 主  亦 即 毗 盧 遮 那  故 為 
ZH_X59_1084_001:0328a14	釋迦等師。毗盧遮那。及四如來。即佛寶。金剛一乘甚	001	釋 迦 等 師  毗 盧 遮 那  及 四 如 來  即 佛 寶  金 剛 一 乘 甚 
ZH_X59_1084_001:0328a15	深教。即法寶。金剛菩薩等。即僧寶。此上師三寶。屬受	001	深 教  即 法 寶  金 剛 菩 薩 等  即 僧 寶  此 上 師 三 寶  屬 受 
ZH_X59_1084_001:0328a16	用土報身佛等。非變化土釋迦佛等。即中圍佛會也。	001	用 土 報 身 佛 等  非 變 化 土 釋 迦 佛 等  即 中 圍 佛 會 也  
ZH_X59_1084_001:0328a17	總持教中說。三十七尊。皆是毗盧一佛所現。謂毗盧	001	總 持 教 中 說  三 十 七 尊  皆 是 毗 盧 一 佛 所 現  謂 毗 盧 
ZH_X59_1084_001:0328a18	遮那如來。內心證自受用。成于五智。從四智流出四	001	遮 那 如 來  內 心 證 自 受 用  成 于 五 智  從 四 智 流 出 四 
ZH_X59_1084_001:0328a19	如來。大圓鏡智。流出東方阿閦如來。平等性智。流出	001	如 來  大圓鏡智  流 出 東 方 阿 閦 如 來  平等性智  流 出 
ZH_X59_1084_001:0328a20	南方寶生如來。妙觀察智。流出西方無量壽如來。成	001	南 方 寶 生 如 來  妙觀察智  流 出 西 方 無 量 壽 如 來  成 
ZH_X59_1084_001:0328a21	所作智。流出北方不空成就如來。法界清淨智。即自	001	所 作 智  流 出 北 方 不 空 成 就 如 來  法 界 清 淨 智  即 自 
ZH_X59_1084_001:0328a22	當毗盧遮那如來。言三十七者。五方如來。各有四大	001	當 毗 盧 遮 那 如 來  言 三 十 七 者  五 方 如 來  各 有 四 大 
ZH_X59_1084_001:0328a23	菩薩在于左右。中央毗盧遮那如來四菩薩者。一金	001	菩 薩 在 于 左 右  中 央 毗 盧 遮 那 如 來 四 菩 薩 者  一 金 
ZH_X59_1084_001:0328a24	剛波羅蜜菩薩。二寶波羅蜜菩薩。三法波羅蜜菩薩。	001	剛 波 羅 蜜 菩 薩  二 寶 波 羅 蜜 菩 薩  三 法 波 羅 蜜 菩 薩  
ZH_X59_1084_001:0328a25	四羯磨波羅蜜菩薩。東方阿閦如來四菩薩者。一金	001	四 羯 磨 波 羅 蜜 菩 薩  東 方 阿 閦 如 來 四 菩 薩 者  一 金 
ZH_X59_1084_001:0328a26	剛薩埵菩薩。二金剛王菩薩。三金剛愛菩薩。四金剛	001	剛 薩 埵 菩 薩  二 金 剛 王 菩 薩  三 金 剛 愛 菩 薩  四 金 剛 
ZH_X59_1084_001:0328b01	善哉菩薩。南方寶生如來四菩薩者。一金剛寶。二金	001	善 哉 菩 薩  南 方 寶 生 如 來 四 菩 薩 者  一 金 剛 寶  二 金 
ZH_X59_1084_001:0328b02	剛威光。三金剛幢。四金剛笑。西方無量壽如來四菩	001	剛 威 光  三 金 剛 幢  四 金 剛 笑  西 方 無 量 壽 如 來 四 菩 
ZH_X59_1084_001:0328b03	薩者。一金剛法。二金剛劍。三金剛因。四金剛利。北方	001	薩 者  一 金 剛 法  二 金 剛 劍  三 金 剛 因  四 金 剛 利  北 方 
ZH_X59_1084_001:0328b04	不空成就如來四菩薩者。一金剛業。二金剛法。三金	001	不 空 成 就 如 來 四 菩 薩 者  一 金 剛 業  二 金 剛 法  三 金 
ZH_X59_1084_001:0328b05	剛藥义。四金剛拳。已有二十五。及四攝八供養。故成	001	剛 藥 义  四 金 剛 拳  已 有 二 十 五  及 四 攝 八 供 養  故 成 
ZH_X59_1084_001:0328b06	三十七。言四攝者。即鈎索鎖鈴。八供養者。即燒散燈	001	三 十 七  言 四 攝 者  即 鈎 索 鎖 鈴  八 供 養 者  即 燒 散 燈 
ZH_X59_1084_001:0328b07	塗花縵歌舞。皆上有金剛。下有菩薩。然此三十七尊。	001	塗 花 縵 歌 舞  皆 上 有 金 剛  下 有 菩 薩  然 此 三 十 七 尊  
ZH_X59_1084_001:0328b08	各有種子。皆是本師智用流出)。	001	各 有 種 子  皆 是 本 師 智 用 流 出   
ZH_X59_1084_001:0328b09	自性偈	001	自 性 偈 
ZH_X59_1084_001:0328b10	　∴方便自性不壞體　　金剛不壞大勇識	001	  方 便 自 性 不 壞 體   金 剛 不 壞 大 勇 識 
ZH_X59_1084_001:0328b11	　最勝無比超出相　　今此所作皆成就	001	 最 勝 無 比 超 出 相   今 此 所 作 皆 成 就 
ZH_X59_1084_001:0328b12	　∴勝慧自性甚深性　　演說最上法輪音	001	  勝 慧 自 性 甚 深 性   演 說 最 上 法 輪 音 
ZH_X59_1084_001:0328b13	　以無生現方便身　　今此所作願得成	001	 以 無 生 現 方 便 身   今 此 所 作 願 得 成 
ZH_X59_1084_001:0328b14	(淨印法門經云。佛言以我自性。即菩提場自性。而菩	001	 淨 印 法 門 經 云  佛 言 以 我 自 性  即 菩 提 場 自 性  而 菩 
ZH_X59_1084_001:0328b15	提場自性。即一切眾生自性。彼一切眾生自性。即一	001	提 場 自 性  即 一 切 眾 生 自 性  彼 一 切 眾 生 自 性  即 一 
ZH_X59_1084_001:0328b16	切法自性。大智度論云。如金剛山。從上穿下。至金剛	001	切 法 自 性  大 智 度 論 云  如 金 剛 山  從 上 穿 下  至 金 剛 
ZH_X59_1084_001:0328b17	際自性便止。一切金剛。皆金剛輪而為自性。又金剛	001	際 自 性 便 止  一 切 金 剛  皆 金 剛 輪 而 為 自 性  又 金 剛 
ZH_X59_1084_001:0328b18	座亦從金剛際自性而起。佛說大悲空智儀軌經云。	001	座 亦 從 金 剛 際 自 性 而 起  佛 說 大 悲 空 智 儀 軌 經 云  
ZH_X59_1084_001:0328b19	佛告金剛藏菩薩。空智者。謂大悲空智。金剛者。體即	001	佛 告 金 剛 藏 菩 薩  空 智 者  謂 大 悲 空 智  金 剛 者  體 即 
ZH_X59_1084_001:0328b20	勝惠。以勝惠方便成就儀軌。乃至生住因緣。以識智	001	勝 惠  以 勝 惠 方 便 成 就 儀 軌  乃 至 生 住 因 緣  以 識 智 
ZH_X59_1084_001:0328b21	成辦。又云。以智慧方便自性。出生諸法。又云。金剛渴	001	成 辦  又 云  以 智慧方便 自 性  出 生 諸 法  又 云  金 剛 渴 
ZH_X59_1084_001:0328b22	椿誐杖者。表智慧相。奎樓鼓者即善方便)。	001	椿 誐 杖 者  表 智 慧 相  奎 樓 鼓 者 即 善 方 便   
ZH_X59_1084_001:0328b23	淨地偈	001	淨 地 偈 
ZH_X59_1084_001:0328b24	　∴一切方隅所有地　　瓦礫砂磧等皆無	001	  一 切 方 隅 所 有 地   瓦 礫 砂 磧 等 皆 無 
ZH_X59_1084_001:0328b25	　瑠璃寶地平如掌　　柔軟微玅願安住	001	 瑠 璃 寶 地 平 如 掌   柔 軟 微 玅 願 安 住 
ZH_X59_1084_001:0328b26	　∴猶如極樂國莊嚴　　妙寶為地眾花敷	001	  猶 如 極 樂 國 莊 嚴   妙 寶 為 地 眾 花 敷 
ZH_X59_1084_001:0328c01	　園林池沼無缺少　　以大法音願具足	001	 園 林 池 沼 無 缺 少   以 大 法 音 願 具 足 
ZH_X59_1084_001:0328c02	　∴從出世間復能現　　種種七寶之所成	001	  從 出 世 間 復 能 現   種 種 七 寶 之 所 成 
ZH_X59_1084_001:0328c03	　無量光明徧照處　　諸佛菩薩願安住	001	 無量光明 徧 照 處   諸佛菩薩 願 安 住 
ZH_X59_1084_001:0328c04	(此中雖屬手印壇。然作法一準畵像曼拏囉。故須念	001	 此 中 雖 屬 手 印 壇  然 作 法 一 準 畵 像 曼 拏 囉  故 須 念 
ZH_X59_1084_001:0328c05	淨地偈。尋諸部建壇儀。則如此渴義)。	001	淨 地 偈  尋 諸 部 建 壇 儀  則 如 此 渴 義   
ZH_X59_1084_001:0328c06	音樂呪	001	音 樂 呪 
ZH_X59_1084_001:0328c07	唵斡資囉(二合)看支夷囉納(二合)囉納(二合)不囉(二合)囉納不	001	唵 斡 資 囉  二 合  看 支 夷 囉 納  二 合  囉 納  二 合  不 囉  二 合  囉 納 不 
ZH_X59_1084_001:0328c08	囉(二合)囉納三不囉(二合)囉納三不囉(二合)囉納薩哩斡(二合)	001	囉  二 合  囉 納 三 不 囉  二 合  囉 納 三 不 囉  二 合  囉 納 薩 哩 斡  二 合  
ZH_X59_1084_001:0328c09	勃塔赤的囉(二合)不囉拶哩答麻曷不囉(二合)尼牙(二合)巴	001	勃 塔 赤 的 囉  二 合  不 囉 拶 哩 答 麻 曷 不 囉  二 合  尼 牙  二 合  巴 
ZH_X59_1084_001:0328c10	囉蔑答那達速巴微薩哩斡(二合)塔哩麻(二合)[口*紇]哩(二合)達	001	囉 蔑 答 那 達 速 巴 微 薩 哩 斡  二 合  塔 哩 麻  二 合  [口紇] 哩  二 合  達 
ZH_X59_1084_001:0328c11	耶傘多沙納葛哩吽吽癹吒莎訶	001	耶 傘 多 沙 納 葛 哩 吽 吽 癹 吒 莎 訶 
ZH_X59_1084_001:0328c12	(此呪三用。今初皈依三寶。將欲啟壇而念。故缺和和。	001	 此 呪 三 用  今 初 皈 依 三 寶  將 欲 啟 壇 而 念  故 缺 和 和  
ZH_X59_1084_001:0328c13	啞龕)。	001	啞 龕   
ZH_X59_1084_001:0328c14	緣起文	001	緣 起 文 
ZH_X59_1084_001:0328c15	切以法不孤起。仗境方生。道不虗行。遇緣即應。今則	001	切 以 法 不 孤 起  仗 境 方 生  道 不 虗 行  遇 緣 即 應  今 則 
ZH_X59_1084_001:0328c16	羅列華壇。闡揚佛事。香焚寶篆。騰五色之雲霞。燭綻	001	羅 列 華 壇  闡 揚 佛 事  香 焚 寶 篆  騰 五 色 之 雲 霞  燭 綻 
ZH_X59_1084_001:0328c17	金蓮。燦一天之星斗。法樂奏無生之曲。梵音演最上	001	金 蓮  燦 一 天 之 星 斗  法 樂 奏 無 生 之 曲  梵 音 演 最 上 
ZH_X59_1084_001:0328c18	之宗。歸依五眼六通。迎請千賢萬聖。由是覺王住世。	001	之 宗  歸 依 五 眼 六 通  迎 請 千 賢 萬 聖  由 是 覺 王 住 世  
ZH_X59_1084_001:0328c19	以法利生。不有因緣。無由垂範。是以阿難尊者。林間	001	以 法 利 生  不 有 因 緣  無 由 垂 範  是 以 阿 難 尊 者  林 間 
ZH_X59_1084_001:0328c20	習定。夜是鬼王。口吐火燄。頂髮烟生。身形醜惡。肢節	001	習 定  夜 是 鬼 王  口 吐 火 燄  頂 髮 烟 生  身 形 醜 惡  肢 節 
ZH_X59_1084_001:0328c21	如破車之聲。譏火交然。烟喉似針鋒之細。見斯恠異。	001	如 破 車 之 聲  譏 火 交 然  烟 喉 似 針 鋒 之 細  見 斯 恠 異  
ZH_X59_1084_001:0328c22	問是何名。答曰面然。汝三日之中。當墮我類。阿難驚	001	問 是 何 名  答 曰 面 然  汝 三 日 之 中  當 墮 我 類  阿 難 驚 
ZH_X59_1084_001:0328c23	怖。歸投大覺慈尊。敘說前因。啟請救苦之法。佛垂方	001	怖  歸 投 大 覺 慈 尊  敘 說 前 因  啟 請 救 苦 之 法  佛 垂 方 
ZH_X59_1084_001:0328c24	便。利濟洪深。使延年而益筭。誦威德之真詮。令餓鬼	001	便  利 濟 洪 深  使 延 年 而 益 筭  誦 威 德 之 真 詮  令 餓 鬼 
ZH_X59_1084_001:0329a01	以充資。施甘露之法食。加持必專于神呪。嚴衛須假	001	以 充 資  施 甘 露 之 法 食  加 持 必 專 于 神 呪  嚴 衛 須 假 
