segmentnr	original	folio	analyzed
ZH_X26_0545_001:0838a17	其有彼岸乎。其得而到之乎。無彼岸。無無彼岸。無到。	001	其 有 彼 岸 乎  其 得 而 到 之 乎  無 彼 岸  無 無 彼 岸  無 到  
ZH_X26_0545_001:0838a18	無無到。	001	無 無 到  
ZH_X26_0545_001:0838a19	林子曰。心經一書。皆所以接最上一乘者。故觀也者。	001	林 子 曰  心 經 一 書  皆 所 以 接 最 上 一 乘 者  故 觀 也 者  
ZH_X26_0545_001:0838a20	觀之也。觀雖有法。而無所為也。蓋有為則有相。有相	001	觀 之 也  觀 雖 有 法  而 無 所 為 也  蓋 有 為 則 有 相  有 相 
ZH_X26_0545_001:0838a21	則有著。有相有著。便不自在。而謂之觀自在菩薩可	001	則 有 著  有 相 有 著  便 不 自 在  而 謂 之 觀 自 在 菩 薩 可 
ZH_X26_0545_001:0838a22	乎。	001	乎  
ZH_X26_0545_001:0838a23	四祖道信。年始十四。來禮三祖僧璨曰。願和尚慈悲	001	四 祖 道 信  年 始 十 四  來 禮 三 祖 僧 璨 曰  願 和 尚 慈 悲 
ZH_X26_0545_001:0838a24	乞與解脫。三祖曰。誰縛汝。曰。無人縛。三祖曰。何更求	001	乞 與 解 脫  三 祖 曰  誰 縛 汝  曰  無 人 縛  三 祖 曰  何 更 求 
ZH_X26_0545_001:0838b01	解脫。豈非所謂自在菩薩一切之現成耶。而親到彼	001	解 脫  豈 非 所 謂 自 在 菩 薩 一 切 之 現 成 耶  而 親 到 彼 
ZH_X26_0545_001:0838b02	岸者。當自知之。	001	岸 者  當 自 知 之  
ZH_X26_0545_001:0838b03	林子曰。釋氏極則之教。既曰性門。又曰空門者。何也。	001	林 子 曰  釋 氏 極 則 之 教  既 曰 性 門  又 曰 空 門 者  何 也  
ZH_X26_0545_001:0838b04	蓋性本空者。真空也。故人法。塵也。而空其塵焉。空之	001	蓋 性 本 空 者  真 空 也  故 人 法  塵 也  而 空 其 塵 焉  空 之 
ZH_X26_0545_001:0838b05	者亦塵也。知見。塵也。而空其塵焉。空之者亦塵也。起	001	者 亦 塵 也  知 見  塵 也  而 空 其 塵 焉  空 之 者 亦 塵 也  起 
ZH_X26_0545_001:0838b06	心之謂妄。妄。塵也。心而空之。亦是妄心之塵。意之所	001	心 之 謂 妄  妄  塵 也  心 而 空 之  亦 是 妄 心 之 塵  意 之 所 
ZH_X26_0545_001:0838b07	向之謂欲。欲。塵也。意而空之。亦是所向之塵。豈曰極	001	向 之 謂 欲  欲  塵 也  意 而 空 之  亦 是 所 向 之 塵  豈 曰 極 
ZH_X26_0545_001:0838b08	則之教。而為性門之真空也哉。	001	則 之 教  而 為 性 門 之 真 空 也 哉  
ZH_X26_0545_001:0838b09	經曰。是諸法空相。林子曰。色。塵也。固非空也。而以空	001	經 曰  是 諸 法 空 相  林 子 曰  色  塵 也  固 非 空 也  而 以 空 
ZH_X26_0545_001:0838b10	之法。空其色而空之。乃是諸法之空相。塵也。而非空	001	之 法  空 其 色 而 空 之  乃 是 諸 法 之 空 相  塵 也  而 非 空 
ZH_X26_0545_001:0838b11	也。受。塵也。固非空也。而以空之法。空其受而空之。乃	001	也  受  塵 也  固 非 空 也  而 以 空 之 法  空 其 受 而 空 之  乃 
ZH_X26_0545_001:0838b12	是諸法之空相。塵也。而非空也。而想。而行。而識。亦復	001	是 諸 法 之 空 相  塵 也  而 非 空 也  而 想  而 行  而 識  亦 復 
ZH_X26_0545_001:0838b13	如是。	001	如 是  
ZH_X26_0545_001:0838b14	佛書曰。於諸物中。不起無相。若認諸色滅之空以為	001	佛 書 曰  於 諸 物 中  不 起 無 相  若 認 諸 色 滅 之 空 以 為 
ZH_X26_0545_001:0838b15	空者。即起無相。既起無相。便是有相。故起有相心者。	001	空 者  即 起 無 相  既 起 無 相  便 是 有 相  故 起 有 相 心 者  
ZH_X26_0545_001:0838b16	塵也。起無相心者。亦塵也。	001	塵 也  起 無 相 心 者  亦 塵 也  
ZH_X26_0545_001:0838b17	三昧經曰。心無心相。不取虗空。不依諸地。不住智慧。	001	三 昧 經 曰  心 無 心 相  不 取 虗 空  不 依 諸 地  不 住 智 慧  
ZH_X26_0545_001:0838b18	是般若波羅蜜。若也未知心本無相。而取虗空相以	001	是 般 若 波 羅 蜜  若 也 未 知 心 本 無 相  而 取 虗 空 相 以 
ZH_X26_0545_001:0838b19	空之。豈可謂之大智慧能到彼岸也哉。釋氏。亦有言	001	空 之  豈 可 謂 之 大 智 慧 能 到 彼 岸 也 哉  釋 氏  亦 有 言 
ZH_X26_0545_001:0838b20	曰。阿耨多羅三藐三菩提。謂真性也。又曰。蠢動含靈。	001	曰  阿耨多羅三藐三菩提  謂 真 性 也  又 曰  蠢 動 含 靈  
ZH_X26_0545_001:0838b21	皆同一性。而一切萬物。無不是他露其色相。豈非實	001	皆 同 一 性  而 一 切 萬 物  無 不 是 他 露 其 色 相  豈 非 實 
ZH_X26_0545_001:0838b22	地之無所不徧。真心之無所不該。一切之現成耶。而	001	地 之 無 所 不 徧  真 心 之 無 所 不 該  一 切 之 現 成 耶  而 
ZH_X26_0545_001:0838b23	親到彼岸者。當自知之。	001	親 到 彼 岸 者  當 自 知 之  
ZH_X26_0545_001:0838b24	黃生曰。真心之實地。其有定在乎。其無定在乎。林子	001	黃 生 曰  真 心 之 實 地  其 有 定 在 乎  其 無 定 在 乎  林 子 
ZH_X26_0545_001:0838c01	曰。是惡得而定在之。是惡不得而定在之。何處不是	001	曰  是 惡 得 而 定 在 之  是 惡 不 得 而 定 在 之  何 處 不 是 
ZH_X26_0545_001:0838c02	太虗。何處不是我之實地。何處不是我之實地。何處	001	太 虗  何 處 不 是 我 之 實 地  何 處 不 是 我 之 實 地  何 處 
ZH_X26_0545_001:0838c03	不是我之真心。真心一舉。具大總持。不謂之網之提	001	不 是 我 之 真 心  真 心 一 舉  具 大 總 持  不 謂 之 網 之 提 
ZH_X26_0545_001:0838c04	其綱也。而其目有不張乎。故我之實地。譬之網也。可	001	其 綱 也  而 其 目 有 不 張 乎  故 我 之 實 地  譬 之 網 也  可 
ZH_X26_0545_001:0838c05	以包羅天地萬物之大而無外矣。我之真心。譬網之	001	以 包 羅 天 地 萬 物 之 大 而 無 外 矣  我 之 真 心  譬 網 之 
ZH_X26_0545_001:0838c06	綱也。可以總持天地萬物之大而不違矣。然則真心	001	綱 也  可 以 總 持 天 地 萬 物 之 大 而 不 違 矣  然 則 真 心 
ZH_X26_0545_001:0838c07	實地。豈其若是其大與。中庸曰。致中和。天地位焉。萬	001	實 地  豈 其 若 是 其 大 與  中 庸 曰  致 中 和  天 地 位 焉  萬 
ZH_X26_0545_001:0838c08	物育焉。而真心實地。則固若是其大。一切之現成也。	001	物 育 焉  而 真 心 實 地  則 固 若 是 其 大  一 切 之 現 成 也  
ZH_X26_0545_001:0838c09	而親到彼岸者。當自知之。黃生曰。夫大總持之旨。則	001	而 親 到 彼 岸 者  當 自 知 之  黃 生 曰  夫 大 總 持 之 旨  則 
ZH_X26_0545_001:0838c10	吾既得聞命矣。敢問何以謂之具也。林子曰具也者。	001	吾 既 得 聞 命 矣  敢 問 何 以 謂 之 具 也  林 子 曰 具 也 者  
ZH_X26_0545_001:0838c11	具之也。而其具固在我矣。然而其有所於具乎。其無	001	具 之 也  而 其 具 固 在 我 矣  然 而 其 有 所 於 具 乎  其 無 
ZH_X26_0545_001:0838c12	所於具乎。其有所具而無不具乎。其無所具而無不	001	所 於 具 乎  其 有 所 具 而 無 不 具 乎  其 無 所 具 而 無 不 
ZH_X26_0545_001:0838c13	具乎。其具於真心實地而大總持之乎。其不具於真	001	具 乎  其 具 於 真 心 實 地 而 大 總 持 之 乎  其 不 具 於 真 
ZH_X26_0545_001:0838c14	心實地。而大總持之乎。然則真心實地。豈其若是其	001	心 實 地  而 大 總 持 之 乎  然 則 真 心 實 地  豈 其 若 是 其 
ZH_X26_0545_001:0838c15	神與。中庸曰。如此者。不見而章。不動而變。無為而成。	001	神 與  中 庸 曰  如 此 者  不 見 而 章  不 動 而 變  無 為 而 成  
ZH_X26_0545_001:0838c16	則亦若是其神。一切之現成也。而親到彼岸者。當自	001	則 亦 若 是 其 神  一 切 之 現 成 也  而 親 到 彼 岸 者  當 自 
ZH_X26_0545_001:0838c17	知之。	001	知 之  
ZH_X26_0545_001:0838c18	易曰。變動不居。周流六虗。夫曰六虗者。非余之所謂	001	易 曰  變 動 不 居  周 流 六 虗  夫 曰 六 虗 者  非 余 之 所 謂 
ZH_X26_0545_001:0838c19	實地乎。然而六虗則非實地也明矣。而謂之實地者。	001	實 地 乎  然 而 六 虗 則 非 實 地 也 明 矣  而 謂 之 實 地 者  
ZH_X26_0545_001:0838c20	何也。以無實地。乃是實地。以有實地。即非實地。豈不	001	何 也  以 無 實 地  乃 是 實 地  以 有 實 地  即 非 實 地  豈 不 
ZH_X26_0545_001:0838c21	以有形有相。即有壞時耶。既有壞時。何名實地。	001	以 有 形 有 相  即 有 壞 時 耶  既 有 壞 時  何 名 實 地  
ZH_X26_0545_001:0838c22	道書曰。虗空粉碎。方露全身。夫虗空者。虗空而已矣。	001	道 書 曰  虗 空 粉 碎  方 露 全 身  夫 虗 空 者  虗 空 而 已 矣  
ZH_X26_0545_001:0838c23	而曰粉碎虗空者。虗空得而粉碎之乎。而其所以粉	001	而 曰 粉 碎 虗 空 者  虗 空 得 而 粉 碎 之 乎  而 其 所 以 粉 
ZH_X26_0545_001:0838c24	碎虗空者。蓋不以色空之空以為空也。曾生曰。色空	001	碎 虗 空 者  蓋 不 以 色 空 之 空 以 為 空 也  曾 生 曰  色 空 
ZH_X26_0545_001:0839a01	之空。空矣。而色空所不到處之空。不亦空乎。林子曰。	001	之 空  空 矣  而 色 空 所 不 到 處 之 空  不 亦 空 乎  林 子 曰  
ZH_X26_0545_001:0839a02	夫色空之空。則有其空矣。而色空所不到處之空。則	001	夫 色 空 之 空  則 有 其 空 矣  而 色 空 所 不 到 處 之 空  則 
ZH_X26_0545_001:0839a03	無其空矣。無空而無不空。故曰有無俱不立。無有有。	001	無 其 空 矣  無 空 而 無 不 空  故 曰 有 無 俱 不 立  無 有 有  
ZH_X26_0545_001:0839a04	又安有色。無有無。又安有空。	001	又 安 有 色  無 有 無  又 安 有 空  
ZH_X26_0545_001:0839a05	釋教有曰。當用大智慧。打破五蘊煩惱塵勞。又曰。打	001	釋 教 有 曰  當 用 大 智 慧  打 破 五 蘊 煩 惱 塵 勞  又 曰  打 
ZH_X26_0545_001:0839a06	破虗空只一拳。夫既具大智慧而到彼岸矣。豈其有	001	破 虗 空 只 一 拳  夫 既 具 大 智 慧 而 到 彼 岸 矣  豈 其 有 
ZH_X26_0545_001:0839a07	著於虗空邪見哉。即此不著虗空邪見。便謂之打破	001	著 於 虗 空 邪 見 哉  即 此 不 著 虗 空 邪 見  便 謂 之 打 破 
ZH_X26_0545_001:0839a08	虗空。虗空且打破矣。而況於五蘊煩惱塵勞者乎。蓋	001	虗 空  虗 空 且 打 破 矣  而 況 於 五 蘊 煩 惱 塵 勞 者 乎  蓋 
ZH_X26_0545_001:0839a09	言彼岸實地中。本無虗空。本無五蘊煩惱塵勞。今既	001	言 彼 岸 實 地 中  本 無 虗 空  本 無 五 蘊 煩 惱 塵 勞  今 既 
ZH_X26_0545_001:0839a10	到彼岸矣。而昔日之所謂五蘊煩惱塵勞。與夫虗空	001	到 彼 岸 矣  而 昔 日 之 所 謂 五 蘊 煩 惱 塵 勞  與 夫 虗 空 
ZH_X26_0545_001:0839a11	邪見。果安在耶。故曰打破。丘生問打破之義。林子曰。	001	邪 見  果 安 在 耶  故 曰 打 破  丘 生 問 打 破 之 義  林 子 曰  
ZH_X26_0545_001:0839a12	打破之義。蓋謂無也。如以其辭而已矣。則所謂五蘊	001	打 破 之 義  蓋 謂 無 也  如 以 其 辭 而 已 矣  則 所 謂 五 蘊 
ZH_X26_0545_001:0839a13	煩惱塵勞。得而打破之乎。然五蘊煩惱塵勞。猶可得	001	煩 惱 塵 勞  得 而 打 破 之 乎  然 五 蘊 煩 惱 塵 勞  猶 可 得 
ZH_X26_0545_001:0839a14	而言之。而所謂虗空。得而打破之乎。而曰打破五蘊	001	而 言 之  而 所 謂 虗 空  得 而 打 破 之 乎  而 曰 打 破 五 蘊 
ZH_X26_0545_001:0839a15	煩惱塵勞虗空邪見者。蓋以復吾之本無也。而親到	001	煩 惱 塵 勞 虗 空 邪 見 者  蓋 以 復 吾 之 本 無 也  而 親 到 
ZH_X26_0545_001:0839a16	彼岸者。當自知之。	001	彼 岸 者  當 自 知 之  
ZH_X26_0545_001:0839a17	道川曰。色聲不礙處。親到法王城。夫曰親到法王城	001	道 川 曰  色 聲 不 礙 處  親 到 法 王 城  夫 曰 親 到 法 王 城 
ZH_X26_0545_001:0839a18	者。不謂之到彼岸乎。然彼岸中。本無眼耳。既無眼耳。	001	者  不 謂 之 到 彼 岸 乎  然 彼 岸 中  本 無 眼 耳  既 無 眼 耳  
ZH_X26_0545_001:0839a19	安有色聲。	001	安 有 色 聲  
ZH_X26_0545_001:0839a20	釋氏曰罪福無主。而彼岸實地。乃其罪福之所不到	001	釋 氏 曰 罪 福 無 主  而 彼 岸 實 地  乃 其 罪 福 之 所 不 到 
ZH_X26_0545_001:0839a21	處也。	001	處 也  
ZH_X26_0545_001:0839a22	圓覺經曰。有大陀羅尼門。名為圓覺。流出一切真如	001	圓 覺 經 曰  有 大 陀羅尼門  名 為 圓 覺  流 出 一 切 真 如 
ZH_X26_0545_001:0839a23	涅槃。其曰大陀羅尼門者。非余之所謂實地者乎。其	001	涅 槃  其 曰 大 陀羅尼門 者  非 余 之 所 謂 實 地 者 乎  其 
ZH_X26_0545_001:0839a24	曰真如涅槃者。非余之所謂真心者乎。	001	曰 真 如 涅 槃 者  非 余 之 所 謂 真 心 者 乎  
ZH_X26_0545_001:0839b01	林子曰。余甞聞楞嚴之遺旨矣。有色則有見。色滅則	001	林 子 曰  余 甞 聞 楞 嚴 之 遺 旨 矣  有 色 則 有 見  色 滅 則 
ZH_X26_0545_001:0839b02	無見。有聲則有聞。聲銷則無聞。若將以色滅無見以	001	無 見  有 聲 則 有 聞  聲 銷 則 無 聞  若 將 以 色 滅 無 見 以 
ZH_X26_0545_001:0839b03	為空矣。則亦何異於聲銷無聞以為空也。然色與聲。	001	為 空 矣  則 亦 何 異 於 聲 銷 無 聞 以 為 空 也  然 色 與 聲  
ZH_X26_0545_001:0839b04	皆塵也。塵而色也。則為聲為色。塵而滅也。則為空。而	001	皆 塵 也  塵 而 色 也  則 為 聲 為 色  塵 而 滅 也  則 為 空  而 
ZH_X26_0545_001:0839b05	彼岸實地中。何有於見。何有於聞。而惟有見聞之實	001	彼 岸 實 地 中  何 有 於 見  何 有 於 聞  而 惟 有 見 聞 之 實 
ZH_X26_0545_001:0839b06	性者在爾。若也不知見聞之有實性。而曰我能不為	001	性 者 在 爾  若 也 不 知 見 聞 之 有 實 性  而 曰 我 能 不 為 
ZH_X26_0545_001:0839b07	色聲之塵之所轉也。是乃蔽目以避色。塞耳以逃聲。	001	色 聲 之 塵 之 所 轉 也  是 乃 蔽 目 以 避 色  塞 耳 以 逃 聲  
ZH_X26_0545_001:0839b08	而佛之法似不如此矣。	001	而 佛 之 法 似 不 如 此 矣  
ZH_X26_0545_001:0839b09	潘生問曰。夫曰真心實地。無生之處也。而又曰三世	001	潘 生 問 曰  夫 曰 真 心 實 地  無 生 之 處 也  而 又 曰 三 世 
ZH_X26_0545_001:0839b10	諸佛之母者。何也。林子曰。夫母以生生為義。而生以	001	諸 佛 之 母 者  何 也  林 子 曰  夫 母 以 生 生 為 義  而 生 以 
ZH_X26_0545_001:0839b11	不生為大也。古人有言曰。諸法無生。夫諸法既無生	001	不 生 為 大 也  古 人 有 言 曰  諸 法 無 生  夫 諸 法 既 無 生 
ZH_X26_0545_001:0839b12	矣。則亦將何以為三世諸佛之母乎。然真心實地。諸	001	矣  則 亦 將 何 以 為 三世諸佛 之 母 乎  然 真 心 實 地  諸 
ZH_X26_0545_001:0839b13	法咸備。其三世諸佛之所由以生乎。而其所以生者。	001	法 咸 備  其 三世諸佛 之 所 由 以 生 乎  而 其 所 以 生 者  
ZH_X26_0545_001:0839b14	其生於真心實地。有所生而生乎。不可得而知也。其	001	其 生 於 真 心 實 地  有 所 生 而 生 乎  不 可 得 而 知 也  其 
ZH_X26_0545_001:0839b15	生於真心實地。無所生而生乎。不可得而知也。蓋真	001	生 於 真 心 實 地  無 所 生 而 生 乎  不 可 得 而 知 也  蓋 真 
ZH_X26_0545_001:0839b16	有不可說。不可說。說亦不得矣。故不有拈華微笑之	001	有 不 可 說  不 可 說  說 亦 不 得 矣  故 不 有 拈 華 微 笑 之 
ZH_X26_0545_001:0839b17	迦葉。倚位而立之慧可。豈能默契於其所難言而真	001	迦 葉  倚 位 而 立 之 慧 可  豈 能 默 契 於 其 所 難 言 而 真 
ZH_X26_0545_001:0839b18	入不二之法門者哉。	001	入 不 二 之 法 門 者 哉  
ZH_X26_0545_001:0839b19	林子曰。色其不屬於有乎。空其不屬於無乎。故指諸	001	林 子 曰  色 其 不 屬 於 有 乎  空 其 不 屬 於 無 乎  故 指 諸 
ZH_X26_0545_001:0839b20	有色而說之曰。此色也。色其不可得而說乎。指諸無	001	有 色 而 說 之 曰  此 色 也  色 其 不 可 得 而 說 乎  指 諸 無 
ZH_X26_0545_001:0839b21	色而說之曰。此空也。空其不可得而說乎。而甚深法	001	色 而 說 之 曰  此 空 也  空 其 不 可 得 而 說 乎  而 甚 深 法 
ZH_X26_0545_001:0839b22	界。而為色空之所不到處者。其有色乎。其得而色之	001	界  而 為 色 空 之 所 不 到 處 者  其 有 色 乎  其 得 而 色 之 
ZH_X26_0545_001:0839b23	乎。其有空乎。其得而空之乎。惟其不得而色空之也。	001	乎  其 有 空 乎  其 得 而 空 之 乎  惟 其 不 得 而 色 空 之 也  
ZH_X26_0545_001:0839b24	故其不得而有無之也。無色無空無有無無。此其所	001	故 其 不 得 而 有 無 之 也  無 色 無 空 無 有 無 無  此 其 所 
ZH_X26_0545_001:0839c01	以說亦不得矣。到此甚深法界。不有以深明乎無生	001	以 說 亦 不 得 矣  到 此 甚深法界  不 有 以 深 明 乎 無 生 
ZH_X26_0545_001:0839c02	之微。生於不生之妙。其孰能知之。其孰能知之。	001	之 微  生 於 不 生 之 妙  其 孰 能 知 之  其 孰 能 知 之  
ZH_X26_0545_001:0839c03	翁生曰。先生每曰色空不到處。非所謂不二法門耶。	001	翁 生 曰  先 生 每 曰 色 空 不 到 處  非 所 謂 不二法門 耶  
ZH_X26_0545_001:0839c04	敢問何以謂之真入不二法門。林子曰。昔者維摩會	001	敢 問 何 以 謂 之 真 入 不二法門  林 子 曰  昔 者 維 摩 會 
ZH_X26_0545_001:0839c05	上。文殊曰。我於一切法。無言無說。無示無識。離諸問	001	上  文 殊 曰  我 於一切法  無 言 無 說  無 示 無 識  離 諸 問 
ZH_X26_0545_001:0839c06	答。是為菩薩入不二法門。於是文殊又問維摩。維摩	001	答  是 為 菩 薩 入 不二法門  於 是 文 殊 又 問 維 摩  維 摩 
ZH_X26_0545_001:0839c07	默然。文殊讚曰。乃至無有言語文字。是菩薩真入不	001	默 然  文 殊 讚 曰  乃 至 無 有 言 語 文 字  是 菩 薩 真 入 不 
ZH_X26_0545_001:0839c08	二法門。翁生愕然異之。林子曰。不足異也。然非惟釋	001	二 法 門  翁 生 愕 然 異 之  林 子 曰  不 足 異 也  然 非 惟 釋 
ZH_X26_0545_001:0839c09	氏為然也。至於孔門則亦有之。故授者不在於言。而	001	氏 為 然 也  至 於 孔 門 則 亦 有 之  故 授 者 不 在 於 言  而 
ZH_X26_0545_001:0839c10	不知所以授之也。而受者不以為隱。而不知所以受	001	不 知 所 以 授 之 也  而 受 者 不 以 為 隱  而 不 知 所 以 受 
ZH_X26_0545_001:0839c11	之也。若以維摩之默然以為異矣。則孔子之無言無	001	之 也  若 以 維 摩 之 默 然 以 為 異 矣  則 孔 子 之 無 言 無 
ZH_X26_0545_001:0839c12	隱。亦不足異乎。然而真心實地。終不可得而言乎。林	001	隱  亦 不 足 異 乎  然 而 真 心 實 地  終 不 可 得 而 言 乎  林 
ZH_X26_0545_001:0839c13	子曰。若或可得而言之。則亦可得而隱之。豈曰人人	001	子 曰  若 或 可 得 而 言 之  則 亦 可 得 而 隱 之  豈 曰 人 人 
ZH_X26_0545_001:0839c14	具足。一切現成耶。	001	具 足  一 切 現 成 耶  
ZH_X26_0545_001:0839c15	余生問曰。先生每曰真心之實地者。非所謂如來地	001	余 生 問 曰  先 生 每 曰 真 心 之 實 地 者  非 所 謂 如 來 地 
ZH_X26_0545_001:0839c16	與。林子曰。然。然而一超而直入於如來地者。非所謂	001	與  林 子 曰  然  然 而 一 超 而 直 入 於 如 來 地 者  非 所 謂 
ZH_X26_0545_001:0839c17	頓教與。林子曰。然。曰。何以能入頓也。林子曰。其先之	001	頓 教 與  林 子 曰  然  曰  何 以 能 入 頓 也  林 子 曰  其 先 之 
ZH_X26_0545_001:0839c18	以見性乎。昔者六祖既悟本性矣。而五祖便傳之以	001	以 見 性 乎  昔 者 六 祖 既 悟 本 性 矣  而 五 祖 便 傳 之 以 
ZH_X26_0545_001:0839c19	頓教者。此也。又問先生甞曰見性性見。知性性知。微	001	頓 教 者  此 也  又 問 先 生 甞 曰 見 性 性 見  知 性 性 知  微 
ZH_X26_0545_001:0839c20	乎其微。願先生明以告我也。林子曰。夫既曰不可得	001	乎 其 微  願 先 生 明 以 告 我 也  林 子 曰  夫 既 曰 不 可 得 
ZH_X26_0545_001:0839c21	而見矣。不可得而知矣。而不見不知。其可得而言乎。	001	而 見 矣  不 可 得 而 知 矣  而 不 見 不 知  其 可 得 而 言 乎  
ZH_X26_0545_001:0839c22	余將何以語汝也。然不見之中。則自有真見而不昧	001	余 將 何 以 語 汝 也  然 不 見 之 中  則 自 有 真 見 而 不 昧 
ZH_X26_0545_001:0839c23	者在焉。不知之中。則自有真知而不昧者在焉。故曰	001	者 在 焉  不 知 之 中  則 自 有 真 知 而 不 昧 者 在 焉  故 曰 
ZH_X26_0545_001:0839c24	性由自悟。余將何以語汝也。	001	性 由 自 悟  余 將 何 以 語 汝 也  
ZH_X26_0545_001:0840a01	壇經曰。念念若行。是名真性。悟此法者。是般若法。修	001	壇 經 曰  念 念 若 行  是 名 真 性  悟 此 法 者  是 般 若 法  修 
ZH_X26_0545_001:0840a02	此行者。是般若行。又曰。用自真如性。以智慧觀照於	001	此 行 者  是 般 若 行  又 曰  用 自 真 如 性  以 智 慧 觀 照 於 
ZH_X26_0545_001:0840a03	一切法。不取不捨。即是見性成佛道。又曰。但於自心	001	一 切 法  不 取 不 捨  即 是 見 性 成 佛 道  又 曰  但 於 自 心 
ZH_X26_0545_001:0840a04	常起正見。煩惱塵勞。常不能染。即是見性。又曰。故知	001	常 起 正 見  煩 惱 塵 勞  常 不 能 染  即 是 見 性  又 曰  故 知 
ZH_X26_0545_001:0840a05	萬法。盡在自心。何不從自心中。頓見真如本性。又曰。	001	萬 法  盡 在 自 心  何 不 從 自 心 中  頓 見 真 如 本 性  又 曰  
ZH_X26_0545_001:0840a06	若不自悟。須覔大善知識。解最上乘法者。直示正路。	001	若 不 自 悟  須 覔 大 善 知 識  解 最 上 乘 法 者  直 示 正 路  
ZH_X26_0545_001:0840a07	其曰行。曰修。曰法。曰智慧觀照。曰常起正見。皆所以	001	其 曰 行  曰 修  曰 法  曰 智 慧 觀 照  曰 常 起 正 見  皆 所 以 
ZH_X26_0545_001:0840a08	教人以見性成佛也。若非有大善知識。解最上乘法	001	教 人 以 見 性 成 佛 也  若 非 有 大 善 知 識  解 最 上 乘 法 
ZH_X26_0545_001:0840a09	者。其誰能示人以正路。見性而成佛耶。	001	者  其 誰 能 示 人 以 正 路  見 性 而 成 佛 耶  
ZH_X26_0545_001:0840a10	壇經曰。此事須從自性中起。於一切時。念念自淨其	001	壇 經 曰  此 事 須 從 自 性 中 起  於一切時  念 念 自 淨 其 
ZH_X26_0545_001:0840a11	心。自修自行。見自己法身。見自心佛。自度自戒始得。	001	心  自 修 自 行  見 自 己 法 身  見 自 心 佛  自 度 自 戒 始 得  
ZH_X26_0545_001:0840a12	夫曰自性者。乃余所云真心實地。色空所不到處也。	001	夫 曰 自 性 者  乃 余 所 云 真 心 實 地  色 空 所 不 到 處 也  
ZH_X26_0545_001:0840a13	其有垢乎。其有淨乎。而曰自淨其心者。心其有垢而	001	其 有 垢 乎  其 有 淨 乎  而 曰 自 淨 其 心 者  心 其 有 垢 而 
ZH_X26_0545_001:0840a14	可淨乎。心既無垢之可淨矣。其有待於修於行。於度	001	可 淨 乎  心 既 無 垢 之 可 淨 矣  其 有 待 於 修 於 行  於 度 
ZH_X26_0545_001:0840a15	於戒者乎。大凡言自者。皆自性義也。乃所謂自性戒。	001	於 戒 者 乎  大 凡 言 自 者  皆 自 性 義 也  乃 所 謂 自 性 戒  
ZH_X26_0545_001:0840a16	自性定。自性慧者是也。故曰須從自性中起。最上一	001	自 性 定  自 性 慧 者 是 也  故 曰 須 從 自 性 中 起  最 上 一 
ZH_X26_0545_001:0840a17	乘之宗旨也。六祖又曰。佛向性中作。莫向身外求。又	001	乘 之 宗 旨 也  六 祖 又 曰  佛 向 性 中 作  莫 向 身 外 求  又 
ZH_X26_0545_001:0840a18	曰。只此不污染。諸佛之所護念。故欲見性。而不從自	001	曰  只 此 不 污 染  諸 佛 之 所 護 念  故 欲 見 性  而 不 從 自 
ZH_X26_0545_001:0840a19	性中起者。其能見自己法身。自心佛者乎。	001	性 中 起 者  其 能 見 自 己 法 身  自 心 佛 者 乎  
ZH_X26_0545_001:0840a20	黃生問曰。何以謂之自者自性義也。林子曰。自性自	001	黃 生 問 曰  何 以 謂 之 自 者 自 性 義 也  林 子 曰  自 性 自 
ZH_X26_0545_001:0840a21	淨。自性自修。自性自行。自性自度。自性自戒。然性本	001	淨  自 性 自 修  自 性 自 行  自 性 自 度  自 性 自 戒  然 性 本 
ZH_X26_0545_001:0840a22	淨也。無待於淨。而世人必欲淨之者。豈不謂之污染	001	淨 也  無 待 於 淨  而 世 人 必 欲 淨 之 者  豈 不 謂 之 污 染 
ZH_X26_0545_001:0840a23	不得。而反生淨妄耶。而修而行。而度而戒。亦皆從自	001	不 得  而 反 生 淨 妄 耶  而 修 而 行  而 度 而 戒  亦 皆 從 自 
ZH_X26_0545_001:0840a24	性中起爾。若必求之身外。則惑矣。	001	性 中 起 爾  若 必 求 之 身 外  則 惑 矣  
ZH_X26_0545_001:0840b01	二祖慧可。來禮初祖達磨曰。我心未寧。乞師與安。初	001	二 祖 慧 可  來 禮 初 祖 達 磨 曰  我 心 未 寧  乞 師 與 安  初 
ZH_X26_0545_001:0840b02	祖曰。將心來與汝安。二祖求心了不可得。初祖曰。我	001	祖 曰  將 心 來 與 汝 安  二 祖 求 心 了 不 可 得  初 祖 曰  我 
ZH_X26_0545_001:0840b03	與汝安心竟。林子曰。心本無心。豈有未寧。而曰與汝	001	與 汝 安 心 竟  林 子 曰  心 本 無 心  豈 有 未 寧  而 曰 與 汝 
ZH_X26_0545_001:0840b04	安心竟者。乃所以復其無心之本體矣。然而六祖隨	001	安 心 竟 者  乃 所 以 復 其 無 心 之 本 體 矣  然 而 六 祖 隨 
ZH_X26_0545_001:0840b05	方解縛之旨。則又不可不知也。	001	方 解 縛 之 旨  則 又 不 可 不 知 也  
ZH_X26_0545_001:0840b06	初祖達磨。居少林寺九年。為二祖慧可說法。祇教外	001	初 祖 達 磨  居 少 林 寺 九 年  為 二 祖 慧 可 說 法  祇 教 外 
