segmentnr	original	folio	analyzed
ZH_X54_0879_002:0921c15	雖在昔而不化。又云因因而果因不昔滅。而仁謂滅	002	雖 在 昔 而 不 化  又 云 因 因 而 果 因 不 昔 滅  而 仁 謂 滅 
ZH_X54_0879_002:0921c16	與不滅二俱不成。豈非仁者自破肇公乎。	002	與 不 滅 二 俱 不 成  豈 非 仁 者 自 破 肇 公 乎  
ZH_X54_0879_002:0921c17	又答	002	又 答 
ZH_X54_0879_002:0921c18	來謂世人求向物。所以起無見者。如求張三於去年。	002	來 謂 世 人 求 向 物  所 以 起 無 見 者  如 求 張 三 於 去 年  
ZH_X54_0879_002:0921c19	而去年張三已死。故起無見。是於無執無。即邪見斷	002	而 去 年 張 三 已 死  故 起 無 見  是 於 無 執 無  即 邪 見 斷 
ZH_X54_0879_002:0921c20	見之無。而肇公曰。去年張三未嘗無。是破其無見也。	002	見 之 無  而 肇 公 曰  去 年 張 三 未 嘗 無  是 破 其 無 見 也  
ZH_X54_0879_002:0921c21	若爾。次句云。責向物於今。於今未甞有。定是破世人	002	若 爾  次 句 云  責 向 物 於 今  於 今 未 甞 有  定 是 破 世 人 
ZH_X54_0879_002:0921c22	有見矣。則世人應計張三去年是無。今年是有。若爾。	002	有 見 矣  則 世 人 應 計 張 三 去 年 是 無  今 年 是 有  若 爾  
ZH_X54_0879_002:0921c23	則去年死張三。今年却活也。不然。世人何自起有見	002	則 去 年 死 張 三  今 年 却 活 也  不 然  世 人 何 自 起 有 見 
ZH_X54_0879_002:0921c24	耶。既無是見。何故肇公道於今未甞有而破之耶。若	002	耶  既 無 是 見  何 故 肇 公 道 於 今 未 甞 有 而 破 之 耶  若 
ZH_X54_0879_002:0922a01	謂後句未嘗有不破有見。則前句未嘗無定亦不破	002	謂 後 句 未 嘗 有 不 破 有 見  則 前 句 未 嘗 無 定 亦 不 破 
ZH_X54_0879_002:0922a02	無見矣。且向年尚張三既無却活之理。則向無今亦	002	無 見 矣  且 向 年 尚 張 三 既 無 却 活 之 理  則 向 無 今 亦 
ZH_X54_0879_002:0922a03	無矣。而仁謂肇公於向未嘗無。是即張三無處說有。	002	無 矣  而 仁 謂 肇 公 於 向 未 嘗 無  是 即 張 三 無 處 說 有  
ZH_X54_0879_002:0922a04	是以無物為物。則次句於今未嘗有。却又於張三無	002	是 以 無 物 為 物  則 次 句 於 今 未 嘗 有  却 又 於 張 三 無 
ZH_X54_0879_002:0922a05	處說無。是又以無物為無物也。則不唯淺陋。又且乖	002	處 說 無  是 又 以 無 物 為 無 物 也  則 不 唯 淺 陋  又 且 乖 
ZH_X54_0879_002:0922a06	離。不足以為肇公輔。適足以增肇公累也。	002	離  不 足 以 為 肇 公 輔  適 足 以 增 肇 公 累 也  
ZH_X54_0879_002:0922a07	對無名尊者語(附其語)	002	對 無 名 尊 者 語  附 其 語  
ZH_X54_0879_002:0922a08	善說法者。貴在得旨不在執言。貴在變通不在固	002	善 說 法 者  貴 在 得 旨 不 在 執 言  貴 在 變 通 不 在 固 
ZH_X54_0879_002:0922a09	泥。如來遺教猶孫子兵法也。善用兵者貴在臨時	002	泥  如 來 遺 教 猶 孫 子 兵 法 也  善 用 兵 者 貴 在 臨 時 
ZH_X54_0879_002:0922a10	神變。若固守常法而不知通變者鮮不敗矣。肇公	002	神 變  若 固 守 常 法 而 不 知 通 變 者 鮮 不 敗 矣  肇 公 
ZH_X54_0879_002:0922a11	說法。神變者也。豈可以死殺法而難哉。如涅槃說	002	說 法  神 變 者 也  豈 可 以 死 殺 法 而 難 哉  如 涅 槃 說 
ZH_X54_0879_002:0922a12	諸法無常佛性是常。六祖却道佛性無常諸法是	002	諸 法 無 常 佛 性 是 常  六 祖 却 道 佛 性 無 常 諸 法 是 
ZH_X54_0879_002:0922a13	常。豈可以定法為難哉。	002	常  豈 可 以 定 法 為 難 哉  
ZH_X54_0879_002:0922a14	祖師門下曾不以實法繫人。此又因病施藥之一端	002	祖 師 門 下 曾 不 以 實 法 繫 人  此 又 因 病 施 藥 之 一 端 
ZH_X54_0879_002:0922a15	耳。由人聞修多羅說。即如言生執。以為佛性定常。諸	002	耳  由 人 聞 修 多 羅 說  即 如 言 生 執  以 為 佛 性 定 常  諸 
ZH_X54_0879_002:0922a16	法定無常。見祖師翻案曰佛性無常諸法是常。意謂	002	法 定 無 常  見 祖 師 翻 案 曰 佛 性 無 常 諸 法 是 常  意 謂 
ZH_X54_0879_002:0922a17	若佛性一向定常。諸法何自而生。以佛性無常。諸法	002	若 佛 性 一 向 定 常  諸 法 何 自 而 生  以 佛 性 無 常  諸 法 
ZH_X54_0879_002:0922a18	乃生也。若諸法定無常者。則不即真常。離真之外有	002	乃 生 也  若 諸 法 定 無 常 者  則 不 即 真 常  離 真 之 外 有 
ZH_X54_0879_002:0922a19	物性矣。然祖師之言本為破執。有等聞此便定執佛	002	物 性 矣  然 祖 師 之 言 本 為 破 執  有 等 聞 此 便 定 執 佛 
ZH_X54_0879_002:0922a20	性為無常諸法定常。則令涅槃成無常生死為常矣。	002	性 為 無 常 諸 法 定 常  則 令 涅 槃 成 無 常 生 死 為 常 矣  
ZH_X54_0879_002:0922a21	生死若常則終無解脫。涅槃無常則諸佛證後還受	002	生 死 若 常 則 終 無 解 脫  涅 槃 無 常 則 諸 佛 證 後 還 受 
ZH_X54_0879_002:0922a22	生死。則令三世諸佛己利利人之法總成虗誑。而邪	002	生 死  則 令 三世諸佛 己 利 利 人 之 法 總 成 虗 誑  而 邪 
ZH_X54_0879_002:0922a23	惡之見豈有加於是哉。涅槃云。法眼未徹。不應分別	002	惡 之 見 豈 有 加 於 是 哉  涅 槃 云  法 眼 未 徹  不 應 分 別 
ZH_X54_0879_002:0922a24	如來之身定常無常。但應仰信。若言如來定無常者。	002	如來之身 定 常 無 常  但 應 仰 信  若 言 如 來 定 無 常 者  
ZH_X54_0879_002:0922b01	舌根當裂。死入地獄。護法菩薩寧捨身命不說佛身	002	舌 根 當 裂  死 入 地 獄  護 法 菩 薩 寧 捨 身 命 不 說 佛 身 
ZH_X54_0879_002:0922b02	是有為也。當說佛身是無為法。決定恒常。不可變易。	002	是 有 為 也  當 說 佛 身 是 無 為 法  決 定 恒 常  不 可 變 易  
ZH_X54_0879_002:0922b03	蓋佛身即法身也。法身．涅槃．佛性三者。易其名耳。此	002	蓋 佛 身 即 法 身 也  法 身  涅 槃  佛 性 三 者  易 其 名 耳  此 
ZH_X54_0879_002:0922b04	如來最後抖搜枯腸盡情露布。如此豈可以涅槃之	002	如 來 最 後 抖 搜 枯 腸 盡 情 露 布  如 此 豈 可 以 涅 槃 之 
ZH_X54_0879_002:0922b05	說為未了耶。談教者可不慎哉。然祖師禪即吾般若	002	說 為 未 了 耶  談 教 者 可 不 慎 哉  然 祖 師 禪 即 吾 般 若 
ZH_X54_0879_002:0922b06	宗也。六百卷般若世出世間不說一法真實。即祖師	002	宗 也  六 百 卷 般 若 世出世間 不 說 一 法 真 實  即 祖 師 
ZH_X54_0879_002:0922b07	所謂不用求真唯須息見。但願空諸所有慎勿實諸	002	所 謂 不 用 求 真 唯 須 息 見  但 願 空 諸 所 有 慎 勿 實 諸 
ZH_X54_0879_002:0922b08	所無。宗門無肯路是也。故六祖指佛性為無常。即古	002	所 無  宗 門 無 肯 路 是 也  故 六 祖 指 佛 性 為 無 常  即 古 
ZH_X54_0879_002:0922b09	德所謂理不成就事不成就之論。皆般若之旨焉。故	002	德 所 謂 理 不 成 就 事 不 成 就 之 論  皆 般 若 之 旨 焉  故 
ZH_X54_0879_002:0922b10	大般若中真如佛性菩提涅槃一皆蕩去。乃至云設	002	大 般 若 中 真 如 佛 性 菩 提 涅 槃 一 皆 蕩 去  乃 至 云 設 
ZH_X54_0879_002:0922b11	有一法過涅槃上。我亦說為如夢如幻。學般若菩薩	002	有 一 法 過 涅 槃 上  我 亦 說 為 如 夢 如 幻  學 般 若 菩 薩 
ZH_X54_0879_002:0922b12	固當如是。若不如是不足以明般若。蓋若不如是。一	002	固 當 如 是  若 不 如 是 不 足 以 明 般 若  蓋 若 不 如 是  一 
ZH_X54_0879_002:0922b13	番縱說真如佛性菩提涅槃。無出夢想顛倒耳。又烏	002	番 縱 說 真 如 佛 性 菩 提 涅 槃  無 出 夢 想 顛 倒 耳  又 烏 
ZH_X54_0879_002:0922b14	足以見涅槃真常之性乎。至於楞嚴．涅槃．勝鬘．如來	002	足 以 見 涅 槃 真 常 之 性 乎  至 於 楞 嚴  涅 槃  勝 鬘  如 來 
ZH_X54_0879_002:0922b15	藏等圓極終實之典。皆說佛性真常不變。諸法皆客	002	藏 等 圓 極 終 實 之 典  皆 說 佛 性 真 常 不 變  諸 法 皆 客 
ZH_X54_0879_002:0922b16	塵生滅無體。既無自體則亦不離乎真矣。故法鼓經	002	塵 生 滅 無 體  既 無 自 體 則 亦 不 離 乎 真 矣  故 法 鼓 經 
ZH_X54_0879_002:0922b17	云。一如空經是未了義。即此謂也。蓋修多羅乃諸佛	002	云  一 如 空 經 是 未 了 義  即 此 謂 也  蓋 修 多 羅 乃 諸 佛 
ZH_X54_0879_002:0922b18	法印也。自古人師悟後。千說萬說未有不與修多羅	002	法 印 也  自 古 人 師 悟 後  千 說 萬 說 未 有 不 與 修 多 羅 
ZH_X54_0879_002:0922b19	合者。所謂書同文車同軌。不合則非異即邪矣。如善	002	合 者  所 謂 書 同 文 車 同 軌  不 合 則 非 異 即 邪 矣  如 善 
ZH_X54_0879_002:0922b20	用兵者。雖千變萬化未有不合兵法者也。問曰。六祖	002	用 兵 者  雖 千 變 萬 化 未 有 不 合 兵 法 者 也  問 曰  六 祖 
ZH_X54_0879_002:0922b21	云佛性無常。與何經同。答曰。淨名云。不生不滅是無	002	云 佛 性 無 常  與 何 經 同  答 曰  淨 名 云  不生不滅 是 無 
ZH_X54_0879_002:0922b22	常義。涅槃亦有此義。謂煩惱佛性本有今無等是也。	002	常 義  涅 槃 亦 有 此 義  謂 煩 惱 佛 性 本 有 今 無 等 是 也  
ZH_X54_0879_002:0922b23	以理求之。理事各有常無常義。理則隨緣故無常。不	002	以 理 求 之  理 事 各 有 常 無 常 義  理 則 隨 緣 故 無 常  不 
ZH_X54_0879_002:0922b24	變故常。事則成相故無常。體空故常。則六祖之言常	002	變 故 常  事 則 成 相 故 無 常  體 空 故 常  則 六 祖 之 言 常 
ZH_X54_0879_002:0922c01	無常義。自合教義矣。是則六祖之言求之於教。於教	002	無 常 義  自 合 教 義 矣  是 則 六 祖 之 言 求 之 於 教  於 教 
ZH_X54_0879_002:0922c02	有證。求之於理。於理亦通。而肇師往物不化性各異	002	有 證  求 之 於 理  於 理 亦 通  而 肇 師 往 物 不 化 性 各 異 
ZH_X54_0879_002:0922c03	住。求之於教。於教無考。求之以理。於理未通。如有可	002	住  求 之 於 教  於 教 無 考  求 之 以 理  於 理 未 通  如 有 可 
ZH_X54_0879_002:0922c04	通。則必聞命耳。	002	通  則 必 聞 命 耳  
ZH_X54_0879_002:0922c05	對密藏開禪師語(附來書)	002	對 密 藏 開 禪 師 語  附 來 書  
ZH_X54_0879_002:0922c06	詩云。率土之濵莫非王臣。或者固執舜為天子瞽	002	詩 云  率 土 之 濵 莫 非 王 臣  或 者 固 執 舜 為 天 子 瞽 
ZH_X54_0879_002:0922c07	瞍北面而朝之。釋之者曰。周餘黎民靡有孑遺。是	002	瞍 北 面 而 朝 之  釋 之 者 曰  周 餘 黎 民 靡 有 孑 遺  是 
ZH_X54_0879_002:0922c08	誠周民無孑遺乎哉。善說詩。不以辭害意可也。肇	002	誠 周 民 無 孑 遺 乎 哉  善 說 詩  不 以 辭 害 意 可 也  肇 
ZH_X54_0879_002:0922c09	師不遷。愚意觀之。大都直是法法不相到。法法住	002	師 不 遷  愚 意 觀 之  大 都 直 是 法 法 不 相 到  法 法 住 
ZH_X54_0879_002:0922c10	本位為宗。其引般若等經及昔有今無不滅不來	002	本 位 為 宗  其 引 般 若 等 經 及 昔 有 今 無 不 滅 不 來 
ZH_X54_0879_002:0922c11	之說。廣借曲譬。意蓋如此。竊觀所駁以昔有今無	002	之 說  廣 借 曲 譬  意 蓋 如 此  竊 觀 所 駁 以 昔 有 今 無 
ZH_X54_0879_002:0922c12	為斷常遷滅之見。是即是矣。恐亦未免瞽瞍北面	002	為 斷 常 遷 滅 之 見  是 即 是 矣  恐 亦 未 免 瞽 瞍 北 面 
ZH_X54_0879_002:0922c13	而朝。周民無孑遺之過也。且如來演教有大小偏	002	而 朝  周 民 無 孑 遺 之 過 也  且 如 來 演 教 有 大 小 偏 
ZH_X54_0879_002:0922c14	圓。因病設藥。初無定方。豈得盡以華嚴．法華圓頓	002	圓  因 病 設 藥  初 無 定 方  豈 得 盡 以 華 嚴  法 華 圓 頓 
ZH_X54_0879_002:0922c15	之旨繩之哉。駁中不遷二義。一性空。二真實。愚意	002	之 旨 繩 之 哉  駁 中 不 遷 二 義  一 性 空  二 真 實  愚 意 
ZH_X54_0879_002:0922c16	肇公不遷即真實義也。其引般若等經。似皆借意。	002	肇 公 不 遷 即 真 實 義 也  其 引 般 若 等 經  似 皆 借 意  
ZH_X54_0879_002:0922c17	非其本宗。不爾。肇師何人。而顧反昔支離一至此	002	非 其 本 宗  不 爾  肇 師 何 人  而 顧 反 昔 支 離 一 至 此 
ZH_X54_0879_002:0922c18	乎。	002	乎  
ZH_X54_0879_002:0922c19	禪師判肇公不遷。以法法不相到。法法住本位為宗。	002	禪 師 判 肇 公 不 遷  以 法 法 不 相 到  法 法 住 本 位 為 宗  
ZH_X54_0879_002:0922c20	徒見其言而未詳厥義也。然如來法王有二種法印	002	徒 見 其 言 而 未 詳 厥 義 也  然 如 來 法 王 有 二 種 法 印 
ZH_X54_0879_002:0922c21	印一切法。一因緣生滅印。二真空實相印。自如來之	002	印 一 切 法  一 因 緣 生 滅 印  二 真 空 實 相 印  自 如 來 之 
ZH_X54_0879_002:0922c22	後。凡所說者。要與二印相應即為正說。不與二印相	002	後  凡 所 說 者  要 與 二 印 相 應 即 為 正 說  不 與 二 印 相 
ZH_X54_0879_002:0922c23	應者即為邪說。此固不讓古今凡聖也。且初印者亦	002	應 者 即 為 邪 說  此 固 不 讓 古 今 凡 聖 也  且 初 印 者 亦 
ZH_X54_0879_002:0922c24	名無常印。凡是一切緣生之法必歸散滅。如有毫物	002	名 無 常 印  凡 是 一 切 緣 生 之 法 必 歸 散 滅  如 有 毫 物 
ZH_X54_0879_002:0923a01	不散滅者則佛不出世也。故涅槃云。本無今有。本有	002	不 散 滅 者 則 佛 不 出 世 也  故 涅 槃 云  本無今有  本 有 
ZH_X54_0879_002:0923a02	今無。三世有法。無有是處。又云。諸行無常。是生滅法。	002	今 無  三 世 有 法  無 有 是 處  又 云  諸行無常  是 生 滅 法  
ZH_X54_0879_002:0923a03	華嚴云。一切凡夫行。莫不速歸盡。此等皆言因滅果	002	華 嚴 云  一 切 凡 夫 行  莫 不 速 歸 盡  此 等 皆 言 因 滅 果 
ZH_X54_0879_002:0923a04	生。前念滅後念生。非若肇公往物不化昔因不滅也。	002	生  前 念 滅 後 念 生  非 若 肇 公 往 物 不 化 昔 因 不 滅 也  
ZH_X54_0879_002:0923a05	第二印者謂如來以一真空實相印印一切法。無有	002	第 二 印 者 謂 如 來 以 一 真 空 實 相 印 印 一 切 法  無 有 
ZH_X54_0879_002:0923a06	一法不空寂者。如有毫髮有體不空則佛不出世也。	002	一 法 不 空 寂 者  如 有 毫 髮 有 體 不 空 則 佛 不 出 世 也  
ZH_X54_0879_002:0923a07	大品云。色前際不可得。中際後際皆不可得。色即是	002	大 品 云  色 前 際 不 可 得  中 際 後 際 皆 不 可 得  色 即 是 
ZH_X54_0879_002:0923a08	空。萬法皆然。法華云。離相滅相。終歸於空。然此二印	002	空  萬 法 皆 然  法 華 云  離 相 滅 相  終 歸 於 空  然 此 二 印 
ZH_X54_0879_002:0923a09	只是一印。蓋由諸法無常故無自性。無自性故空也。	002	只 是 一 印  蓋 由 諸 法 無 常 故 無 自 性  無 自 性 故 空 也  
ZH_X54_0879_002:0923a10	是以雪山童子聞羅剎偈。諸行無常。是生滅法。歎曰。	002	是 以 雪 山 童 子 聞 羅 剎 偈  諸行無常  是 生 滅 法  歎 曰  
ZH_X54_0879_002:0923a11	此大乘空義也。是則要必無常始得空寂。要必空寂	002	此 大 乘 空 義 也  是 則 要 必 無 常 始 得 空 寂  要 必 空 寂 
ZH_X54_0879_002:0923a12	始得物物全真也。今肇師以物雖在昔而不化。因雖	002	始 得 物 物 全 真 也  今 肇 師 以 物 雖 在 昔 而 不 化  因 雖 
ZH_X54_0879_002:0923a13	作果而不滅。不滅不化則與無常法印相違。既違無	002	作 果 而 不 滅  不 滅 不 化 則 與 無 常 法 印 相 違  既 違 無 
ZH_X54_0879_002:0923a14	常而不滅不化。則物有定性矣。物有定性則與大乘	002	常 而 不 滅 不 化  則 物 有 定 性 矣  物 有 定 性 則 與 大 乘 
ZH_X54_0879_002:0923a15	空印背之矣。既背性空而曰真實不遷。與夫固陽炎	002	空 印 背 之 矣  既 背 性 空 而 曰 真 實 不 遷  與 夫 固 陽 炎 
ZH_X54_0879_002:0923a16	之水。實空華之果者。何以異耶。夫言實相者。古之實	002	之 水  實 空 華 之 果 者  何 以 異 耶  夫 言 實 相 者  古 之 實 
ZH_X54_0879_002:0923a17	相不異今之實相。今之實相不異古之實相也。有物	002	相 不 異 今 之 實 相  今 之 實 相 不 異 古 之 實 相 也  有 物 
ZH_X54_0879_002:0923a18	之實相不異無物之實相。無物之實相不異有物之	002	之 實 相 不 異 無 物 之 實 相  無 物 之 實 相 不 異 有 物 之 
ZH_X54_0879_002:0923a19	實相也。所謂有無不二也。古今一如也。達此義者靈	002	實 相 也  所 謂 有 無 不 二 也  古 今 一 如 也  達 此 義 者 靈 
ZH_X54_0879_002:0923a20	山一會即今儼然。非若肇公求向物於向為有。於今	002	山 一 會 即 今 儼 然  非 若 肇 公 求 向 物 於 向 為 有  於 今 
ZH_X54_0879_002:0923a21	為無也。禪師判肇公不遷。以法法不相到。法法住本	002	為 無 也  禪 師 判 肇 公 不 遷  以 法 法 不 相 到  法 法 住 本 
ZH_X54_0879_002:0923a22	位為宗。果如禪師之言。還與法王法印不相背乎。然	002	位 為 宗  果 如 禪 師 之 言  還 與 法 王 法 印 不 相 背 乎  然 
ZH_X54_0879_002:0923a23	法法不相到義。據聖教有二說。不出二種法印。一因	002	法 法 不 相 到 義  據 聖 教 有 二 說  不 出 二 種 法 印  一 因 
ZH_X54_0879_002:0923a24	緣生滅義。經云。有為之法。剎那滅故。無容從此。遷至	002	緣 生 滅 義  經 云  有 為 之 法  剎 那 滅 故  無 容 從 此  遷 至 
ZH_X54_0879_002:0923b01	餘方。夫此方前念也。餘方後念也。是以前念滅故不	002	餘 方  夫 此 方 前 念 也  餘 方 後 念 也  是 以 前 念 滅 故 不 
ZH_X54_0879_002:0923b02	至於後念也。涅槃喻如蠟印印泥。印與泥合。印壞文	002	至 於 後 念 也  涅 槃 喻 如 蠟 印 印 泥  印 與 泥 合  印 壞 文 
ZH_X54_0879_002:0923b03	成。而是蠟印不變在泥。此中印壞文成。喻因滅果生	002	成  而 是 蠟 印 不 變 在 泥  此 中 印 壞 文 成  喻 因 滅 果 生 
ZH_X54_0879_002:0923b04	也。不變在泥。即因不至果也。是皆前念滅故不至後	002	也  不 變 在 泥  即 因 不 至 果 也  是 皆 前 念 滅 故 不 至 後 
ZH_X54_0879_002:0923b05	念。非若肇公物雖在昔而不化。因雖作果而不滅也。	002	念  非 若 肇 公 物 雖 在 昔 而 不 化  因 雖 作 果 而 不 滅 也  
ZH_X54_0879_002:0923b06	二真空實相義。以法法性空故不相到。非曰不到。到	002	二 真 空 實 相 義  以 法 法 性 空 故 不 相 到  非 曰 不 到  到 
ZH_X54_0879_002:0923b07	即無到也。華嚴云。諸法無作用。亦無有體性。是故彼	002	即 無 到 也  華 嚴 云  諸 法 無 作 用  亦 無 有 體 性  是 故 彼 
ZH_X54_0879_002:0923b08	一切。各各不相知。如陽炎之水波波不相觸也。是以	002	一 切  各 各 不 相 知  如 陽 炎 之 水 波 波 不 相 觸 也  是 以 
ZH_X54_0879_002:0923b09	前念之物空無性故不觸後念。後念亦爾。達此義者	002	前 念 之 物 空 無 性 故 不 觸 後 念  後 念 亦 爾  達 此 義 者 
ZH_X54_0879_002:0923b10	則知水不觸濕。火不觸燥。地不觸塵。風不觸氣。塵塵	002	則 知 水 不 觸 濕  火 不 觸 燥  地 不 觸 塵  風 不 觸 氣  塵 塵 
ZH_X54_0879_002:0923b11	不相到。念念不相到。非若肇公昔物不滅。性住於昔	002	不 相 到  念 念 不 相 到  非 若 肇 公 昔 物 不 滅  性 住 於 昔 
ZH_X54_0879_002:0923b12	不到今也。夫言性空者。有性即空也。則昔物在昔。緣	002	不 到 今 也  夫 言 性 空 者  有 性 即 空 也  則 昔 物 在 昔  緣 
ZH_X54_0879_002:0923b13	未散時體性即空。豈謂於向為有。於今為無哉。且夫	002	未 散 時 體 性 即 空  豈 謂 於 向 為 有  於 今 為 無 哉  且 夫 
ZH_X54_0879_002:0923b14	如來聖教亘百千年。而外道邪說不能壞亂者。以二	002	如來聖教 亘 百 千 年  而 外 道 邪 說 不 能 壞 亂 者  以 二 
ZH_X54_0879_002:0923b15	種法印。名言有在耳。是故聖教以名言為體。蓋此二	002	種 法 印  名 言 有 在 耳  是 故 聖 教 以 名 言 為 體  蓋 此 二 
ZH_X54_0879_002:0923b16	種法印。千佛出世不能異也。而博地凡夫敢以世俗	002	種 法 印  千 佛 出 世 不 能 異 也  而 博 地 凡 夫 敢 以 世 俗 
ZH_X54_0879_002:0923b17	戲論之說擬欲變革法王之法乎。禪師引詩。率土之	002	戲 論 之 說 擬 欲 變 革 法 王 之 法 乎  禪 師 引 詩  率 土 之 
ZH_X54_0879_002:0923b18	濵莫非王臣。而容有瞽瞍不臣舜帝。不以辭害意也。	002	濵 莫 非 王 臣  而 容 有 瞽 瞍 不 臣 舜 帝  不 以 辭 害 意 也  
ZH_X54_0879_002:0923b19	無乃以如來聖言本有今無。莫非無常遷滅。而獨許	002	無 乃 以 如 來 聖 言 本 有 今 無  莫 非 無 常 遷 滅  而 獨 許 
ZH_X54_0879_002:0923b20	肇公所說本有今無。為常住不遷耶。若然。則令涅槃	002	肇 公 所 說 本 有 今 無  為 常 住 不 遷 耶  若 然  則 令 涅 槃 
ZH_X54_0879_002:0923b21	金口所談三世有法無有是處。翻成妄誕見。殆以世	002	金 口 所 談 三 世 有 法 無 有 是 處  翻 成 妄 誕 見  殆 以 世 
ZH_X54_0879_002:0923b22	俗戲論之說為質。而欲變革法王之法印也。夫法王	002	俗 戲 論 之 說 為 質  而 欲 變 革 法 王 之 法 印 也  夫 法 王 
ZH_X54_0879_002:0923b23	法印千聖不可異。豈以世俗之說而能壞哉。言之者	002	法 印 千 聖 不 可 異  豈 以 世 俗 之 說 而 能 壞 哉  言 之 者 
ZH_X54_0879_002:0923b24	自壞其見也。然如來四十年中說法。不無隱覆隨機	002	自 壞 其 見 也  然 如 來 四 十 年 中 說 法  不 無 隱 覆 隨 機 
ZH_X54_0879_002:0923c01	方便未了之談。末上盡與發開。如云。一切江河悉皆	002	方 便 未 了 之 談  末 上 盡 與 發 開  如 云  一 切 江 河 悉 皆 
ZH_X54_0879_002:0923c02	曲折。而亦有不曲折者。一切女人悉皆謟曲。而亦有	002	曲 折  而 亦 有 不 曲 折 者  一 切 女 人 悉 皆 謟 曲  而 亦 有 
ZH_X54_0879_002:0923c03	不謟曲者。殺父殺母必墮地獄。而亦有成聖道者。殺	002	不 謟 曲 者  殺 父 殺 母 必 墮 地 獄  而 亦 有 成 聖 道 者  殺 
ZH_X54_0879_002:0923c04	無明父及貪愛母故也。廣如涅槃所以盡與發開者。	002	無 明 父 及 貪 愛 母 故 也  廣 如 涅 槃 所 以 盡 與 發 開 者  
ZH_X54_0879_002:0923c05	恐疑悞眾生故也。然佛說本有今無。必為無常遷滅。	002	恐 疑 悞 眾 生 故 也  然 佛 說 本 有 今 無  必 為 無 常 遷 滅  
ZH_X54_0879_002:0923c06	未聞容有此說為常住不遷者也。佛說有為諸行剎	002	未 聞 容 有 此 說 為 常 住 不 遷 者 也  佛 說 有 為 諸 行 剎 
ZH_X54_0879_002:0923c07	那即滅。未聞昔物住昔而不化者也。佛說前陰滅後	002	那 即 滅  未 聞 昔 物 住 昔 而 不 化 者 也  佛 說 前 陰 滅 後 
ZH_X54_0879_002:0923c08	陰生。未聞因不滅而果生者也。佛說諸法體用皆空	002	陰 生  未 聞 因 不 滅 而 果 生 者 也  佛 說 諸 法 體 用 皆 空 
ZH_X54_0879_002:0923c09	故不相知。未聞物性各住一世不相到也。是皆法王	002	故 不 相 知  未 聞 物 性 各 住 一 世 不 相 到 也  是 皆 法 王 
ZH_X54_0879_002:0923c10	法外新出此條件也。吾何以從之哉。	002	法 外 新 出 此 條 件 也  吾 何 以 從 之 哉  
ZH_X54_0879_002:0923c11	來諭。如來說法自有大小偏圓。初無定方。不當槩以	002	來 諭  如 來 說 法 自 有 大 小 偏 圓  初 無 定 方  不 當 槩 以 
ZH_X54_0879_002:0923c12	圓頓之旨繩之。意謂肇師不滅不化自是一種法門。	002	圓 頓 之 旨 繩 之  意 謂 肇 師 不 滅 不 化 自 是 一 種 法 門  
ZH_X54_0879_002:0923c13	不當以二種法印繩之。愚謂如來說法大小偏圓。雖	002	不 當 以 二 種 法 印 繩 之  愚 謂 如 來 說 法 大 小 偏 圓  雖 
ZH_X54_0879_002:0923c14	逐機萬變。不離法印。若小乘法必與因緣生滅相應。	002	逐 機 萬 變  不 離 法 印  若 小 乘 法 必 與 因 緣 生 滅 相 應  
ZH_X54_0879_002:0923c15	若大乘法必與真空實相相應。離此則非異即邪矣。	002	若 大 乘 法 必 與 真 空 實 相 相 應  離 此 則 非 異 即 邪 矣  
ZH_X54_0879_002:0923c16	蓋若不以法印印定。則九十六種之說皆佛法矣。如	002	蓋 若 不 以 法 印 印 定  則 九 十 六 種 之 說 皆 佛 法 矣  如 
ZH_X54_0879_002:0923c17	來聖教豈到今日。	002	來 聖 教 豈 到 今 日  
ZH_X54_0879_002:0923c18	來諭。肇公不遷即真實義。非性空義。其引般若皆借	002	來 諭  肇 公 不 遷 即 真 實 義  非 性 空 義  其 引 般 若 皆 借 
ZH_X54_0879_002:0923c19	意。非其本宗。不爾肇公何人顧反昔支離一至此乎。	002	意  非 其 本 宗  不 爾 肇 公 何 人 顧 反 昔 支 離 一 至 此 乎  
ZH_X54_0879_002:0923c20	然肇公不遷既引般若標本。而曰非其本宗。此又仁	002	然 肇 公 不 遷 既 引 般 若 標 本  而 曰 非 其 本 宗  此 又 仁 
ZH_X54_0879_002:0923c21	者自駁肇公矣。且性空與真實相去幾何。豈有背乎	002	者 自 駁 肇 公 矣  且 性 空 與 真 實 相 去 幾 何  豈 有 背 乎 
ZH_X54_0879_002:0923c22	性空而能契真實者哉。背乎性空而責真實者。即所	002	性 空 而 能 契 真 實 者 哉  背 乎 性 空 而 責 真 實 者  即 所 
ZH_X54_0879_002:0923c23	謂固空華而實陽炎也。禪師必謂般若性空。法華性	002	謂 固 空 華 而 實 陽 炎 也  禪 師 必 謂 般 若 性 空  法 華 性 
ZH_X54_0879_002:0923c24	住。肇公不遷雖標本般若。而其立義則從法華。固不	002	住  肇 公 不 遷 雖 標 本 般 若  而 其 立 義 則 從 法 華  固 不 
ZH_X54_0879_002:0924a01	可以般若性空駁法華之性住者。愚謂般若法無去	002	可 以 般 若 性 空 駁 法 華 之 性 住 者  愚 謂 般 若 法 無 去 
