segmentnr	original	folio	analyzed
ZH_X87_1620_004:0207b22	言。心欲緣而慮忘。為對妄想。作麼生是教意。尚書無	004	言  心 欲 緣 而 慮 忘  為 對 妄 想  作 麼 生 是 教 意  尚 書 無 
ZH_X87_1620_004:0207b23	語。雲門曰。見說尚書看法華經。是否。尚書曰是。雲門	004	語  雲 門 曰  見 說 尚 書 看 法 華 經  是 否  尚 書 曰 是  雲 門 
ZH_X87_1620_004:0207b24	曰。經中道。一切治生產業。皆與實相不相違背。且道。	004	曰  經 中 道  一 切 治 生 產 業  皆 與 實 相 不 相 違 背  且 道  
ZH_X87_1620_004:0207c01	非非想天。有幾人退位。尚書無語。雲門曰。尚書且莫	004	非 非 想 天  有 幾 人 退 位  尚 書 無 語  雲 門 曰  尚 書 且 莫 
ZH_X87_1620_004:0207c02	草草。三經五論師僧拋却。特入叢林。十年二十年。尚	004	草 草  三 經 五 論 師 僧 拋 却  特 入 叢 林  十 年 二 十 年  尚 
ZH_X87_1620_004:0207c03	不奈何。尚書又爭得會。尚書禮拜曰。某甲罪過。	004	不 奈 何  尚 書 又 爭 得 會  尚 書 禮 拜 曰  某 甲 罪 過  
ZH_X87_1620_004:0207c04	韋監軍	004	韋 監 軍 
ZH_X87_1620_004:0207c05	韋監軍。來謁玄沙。乃曰。曹山和尚甚奇怪。玄沙曰。撫	004	韋 監 軍  來 謁 玄 沙  乃 曰  曹 山 和 尚 甚 奇 怪  玄 沙 曰  撫 
ZH_X87_1620_004:0207c06	州取曹山幾里。韋指傍僧曰。上座曾到曹山否。曰曾	004	州 取 曹 山 幾 里  韋 指 傍 僧 曰  上 座 曾 到 曹 山 否  曰 曾 
ZH_X87_1620_004:0207c07	到。韋曰。撫州取曹山幾里。曰百二十里。韋曰。恁麼則	004	到  韋 曰  撫 州 取 曹 山 幾 里  曰 百 二 十 里  韋 曰  恁 麼 則 
ZH_X87_1620_004:0207c08	上座不到曹山。韋却起禮拜。玄沙曰。監軍却須禮此	004	上 座 不 到 曹 山  韋 却 起 禮 拜  玄 沙 曰  監 軍 却 須 禮 此 
ZH_X87_1620_004:0207c09	僧。此僧却具慚愧。(雲居錫云。甚麼處是此僧具慙愧。若撿得出。許上座有行脚眼)玄	004	僧  此 僧 却 具 慚 愧   雲 居 錫 云  甚 麼 處 是 此 僧 具 慙 愧  若 撿 得 出  許 上 座 有 行 脚 眼  玄 
ZH_X87_1620_004:0207c10	沙一日與韋監軍喫菓子。韋問。如何是日用而不知。	004	沙 一 日 與 韋 監 軍 喫 菓 子  韋 問  如 何 是 日 用 而 不 知  
ZH_X87_1620_004:0207c11	玄沙拈起菓子曰。喫。韋喫菓子了再問。玄沙曰。祇這	004	玄 沙 拈 起 菓 子 曰  喫  韋 喫 菓 子 了 再 問  玄 沙 曰  祇 這 
ZH_X87_1620_004:0207c12	是日用而不知。	004	是 日 用 而 不 知  
ZH_X87_1620_004:0207c13	陳尚書	004	陳 尚 書 
ZH_X87_1620_004:0207c14	陳尚書問洞山价。五十二位菩薩中。為甚麼不見妙	004	陳 尚 書 問 洞 山 价  五 十 二 位 菩 薩 中  為 甚 麼 不 見 妙 
ZH_X87_1620_004:0207c15	覺。洞山曰。尚書親見妙覺。	004	覺  洞 山 曰  尚 書 親 見 妙 覺  
ZH_X87_1620_004:0207c16	節度使成汭	004	節 度 使 成 汭 
ZH_X87_1620_004:0207c17	荊南節度使成汭。入山設供。問雲居膺禪師曰。世尊	004	荊 南 節 度 使 成 汭  入 山 設 供  問 雲 居 膺 禪 師 曰  世 尊 
ZH_X87_1620_004:0207c18	有密語。迦葉不覆藏。如何是世尊密語。雲居召尚書。	004	有 密 語  迦 葉 不 覆 藏  如 何 是 世 尊 密 語  雲 居 召 尚 書  
ZH_X87_1620_004:0207c19	尚書應諾。雲居曰。會麼。尚書曰。不會。雲居曰。汝若不	004	尚 書 應 諾  雲 居 曰  會 麼  尚 書 曰  不 會  雲 居 曰  汝 若 不 
ZH_X87_1620_004:0207c20	會。世尊有密語。汝若會。迦葉不覆藏。	004	會  世 尊 有 密 語  汝 若 會  迦 葉 不 覆 藏  
ZH_X87_1620_004:0207c21	劉禹端	004	劉 禹 端 
ZH_X87_1620_004:0207c22	劉禹端。問雲居膺禪師曰。雨從何來。雲居曰。從端公	004	劉 禹 端  問 雲 居 膺 禪 師 曰  雨 從 何 來  雲 居 曰  從 端 公 
ZH_X87_1620_004:0207c23	問處來。公歡喜讚歎。雲居却問公。雨從何來。公無語	004	問 處 來  公 歡 喜 讚 歎  雲 居 却 問 公  雨 從 何 來  公 無 語 
ZH_X87_1620_004:0207c24	(有老宿代云。適來道甚麼。歸宗柔別云。謝和尚再三)。	004	 有 老 宿 代 云  適 來 道 甚 麼  歸 宗 柔 別 云  謝 和 尚 再 三   
ZH_X87_1620_004:0208a01	張覇遷	004	張 覇 遷 
ZH_X87_1620_004:0208a02	信士張覇遷。問疎山匡仁禪師曰。和尚有何言句。踈	004	信 士 張 覇 遷  問 疎 山 匡 仁 禪 師 曰  和 尚 有 何 言 句  踈 
ZH_X87_1620_004:0208a03	山示偈曰。吾有一寶琴。寄之在曠野。不是不解彈。未	004	山 示 偈 曰  吾 有 一 寶 琴  寄 之 在 曠 野  不 是 不 解 彈  未 
ZH_X87_1620_004:0208a04	遇知音者。	004	遇 知 音 者  
ZH_X87_1620_004:0208a05	劉翁	004	劉 翁 
ZH_X87_1620_004:0208a06	青林師虔禪師。在洞山栽松次。有劉翁求偈。師作偈	004	青 林 師 虔 禪 師  在 洞 山 栽 松 次  有 劉 翁 求 偈  師 作 偈 
ZH_X87_1620_004:0208a07	曰。長長三尺餘。鬱鬱覆青草。不知何代人。得見此松	004	曰  長 長 三 尺 餘  鬱 鬱 覆 青 草  不 知 何 代 人  得 見 此 松 
ZH_X87_1620_004:0208a08	老。劉得偈呈洞山。洞山謂曰。此是第三代洞山主人。	004	老  劉 得 偈 呈 洞 山  洞 山 謂 曰  此 是 第 三 代 洞 山 主 人  
ZH_X87_1620_004:0208a09	鍾司徒	004	鍾 司 徒 
ZH_X87_1620_004:0208a10	頴橋安鐵胡。一日在風穴團爐內坐。有鍾司徒來見。	004	頴 橋 安 鐵 胡  一 日 在 風 穴 團 爐 內 坐  有 鍾 司 徒 來 見  
ZH_X87_1620_004:0208a11	便問。三界焚燒。如何出得。安將火匙撥開火。鍾擬議。	004	便 問  三 界 焚 燒  如 何 出 得  安 將 火 匙 撥 開 火  鍾 擬 議  
ZH_X87_1620_004:0208a12	安曰。司徒司徒。鍾忽有省。	004	安 曰  司 徒 司 徒  鍾 忽 有 省  
ZH_X87_1620_004:0208a13	陶穀	004	陶 穀 
ZH_X87_1620_004:0208a14	給事中陶穀。入東京普淨院。致禮常覺禪師。問曰。經	004	給 事 中 陶 穀  入 東 京 普 淨 院  致 禮 常 覺 禪 師  問 曰  經 
ZH_X87_1620_004:0208a15	云離一切相。則名諸佛。今目前諸相紛然。如何離得。	004	云 離一切相  則 名 諸 佛  今 目 前 諸 相 紛 然  如 何 離 得  
ZH_X87_1620_004:0208a16	覺曰。給事見箇甚麼。陶欣然仰重。	004	覺 曰  給 事 見 箇 甚 麼  陶 欣 然 仰 重  
ZH_X87_1620_004:0208a17	李相公	004	李 相 公 
ZH_X87_1620_004:0208a18	李相公。至南嶽。問福巖審承禪師。如何是祖師西來	004	李 相 公  至 南 嶽  問 福 巖 審 承 禪 師  如 何 是 祖 師 西 來 
ZH_X87_1620_004:0208a19	意。師指庭前柏樹。公如是三問。師如是三答。公欣然。	004	意  師 指 庭 前 柏 樹  公 如 是 三 問  師 如 是 三 答  公 欣 然  
ZH_X87_1620_004:0208a20	乃有頌曰。出沒雲閑滿太虗。元來真相一塵無。重重	004	乃 有 頌 曰  出 沒 雲 閑 滿 太 虗  元 來 真 相 一 塵 無  重 重 
ZH_X87_1620_004:0208a21	請問西來意。唯指庭前柏一株。	004	請 問 西 來 意  唯 指 庭 前 柏 一 株  
ZH_X87_1620_004:0208a22	李王	004	李 王 
ZH_X87_1620_004:0208a23	清凉文益禪師。一日與李王論道罷。同觀牡丹花。王	004	清 凉 文 益 禪 師  一 日 與 李 王 論 道 罷  同 觀 牡 丹 花  王 
ZH_X87_1620_004:0208a24	命作偈。清凉即賦曰。擁毳對芳叢。由來趣不同。髮從	004	命 作 偈  清 凉 即 賦 曰  擁 毳 對 芳 叢  由 來 趣 不 同  髮 從 
ZH_X87_1620_004:0208b01	今日白。花是去年紅。豔冶隨朝露。馨香逐晚風。何須	004	今 日 白  花 是 去 年 紅  豔 冶 隨 朝 露  馨 香 逐 晚 風  何 須 
ZH_X87_1620_004:0208b02	待零落。然後始知空。王頓悟其意。	004	待 零 落  然 後 始 知 空  王 頓 悟 其 意  
ZH_X87_1620_004:0208b03	宋令公	004	宋 令 公 
ZH_X87_1620_004:0208b04	宋令公。為洪州太守。一日大寧寺僧陳乞。請第二座	004	宋 令 公  為 洪 州 太 守  一 日 大 寧 寺 僧 陳 乞  請 第 二 座 
ZH_X87_1620_004:0208b05	開堂。公曰。何不請第一座。眾無語(法眼代云。不勞如此)。	004	開 堂  公 曰  何 不 請 第 一 座  眾 無 語  法 眼 代 云  不 勞 如 此   
ZH_X87_1620_004:0208b06	馮延巳	004	馮 延 巳 
ZH_X87_1620_004:0208b07	馮延巳。為江南相。與數僧遊鍾山。至一人泉。問一人	004	馮 延 巳  為 江 南 相  與 數 僧 遊 鍾 山  至 一 人 泉  問 一 人 
ZH_X87_1620_004:0208b08	泉許多人爭得足。一僧對曰。不教欠少。延巳不肯。乃	004	泉 許 多 人 爭 得 足  一 僧 對 曰  不 教 欠 少  延 巳 不 肯  乃 
ZH_X87_1620_004:0208b09	別曰誰人欠少(法眼別云。誰是不足者)。	004	別 曰 誰 人 欠 少  法 眼 別 云  誰 是 不 足 者   
ZH_X87_1620_004:0208b10	李崇矩	004	李 崇 矩 
ZH_X87_1620_004:0208b11	開寶中。樞密使李崇矩。巡護南方。因入院。覩地藏菩	004	開 寶 中  樞 密 使 李 崇 矩  巡 護 南 方  因 入 院  覩 地 藏 菩 
ZH_X87_1620_004:0208b12	薩像。問僧。地藏何以展手。僧曰。手中珠被賊偷却也。	004	薩 像  問 僧  地 藏 何 以 展 手  僧 曰  手 中 珠 被 賊 偷 却 也  
ZH_X87_1620_004:0208b13	李却問圓明禪師。既是地藏。為甚麼遭賊。明曰。今日	004	李 却 問 圓 明 禪 師  既 是 地 藏  為 甚 麼 遭 賊  明 曰  今 日 
ZH_X87_1620_004:0208b14	捉下也。李禮謝之。	004	捉 下 也  李 禮 謝 之  
ZH_X87_1620_004:0208b15	歐陽修	004	歐 陽 修 
ZH_X87_1620_004:0208b16	歐陽修。諡文忠。聞浮山遠禪師奇逸。造其室。未有以	004	歐 陽 修  諡 文 忠  聞 浮 山 遠 禪 師 奇 逸  造 其 室  未 有 以 
ZH_X87_1620_004:0208b17	異之。與客碁。浮山坐其旁。文忠遽收局。請因碁說法。	004	異 之  與 客 碁  浮 山 坐 其 旁  文 忠 遽 收 局  請 因 碁 說 法  
ZH_X87_1620_004:0208b18	浮山即令撾鼓。陞座曰。若論此事。如兩家著碁相似。	004	浮 山 即 令 撾 鼓  陞 座 曰  若 論 此 事  如 兩 家 著 碁 相 似  
ZH_X87_1620_004:0208b19	何謂也。敵手知音。當機不讓。若是綴五饒三。又通一	004	何 謂 也  敵 手 知 音  當 機 不 讓  若 是 綴 五 饒 三  又 通 一 
ZH_X87_1620_004:0208b20	路始得。有一般底。祇解閉門作活。不會奪角衝關。硬	004	路 始 得  有 一 般 底  祇 解 閉 門 作 活  不 會 奪 角 衝 關  硬 
ZH_X87_1620_004:0208b21	節與虎口齊彰。局破後徒勞綽斡。所以道。肥邊易得。	004	節 與 虎 口 齊 彰  局 破 後 徒 勞 綽 斡  所 以 道  肥 邊 易 得  
ZH_X87_1620_004:0208b22	瘦肚難求。思行則往往失粘。心粗而時時頭撞。休誇	004	瘦 肚 難 求  思 行 則 往 往 失 粘  心 粗 而 時 時 頭 撞  休 誇 
ZH_X87_1620_004:0208b23	國手。謾說神仙。贏局輸籌即不問。且道。黑白未分時	004	國 手  謾 說 神 仙  贏 局 輸 籌 即 不 問  且 道  黑 白 未 分 時 
ZH_X87_1620_004:0208b24	一著。落在甚麼處。良久曰。從來十九路。迷悟幾多人。	004	一 著  落 在 甚 麼 處  良 久 曰  從 來 十 九 路  迷 悟 幾 多 人  
ZH_X87_1620_004:0208c01	文忠嘉歎。從容謂同僚曰。修初疑禪語為虗誕。今日	004	文 忠 嘉 歎  從 容 謂 同 僚 曰  修 初 疑 禪 語 為 虗 誕  今 日 
ZH_X87_1620_004:0208c02	見此老機緣。所得所造。非悟明於心地。安能有此妙	004	見 此 老 機 緣  所 得 所 造  非 悟 明 於 心 地  安 能 有 此 妙 
ZH_X87_1620_004:0208c03	旨哉。後官洛中。一日遊嵩山。却去僕吏。放意而往。至	004	旨 哉  後 官 洛 中  一 日 遊 嵩 山  却 去 僕 吏  放 意 而 往  至 
ZH_X87_1620_004:0208c04	一山寺。入門修竹滿軒。霜清鳥啼。風物鮮明。文忠休	004	一 山 寺  入 門 修 竹 滿 軒  霜 清 鳥 啼  風 物 鮮 明  文 忠 休 
ZH_X87_1620_004:0208c05	於殿陛。旁有老僧。閱經自若。與語不甚顧答。文忠異	004	於 殿 陛  旁 有 老 僧  閱 經 自 若  與 語 不 甚 顧 答  文 忠 異 
ZH_X87_1620_004:0208c06	之曰。道人住山久如。對曰。甚久也。又問。誦何經。對曰。	004	之 曰  道 人 住 山 久 如  對 曰  甚 久 也  又 問  誦 何 經  對 曰  
ZH_X87_1620_004:0208c07	法華經。文忠曰。古之高僧。臨生死之際。類皆談笑脫	004	法 華 經  文 忠 曰  古 之 高 僧  臨 生 死 之 際  類 皆 談 笑 脫 
ZH_X87_1620_004:0208c08	去。何道致之耶。對曰。定慧力耳。又問。今乃寂寥無有。	004	去  何 道 致 之 耶  對 曰  定 慧 力 耳  又 問  今 乃 寂 寥 無 有  
ZH_X87_1620_004:0208c09	何哉。老僧笑曰。古之人念念在定慧。臨終安得亂。今	004	何 哉  老 僧 笑 曰  古 之 人 念 念 在 定 慧  臨 終 安 得 亂  今 
ZH_X87_1620_004:0208c10	之人念念在散亂。臨終安得定。文忠大驚。不自知膝	004	之 人 念 念 在 散 亂  臨 終 安 得 定  文 忠 大 驚  不 自 知 膝 
ZH_X87_1620_004:0208c11	之屈也。謝希深。甞作文記其事。	004	之 屈 也  謝 希 深  甞 作 文 記 其 事  
ZH_X87_1620_004:0208c12	呂許公	004	呂 許 公 
ZH_X87_1620_004:0208c13	丞相呂許公。謁法華志言大士。問佛法大意。法華曰。	004	丞 相 呂 許 公  謁 法 華 志 言 大 士  問 佛 法 大 意  法 華 曰  
ZH_X87_1620_004:0208c14	本來無一物。一味却成真。	004	本 來 無 一 物  一 味 却 成 真  
ZH_X87_1620_004:0208c15	王質	004	王 質 
ZH_X87_1620_004:0208c16	集僊王質問。如何是祖師西來意。法華曰。青山影裡	004	集 僊 王 質 問  如 何 是 祖 師 西 來 意  法 華 曰  青 山 影 裡 
ZH_X87_1620_004:0208c17	潑藍起。寶塔高吟撼曉風。又曰。請法華燒香。法華曰。	004	潑 藍 起  寶 塔 高 吟 撼 曉 風  又 曰  請 法 華 燒 香  法 華 曰  
ZH_X87_1620_004:0208c18	未從齋戒覓。不向佛邊求。	004	未 從 齋 戒 覓  不 向 佛 邊 求  
ZH_X87_1620_004:0208c19	徐岳	004	徐 岳 
ZH_X87_1620_004:0208c20	國子助教徐岳。問祖師西來意。法華曰。街頭東畔底。	004	國 子 助 教 徐 岳  問 祖 師 西 來 意  法 華 曰  街 頭 東 畔 底  
ZH_X87_1620_004:0208c21	徐曰。某甲未會。法華曰。三般人會不得。	004	徐 曰  某 甲 未 會  法 華 曰  三 般 人 會 不 得  
ZH_X87_1620_004:0208c22	王安石	004	王 安 石 
ZH_X87_1620_004:0208c23	王安石。字介甫。相仁宗。封荊國公。時吳山端禪師。在	004	王 安 石  字 介 甫  相 仁 宗  封 荊 國 公  時 吳 山 端 禪 師  在 
ZH_X87_1620_004:0208c24	京師。公請講禪。就大相國寺設齋。公入院焚香畢。問	004	京 師  公 請 講 禪  就 大 相 國 寺 設 齋  公 入 院 焚 香 畢  問 
ZH_X87_1620_004:0209a01	諸方云。佛未出世時看甚麼經。眾無語。端曰。相公。周	004	諸 方 云  佛 未 出 世 時 看 甚 麼 經  眾 無 語  端 曰  相 公  周 
ZH_X87_1620_004:0209a02	孔未出世時。讀甚麼書。公曰。伶俐衲僧。端又偈曰。南	004	孔 未 出 世 時  讀 甚 麼 書  公 曰  伶 俐 衲 僧  端 又 偈 曰  南 
ZH_X87_1620_004:0209a03	無觀世音。說出種種法。眾生業海深。所以難救拔。古	004	無 觀 世 音  說 出 種 種 法  眾 生 業 海 深  所 以 難 救 拔  古 
ZH_X87_1620_004:0209a04	今沉沒者。聲聲怨菩薩。時公在朝。更新庶務。故作偈	004	今 沉 沒 者  聲 聲 怨 菩 薩  時 公 在 朝  更 新 庶 務  故 作 偈 
ZH_X87_1620_004:0209a05	云云。公平時見端偈語。稱賞之曰。有本者如是(洪覺範曰。	004	云 云  公 平 時 見 端 偈 語  稱 賞 之 曰  有 本 者 如 是  洪 覺 範 曰  
ZH_X87_1620_004:0209a06	王文公方大拜。賀客塞門。公默坐甚久。忽題於壁間曰。霜筠雪竹鍾山寺。投老歸歟寄此生。又元宵賜宴於相	004	王 文 公 方 大 拜  賀 客 塞 門  公 默 坐 甚 久  忽 題 於 壁 間 曰  霜 筠 雪 竹 鍾 山 寺  投 老 歸 歟 寄 此 生  又 元 宵 賜 宴 於 相 
ZH_X87_1620_004:0209a07	國寺。觀俳優。坐客懽甚。公作偈曰。諸優戲場中。一貴復一賤。心知本是同。所以無欣怨。子甞謂同學曰。此老人	004	國 寺  觀 俳 優  坐 客 懽 甚  公 作 偈 曰  諸 優 戲 場 中  一 貴 復 一 賤  心 知 本 是 同  所 以 無 欣 怨  子 甞 謂 同 學 曰  此 老 人 
ZH_X87_1620_004:0209a08	通身是眼。滿渠一點也不得)。	004	通 身 是 眼  滿 渠 一 點 也 不 得   
ZH_X87_1620_004:0209a09	武昌劉居士	004	武 昌 劉 居 士 
ZH_X87_1620_004:0209a10	雲居舜老夫。初參洞山。一日如武昌行乞。首謁劉居	004	雲 居 舜 老 夫  初 參 洞 山  一 日 如 武 昌 行 乞  首 謁 劉 居 
ZH_X87_1620_004:0209a11	士。居士曰。老漢有一問。若相契。即請開疏。若不相契。	004	士  居 士 曰  老 漢 有 一 問  若 相 契  即 請 開 疏  若 不 相 契  
ZH_X87_1620_004:0209a12	即請還山。遂問。古鏡未磨時如何。舜曰。黑似漆。磨後	004	即 請 還 山  遂 問  古 鏡 未 磨 時 如 何  舜 曰  黑 似 漆  磨 後 
ZH_X87_1620_004:0209a13	如何。舜曰。照天照地。居士長揖曰。且請上人還山。舜	004	如 何  舜 曰  照 天 照 地  居 士 長 揖 曰  且 請 上 人 還 山  舜 
ZH_X87_1620_004:0209a14	懡[怡-台+羅]而歸。洞山問其故。舜述前語。洞山曰。汝問我。舜	004	懡 [怡台羅] 而 歸  洞 山 問 其 故  舜 述 前 語  洞 山 曰  汝 問 我  舜 
ZH_X87_1620_004:0209a15	理前問。洞山曰。此去漢陽不遠。進後語。洞山曰。黃鶴	004	理 前 問  洞 山 曰  此 去 漢 陽 不 遠  進 後 語  洞 山 曰  黃 鶴 
ZH_X87_1620_004:0209a16	樓前鸚鵡洲。舜於言下大悟。	004	樓 前 鸚 鵡 洲  舜 於 言 下 大 悟  
ZH_X87_1620_004:0209a17	李端愿	004	李 端 愿 
ZH_X87_1620_004:0209a18	李端愿居士。世以佛學名。慧林宗本禪師問曰。十方	004	李 端 愿 居 士  世 以 佛 學 名  慧 林 宗 本 禪 師 問 曰  十 方 
ZH_X87_1620_004:0209a19	同聚會。箇箇學無為。既曰無為。作麼生學。李無對。	004	同 聚 會  箇 箇 學 無 為  既 曰 無 為  作 麼 生 學  李 無 對  
ZH_X87_1620_004:0209a20	葉清臣蔣侍郎	004	葉 清 臣 蔣 侍 郎 
ZH_X87_1620_004:0209a21	內翰葉清臣。牧金陵。迎惟正禪師語道。一日葉曰。明	004	內 翰 葉 清 臣  牧 金 陵  迎 惟 正 禪 師 語 道  一 日 葉 曰  明 
ZH_X87_1620_004:0209a22	日府有燕飲。師固奉律。能為我少留一日款請話否。	004	日 府 有 燕 飲  師 固 奉 律  能 為 我 少 留 一 日 款 請 話 否  
ZH_X87_1620_004:0209a23	正諾之。翌日遣使邀。正留一偈而返曰。昨日曾將今	004	正 諾 之  翌 日 遣 使 邀  正 留 一 偈 而 返 曰  昨 日 曾 將 今 
ZH_X87_1620_004:0209a24	日期。出門倚杖又思惟。為僧祗合居巖谷。國士筵中	004	日 期  出 門 倚 杖 又 思 惟  為 僧 祗 合 居 巖 谷  國 士 筵 中 
ZH_X87_1620_004:0209b01	甚不宜。坐客皆仰其標致。杭守蔣侍郎。亦與正為方	004	甚 不 宜  坐 客 皆 仰 其 標 致  杭 守 蔣 侍 郎  亦 與 正 為 方 
ZH_X87_1620_004:0209b02	外交。每往謁。至郡庭下犢。譚笑終日而去。蔣有詩曰。	004	外 交  每 往 謁  至 郡 庭 下 犢  譚 笑 終 日 而 去  蔣 有 詩 曰  
ZH_X87_1620_004:0209b03	禪客尋常入舊都。黃牛角上挂缾盂。有時帶雪穿雲	004	禪 客 尋 常 入 舊 都  黃 牛 角 上 挂 缾 盂  有 時 帶 雪 穿 雲 
ZH_X87_1620_004:0209b04	去。便好和雲畵作圖。	004	去  便 好 和 雲 畵 作 圖  
ZH_X87_1620_004:0209b05	陳瓘	004	陳 瓘 
ZH_X87_1620_004:0209b06	陳瓘。字退夫。初赴省闈。問於宗道者曰。瓘此行欲作	004	陳 瓘  字 退 夫  初 赴 省 闈  問 於 宗 道 者 曰  瓘 此 行 欲 作 
ZH_X87_1620_004:0209b07	狀元。得否。宗熟視曰。無時即得。退夫竟以第三名上	004	狀 元  得 否  宗 熟 視 曰  無 時 即 得  退 夫 竟 以 第 三 名 上 
ZH_X87_1620_004:0209b08	第。而時彥者作魁。	004	第  而 時 彥 者 作 魁  
ZH_X87_1620_004:0209b09	宋太尉陳良弼	004	宋 太 尉 陳 良 弼 
ZH_X87_1620_004:0209b10	陳良弼。官太尉。請淨因圓悟法真慈受。并十大法師。	004	陳 良 弼  官 太 尉  請 淨 因 圓 悟 法 真 慈 受  并 十 大 法 師  
ZH_X87_1620_004:0209b11	禪講千僧。赴府齋會。時徽宗皇帝。私幸觀之。太史魯	004	禪 講 千 僧  赴 府 齋 會  時 徽 宗 皇 帝  私 幸 觀 之  太 史 魯 
ZH_X87_1620_004:0209b12	國公亦與焉。有善華嚴者。乃賢首宗之義虎也。對眾	004	國 公 亦 與 焉  有 善 華 嚴 者  乃 賢 首 宗 之 義 虎 也  對 眾 
ZH_X87_1620_004:0209b13	問諸禪曰。吾佛設教。自小乘至於圓頓。掃除空有。獨	004	問 諸 禪 曰  吾 佛 設 教  自 小 乘 至 於 圓 頓  掃 除 空 有  獨 
ZH_X87_1620_004:0209b14	證真常。然後萬德莊嚴。方名為佛。甞聞禪宗一喝。能	004	證 真 常  然 後 萬 德 莊 嚴  方 名 為 佛  甞 聞 禪 宗 一 喝  能 
ZH_X87_1620_004:0209b15	轉凡成聖。則與諸經論似相違背。今一喝若能入吾	004	轉 凡 成 聖  則 與 諸 經 論 似 相 違 背  今 一 喝 若 能 入 吾 
ZH_X87_1620_004:0209b16	宗五教。是為正說。若不能入。是為邪說。諸禪視淨因。	004	宗 五 教  是 為 正 說  若 不 能 入  是 為 邪 說  諸 禪 視 淨 因  
ZH_X87_1620_004:0209b17	淨因曰。如法師所問。不足諸大禪師之酬。淨因小長	004	淨 因 曰  如 法 師 所 問  不 足 諸 大 禪 師 之 酬  淨 因 小 長 
ZH_X87_1620_004:0209b18	老。可以使法師無惑也。淨因召善。善應諾。淨因曰。法	004	老  可 以 使 法 師 無 惑 也  淨 因 召 善  善 應 諾  淨 因 曰  法 
ZH_X87_1620_004:0209b19	師所謂愚法小乘教者。乃有義也。大乘始教者。乃空	004	師 所 謂 愚 法 小 乘 教 者  乃 有 義 也  大 乘 始 教 者  乃 空 
ZH_X87_1620_004:0209b20	義也。大乘終教者。乃不有不空義也。大乘頓教者。乃	004	義 也  大 乘 終 教 者  乃 不 有 不 空 義 也  大 乘 頓 教 者  乃 
ZH_X87_1620_004:0209b21	即有即空義也。一乘圓教者。乃不有而有。不空而空	004	即 有 即 空 義 也  一 乘 圓 教 者  乃 不 有 而 有  不 空 而 空 
ZH_X87_1620_004:0209b22	義也。如我一喝。非唯能入五教。至於工巧技藝諸子	004	義 也  如 我 一 喝  非 唯 能 入 五 教  至 於 工 巧 技 藝 諸 子 
ZH_X87_1620_004:0209b23	百家。悉皆能入。淨因乃震聲一喝曰。聞麼。善曰聞。淨	004	百 家  悉 皆 能 入  淨 因 乃 震 聲 一 喝 曰  聞 麼  善 曰 聞  淨 
ZH_X87_1620_004:0209b24	因曰。汝既聞。則此一喝是有。能入小乘教。須臾又問	004	因 曰  汝 既 聞  則 此 一 喝 是 有  能 入 小 乘 教  須 臾 又 問 
ZH_X87_1620_004:0209c01	善曰。聞麼。曰不聞。淨因曰。汝既不聞。適來一喝是無。	004	善 曰  聞 麼  曰 不 聞  淨 因 曰  汝 既 不 聞  適 來 一 喝 是 無  
ZH_X87_1620_004:0209c02	能入始教。遂顧善曰。我初一喝。汝既道有。喝久聲銷。	004	能 入 始 教  遂 顧 善 曰  我 初 一 喝  汝 既 道 有  喝 久 聲 銷  
ZH_X87_1620_004:0209c03	汝復道無。道無則元初實有。道有則而今實無。不有	004	汝 復 道 無  道 無 則 元 初 實 有  道 有 則 而 今 實 無  不 有 
ZH_X87_1620_004:0209c04	不無。能入終教。我有喝之時。有非是有。因無故有。無	004	不 無  能 入 終 教  我 有 喝 之 時  有 非 是 有  因 無 故 有  無 
ZH_X87_1620_004:0209c05	喝之時。無非是無。因有故無。即有即無。能入頓教。須	004	喝 之 時  無 非 是 無  因 有 故 無  即 有 即 無  能 入 頓 教  須 
ZH_X87_1620_004:0209c06	知我此一喝。不作一喝用。有無不及。情解俱忘。道有	004	知 我 此 一 喝  不 作 一 喝 用  有 無 不 及  情 解 俱 忘  道 有 
ZH_X87_1620_004:0209c07	之時纖塵不立。道無之時橫徧虗空。即此一喝。入百	004	之 時 纖 塵 不 立  道 無 之 時 橫 徧 虗 空  即 此 一 喝  入 百 
ZH_X87_1620_004:0209c08	千萬億喝。百千萬億喝。入此一喝。是故能入圓教。善	004	千 萬 億 喝  百 千 萬 億 喝  入 此 一 喝  是 故 能 入 圓 教  善 
ZH_X87_1620_004:0209c09	乃起再拜。淨因復謂曰。非唯一喝為然。乃至一語一	004	乃 起 再 拜  淨 因 復 謂 曰  非 唯 一 喝 為 然  乃 至 一 語 一 
ZH_X87_1620_004:0209c10	默。一動一靜。從古至今。十方虗空。萬象森羅。六道四	004	默  一 動 一 靜  從 古 至 今  十 方 虗 空  萬 象 森 羅  六 道 四 
ZH_X87_1620_004:0209c11	生。三世諸佛。一切聖賢。八萬四千法門。百千三昧。無	004	生  三世諸佛  一 切 聖 賢  八萬四千法門  百 千 三 昧  無 
ZH_X87_1620_004:0209c12	量妙義。契理契機。與天地萬物一體。謂之法身。三界	004	量 妙 義  契 理 契 機  與 天 地 萬 物 一 體  謂 之 法 身  三 界 
ZH_X87_1620_004:0209c13	唯心。萬法唯識。四時八節。陰陽一致。謂之法性。是故	004	唯 心  萬 法 唯 識  四 時 八 節  陰 陽 一 致  謂 之 法 性  是 故 
