segmentnr	original	folio	analyzed
ZH_X54_0873_001:0332b19	以見不遷。非相遷而性不遷也。是由人迷謂之遷。	001	以 見 不 遷  非 相 遷 而 性 不 遷 也  是 由 人 迷 謂 之 遷  
ZH_X54_0873_001:0332b20	人悟即不遷。故曰人之常情。余則謂之不然。論主	001	人 悟 即 不 遷  故 曰 人 之 常 情  余 則 謂 之 不 然  論 主 
ZH_X54_0873_001:0332b21	妙悟實相。故總斥之。法華云。不如三界。見於三界。	001	妙 悟 實 相  故 總 斥 之  法 華 云  不 如 三 界  見 於 三 界  
ZH_X54_0873_001:0332b22	大火所燒。此土安隱。譬如恒河之水。人見為水。鬼	001	大 火 所 燒  此 土 安 隱  譬 如 恒 河 之 水  人 見 為 水  鬼 
ZH_X54_0873_001:0332b23	見為火。迷悟之分。亦由是也。	001	見 為 火  迷 悟 之 分  亦 由 是 也  
ZH_X54_0873_001:0332b24	何者。(徵釋迷悟之由)放光云。法無去來。無動轉者。	001	何 者   徵 釋 迷 悟 之 由  放 光 云  法 無 去 來  無 動 轉 者  
ZH_X54_0873_001:0332c01	引經立定宗體。此義引彼經第七卷中云。諸法不	001	引 經 立 定 宗 體  此 義 引 彼 經 第 七 卷 中 云  諸 法 不 
ZH_X54_0873_001:0332c02	動搖。故諸法亦不去亦不來等。即法華云。是法住	001	動 搖  故 諸 法 亦 不 去 亦 不 來 等  即 法 華 云  是 法 住 
ZH_X54_0873_001:0332c03	法位。世間相常住。蓋言諸法實相。當體如如。本無	001	法 位  世 間 相 常 住  蓋 言 諸法實相  當 體 如 如  本 無 
ZH_X54_0873_001:0332c04	去來動轉之相。佛眼觀之。真空冥寂。凡夫妄見。故	001	去 來 動 轉 之 相  佛 眼 觀 之  真 空 冥 寂  凡 夫 妄 見  故 
ZH_X54_0873_001:0332c05	有遷流。不遷論旨。以此為宗。	001	有 遷 流  不 遷 論 旨  以 此 為 宗  
ZH_X54_0873_001:0332c06	尋夫不動之作。豈釋動以求靜。必求靜於諸動。	001	尋 夫 不 動 之 作  豈 釋 動 以 求 靜  必 求 靜 於 諸 動  
ZH_X54_0873_001:0332c07	此依宗出體也。尋究不動之旨。蓋即動物以見真	001	此 依 宗 出 體 也  尋 究 不 動 之 旨  蓋 即 動 物 以 見 真 
ZH_X54_0873_001:0332c08	常。非捨動以求靜也。良由全理所成之事。法法皆	001	常  非 捨 動 以 求 靜 也  良 由 全 理 所 成 之 事  法 法 皆 
ZH_X54_0873_001:0332c09	真。當體常住。非於事外求理。故但言事不遷。不說	001	真  當 體 常 住  非 於 事 外 求 理  故 但 言 事 不 遷  不 說 
ZH_X54_0873_001:0332c10	理不遷也。以即事物以見不遷。故云必求靜於諸	001	理 不 遷 也  以 即 事 物 以 見 不 遷  故 云 必 求 靜 於 諸 
ZH_X54_0873_001:0332c11	動。立論文義有四段。初約動靜以明境不遷。次約	001	動  立 論 文 義 有 四 段  初 約 動 靜 以 明 境 不 遷  次 約 
ZH_X54_0873_001:0332c12	境以明物不遷。三約古今以明時不遷。四約時以	001	境 以 明 物 不 遷  三 約 古 今 以 明 時 不 遷  四 約 時 以 
ZH_X54_0873_001:0332c13	明因果不遷。此初也。	001	明 因 果 不 遷  此 初 也  
ZH_X54_0873_001:0332c14	必求靜於諸動。故雖動而常靜。不釋動以求靜。故雖	001	必 求 靜 於 諸 動  故 雖 動 而 常 靜  不 釋 動 以 求 靜  故 雖 
ZH_X54_0873_001:0332c15	靜而不離動。	001	靜 而 不 離 動  
ZH_X54_0873_001:0332c16	此依體釋義也。必求靜於動。雖萬動陳前。心境湛	001	此 依 體 釋 義 也  必 求 靜 於 動  雖 萬 動 陳 前  心 境 湛 
ZH_X54_0873_001:0332c17	然。故曰雖動常靜。苟不捨動求靜。故一道虗間。雖	001	然  故 曰 雖 動 常 靜  苟 不 捨 動 求 靜  故 一 道 虗 間  雖 
ZH_X54_0873_001:0332c18	應緣交錯。不失其會。如華嚴云。不離菩提場。而徧	001	應 緣 交 錯  不 失 其 會  如 華 嚴 云  不 離 菩 提 場  而 徧 
ZH_X54_0873_001:0332c19	一切處。所謂佛身充滿於法界。普現一切羣生前。	001	一 切 處  所 謂 佛 身 充 滿 於 法 界  普 現 一 切 羣 生 前  
ZH_X54_0873_001:0332c20	隨緣赴感靡不周。而恒處此菩提座。不悟此理。難	001	隨 緣 赴 感 靡 不 周  而 恒 處 此 菩 提 座  不 悟 此 理  難 
ZH_X54_0873_001:0332c21	明動靜不二之旨。	001	明 動 靜 不 二 之 旨  
ZH_X54_0873_001:0332c22	然則動靜未始異。而惑者不同。緣使真言滯於競辯。	001	然 則 動 靜 未 始 異  而 惑 者 不 同  緣 使 真 言 滯 於 競 辯  
ZH_X54_0873_001:0332c23	宗途屈於好異。所以靜躁之極。未易言也。	001	宗 途 屈 於 好 異  所 以 靜 躁 之 極  未 易 言 也  
ZH_X54_0873_001:0332c24	此依義辯惑也。其實動靜一源。本來不二。故未始	001	此 依 義 辯 惑 也  其 實 動 靜 一 源  本 來 不 二  故 未 始 
ZH_X54_0873_001:0333a01	異。但迷者妄見不同。各執一端。真言。如所引不去	001	異  但 迷 者 妄 見 不 同  各 執 一 端  真 言  如 所 引 不 去 
ZH_X54_0873_001:0333a02	來動轉等了義之談。以異見不同。故使真實之言	001	來 動 轉 等 了 義 之 談  以 異 見 不 同  故 使 真 實 之 言 
ZH_X54_0873_001:0333a03	滯於競辯而不通。使一乘真宗不能伸暢。返屈於	001	滯 於 競 辯 而 不 通  使 一 乘 真 宗 不 能 伸 暢  返 屈 於 
ZH_X54_0873_001:0333a04	好異之論。如所破心無本無廓然等。皆不了實相	001	好 異 之 論  如 所 破 心 無 本 無 廓 然 等  皆 不 了 實 相 
ZH_X54_0873_001:0333a05	而妄生異論。論者以此之故。所以靜躁之極致。難	001	而 妄 生 異 論  論 者 以 此 之 故  所 以 靜 躁 之 極 致  難 
ZH_X54_0873_001:0333a06	與俗人言也。	001	與 俗 人 言 也  
ZH_X54_0873_001:0333a07	何者。(徵釋難言之所以)夫談真則逆俗。順俗則違真。違真故	001	何 者   徵 釋 難 言 之 所 以  夫 談 真 則 逆 俗  順 俗 則 違 真  違 真 故 
ZH_X54_0873_001:0333a08	迷性而莫返。逆俗故言淡而無味。	001	迷 性 而 莫 返  逆 俗 故 言 淡 而 無 味  
ZH_X54_0873_001:0333a09	所以難言者。以法不應機。所謂高言不入於俚耳	001	所 以 難 言 者  以 法 不 應 機  所 謂 高 言 不 入 於 俚 耳 
ZH_X54_0873_001:0333a10	也。若談真則逆俗人之耳。若順俗則違真常之道。	001	也  若 談 真 則 逆 俗 人 之 耳  若 順 俗 則 違 真 常 之 道  
ZH_X54_0873_001:0333a11	若真常不明。則迷者不能使之歸真。若逆俗人之	001	若 真 常 不 明  則 迷 者 不 能 使 之 歸 真  若 逆 俗 人 之 
ZH_X54_0873_001:0333a12	耳。則言之出口淡而無味。此其所以難言也。	001	耳  則 言 之 出 口 淡 而 無 味  此 其 所 以 難 言 也  
ZH_X54_0873_001:0333a13	緣使中人未分於存亡。下士撫掌而弗顧。	001	緣 使 中 人 未 分 於 存 亡  下 士 撫 掌 而 弗 顧  
ZH_X54_0873_001:0333a14	所以難言者。正為根機之不同也。其順真逆俗之	001	所 以 難 言 者  正 為 根 機 之 不 同 也  其 順 真 逆 俗 之 
ZH_X54_0873_001:0333a15	言。若上根利智。聞而便信。故不失人。亦不失言。若	001	言  若 上 根 利 智  聞 而 便 信  故 不 失 人  亦 不 失 言  若 
ZH_X54_0873_001:0333a16	使中根之人。則猶疑不決。故未分存亡。若下根聞	001	使 中根之人  則 猶 疑 不 決  故 未 分 存 亡  若 下 根 聞 
ZH_X54_0873_001:0333a17	之。則撫掌大笑而不顧矣。存亡撫掌二語。出老子。	001	之  則 撫 掌 大 笑 而 不 顧 矣  存 亡 撫 掌 二 語  出 老 子  
ZH_X54_0873_001:0333a18	中士聞道若存若亡。下士聞道大笑之。不笑不足	001	中 士 聞 道 若 存 若 亡  下 士 聞 道 大 笑 之  不 笑 不 足 
ZH_X54_0873_001:0333a19	以為道。是知實相妙談。聞而信者實不易得。所以	001	以 為 道  是 知 實 相 妙 談  聞 而 信 者 實 不 易 得  所 以 
ZH_X54_0873_001:0333a20	靜躁之極。未易言也。	001	靜 躁 之 極  未 易 言 也  
ZH_X54_0873_001:0333a21	近而不可知者。其唯物性乎。	001	近 而 不 可 知 者  其 唯 物 性 乎  
ZH_X54_0873_001:0333a22	此歎不唯信根之難。而真常之法。其實難信難解	001	此 歎 不 唯 信 根 之 難  而 真 常 之 法  其 實 難 信 難 解 
ZH_X54_0873_001:0333a23	也。以其觸目皆真。目對之而不覺。可不哀歟。	001	也  以 其 觸 目 皆 真  目 對 之 而 不 覺  可 不 哀 歟  
ZH_X54_0873_001:0333a24	然不能自已。聊復寄心於動靜之際。豈曰必然。試論	001	然 不 能 自 已  聊 復 寄 心 於 動 靜 之 際  豈 曰 必 然  試 論 
ZH_X54_0873_001:0333b01	之曰。	001	之 曰  
ZH_X54_0873_001:0333b02	此言作論之意。為愍迷者。悲興於懷。不能自已。聊	001	此 言 作 論 之 意  為 愍 迷 者  悲 興 於 懷  不 能 自 已  聊 
ZH_X54_0873_001:0333b03	爾寄心於動靜之間。以明動靜不二之言。以曉迷	001	爾 寄 心 於 動 靜 之 間  以 明 動 靜 不 二 之 言  以 曉 迷 
ZH_X54_0873_001:0333b04	者。然非敢謂必然。但試論之耳。	001	者  然 非 敢 謂 必 然  但 試 論 之 耳  
ZH_X54_0873_001:0333b05	道行云。諸法本無所從來。去亦無所至。中觀云。觀方	001	道 行 云  諸 法 本 無所從來  去 亦 無 所 至  中 觀 云  觀 方 
ZH_X54_0873_001:0333b06	知彼去。去者不至方。	001	知 彼 去  去 者 不 至 方  
ZH_X54_0873_001:0333b07	此引經論以定不遷宗極也。諸法當體寂滅。本自	001	此 引 經 論 以 定 不 遷 宗 極 也  諸 法 當 體 寂 滅  本 自 
ZH_X54_0873_001:0333b08	無生。從緣而生。故無所從來。緣散而滅。故去亦無	001	無 生  從 緣 而 生  故 無所從來  緣 散 而 滅  故 去 亦 無 
ZH_X54_0873_001:0333b09	所至。如空中華。無起滅故。中論但義引彼第二論	001	所 至  如 空 中 華  無 起 滅 故  中 論 但 義 引 彼 第 二 論 
ZH_X54_0873_001:0333b10	破去來品云。去法。去者。去處。皆相因待。不得言定	001	破 去 來 品 云  去 法  去 者  去 處  皆 相 因 待  不 得 言 定 
ZH_X54_0873_001:0333b11	有定無。是故決定知三法虗妄。空無所有。但有假	001	有 定 無  是 故 決 定 知 三 法 虗 妄  空無所有  但 有 假 
ZH_X54_0873_001:0333b12	名。如幻如化。大方無隅。本無定向。去者妄指。其實	001	名  如幻如化  大 方 無 隅  本 無 定 向  去 者 妄 指  其 實 
ZH_X54_0873_001:0333b13	無方可至。如人往東。究竟不知以何為東也。	001	無 方 可 至  如 人 往 東  究 竟 不 知 以 何 為 東 也  
ZH_X54_0873_001:0333b14	斯皆即動而求靜。以知物不遷。明矣。	001	斯 皆 即 動 而 求 靜  以 知 物 不 遷  明 矣  
ZH_X54_0873_001:0333b15	此下論物不遷也。經言法無來去。則觸目真常。論	001	此 下 論 物 不 遷 也  經 言 法 無 來 去  則 觸 目 真 常  論 
ZH_X54_0873_001:0333b16	云去不至方。則去而不去。斯皆即動求靜之微意。	001	云 去 不 至 方  則 去 而 不 去  斯 皆 即 動 求 靜 之 微 意  
ZH_X54_0873_001:0333b17	證知物不遷明矣。	001	證 知 物 不 遷 明 矣  
ZH_X54_0873_001:0333b18	夫人之所謂動者。以昔物不至今。故曰動而非靜。(如朱	001	夫 人 之 所 謂 動 者  以 昔 物 不 至 今  故 曰 動 而 非 靜   如 朱 
ZH_X54_0873_001:0333b19	顏在昔。今已老耄。以謂流光遷謝。故曰動而非靜)我之所謂靜者。亦以昔物	001	顏 在 昔  今 已 老 耄  以 謂 流 光 遷 謝  故 曰 動 而 非 靜  我 之 所 謂 靜 者  亦 以 昔 物 
ZH_X54_0873_001:0333b20	不至今。故曰靜而非動。(以我而觀。朱顏自住在昔。未嘗遷至於今。故曰靜而非動)	001	不 至 今  故 曰 靜 而 非 動   以 我 而 觀  朱 顏 自 住 在 昔  未 嘗 遷 至 於 今  故 曰 靜 而 非 動  
ZH_X54_0873_001:0333b21	動而非靜。以其不來。(人之以為遷流者。以少壯不來。故以為動)靜而非動。	001	動 而 非 靜  以 其 不 來   人 之 以 為 遷 流 者  以 少 壯 不 來  故 以 為 動  靜 而 非 動  
ZH_X54_0873_001:0333b22	以其不去。(我之所謂不遷者。以少壯在昔不來今。亦如老耄在今不至昔。故以為靜)然則	001	以 其 不 去   我 之 所 謂 不 遷 者  以 少 壯 在 昔 不 來 今  亦 如 老 耄 在 今 不 至 昔  故 以 為 靜  然 則 
ZH_X54_0873_001:0333b23	所造未嘗異。所見未嘗同。(同以昔物不來。而見有動靜之不同)逆之所	001	所 造 未 嘗 異  所 見 未 嘗 同   同 以 昔 物 不 來  而 見 有 動 靜 之 不 同  逆 之 所 
ZH_X54_0873_001:0333b24	謂塞。順之所謂通。(迷者以情逆理。故塞。悟者以理達事。故通)苟得其道。復	001	謂 塞  順 之 所 謂 通   迷 者 以 情 逆 理  故 塞  悟 者 以 理 達 事  故 通  苟 得 其 道  復 
ZH_X54_0873_001:0333c01	何滯哉(若悟真常。有何相可滯哉)。	001	何 滯 哉  若 悟 真 常  有 何 相 可 滯 哉   
ZH_X54_0873_001:0333c02	傷夫人情之惑也久矣。目對真而莫覺。	001	傷 夫 人 情 之 惑 也 久 矣  目 對 真 而 莫 覺  
ZH_X54_0873_001:0333c03	上逆順二言。總申實相之境不異。因人迷悟之不	001	上 逆 順 二 言  總 申 實 相 之 境 不 異  因 人 迷 悟 之 不 
ZH_X54_0873_001:0333c04	同。故所見有乖。此傷夫下。正出迷情。以觸目皆真。	001	同  故 所 見 有 乖  此 傷 夫 下  正 出 迷 情  以 觸 目 皆 真  
ZH_X54_0873_001:0333c05	但人迷不覺。良可哀哉。	001	但 人 迷 不 覺  良 可 哀 哉  
ZH_X54_0873_001:0333c06	既知往物而不來。而謂今物而可往。往物既不來。今	001	既 知 往 物 而 不 來  而 謂 今 物 而 可 往  往 物 既 不 來  今 
ZH_X54_0873_001:0333c07	物何所往。	001	物 何 所 往  
ZH_X54_0873_001:0333c08	此總責迷倒也。既知往物不來。則知昔住在昔而	001	此 總 責 迷 倒 也  既 知 往 物 不 來  則 知 昔 住 在 昔 而 
ZH_X54_0873_001:0333c09	不來今。則可例知今物亦不至昔矣。此乃不遷之	001	不 來 今  則 可 例 知 今 物 亦 不 至 昔 矣  此 乃 不 遷 之 
ZH_X54_0873_001:0333c10	義也。却謂今物可遷而往。豈不迷哉。	001	義 也  却 謂 今 物 可 遷 而 往  豈 不 迷 哉  
ZH_X54_0873_001:0333c11	何則。求向物於向。於向未嘗無。責向物於今。於今未	001	何 則  求 向 物 於 向  於 向 未 嘗 無  責 向 物 於 今  於 今 未 
ZH_X54_0873_001:0333c12	嘗有。於今未嘗有。以明物不來。於向未嘗無。故知物	001	嘗 有  於 今 未 嘗 有  以 明 物 不 來  於 向 未 嘗 無  故 知 物 
ZH_X54_0873_001:0333c13	不去。覆而求今。今亦不往。是謂昔物自在昔。不從今	001	不 去  覆 而 求 今  今 亦 不 往  是 謂 昔 物 自 在 昔  不 從 今 
ZH_X54_0873_001:0333c14	以至昔。今物自在今。不從昔以至今。	001	以 至 昔  今 物 自 在 今  不 從 昔 以 至 今  
ZH_X54_0873_001:0333c15	此約今昔不相往來。正明不遷之義也。以向物自	001	此 約 今 昔 不 相 往 來  正 明 不 遷 之 義 也  以 向 物 自 
ZH_X54_0873_001:0333c16	住在向而不來。即今求向而不可得。返覆而觀。則	001	住 在 向 而 不 來  即 今 求 向 而 不 可 得  返 覆 而 觀  則 
ZH_X54_0873_001:0333c17	知今自住今。而不至向。則不遷之義明矣。以其昔	001	知 今 自 住 今  而 不 至 向  則 不 遷 之 義 明 矣  以 其 昔 
ZH_X54_0873_001:0333c18	自住昔。今自住今。絕無往來之相。以此觀之。不遷	001	自 住 昔  今 自 住 今  絕 無 往 來 之 相  以 此 觀 之  不 遷 
ZH_X54_0873_001:0333c19	之旨。昭然可見。論初引經論以無去來立定宗體。	001	之 旨  昭 然 可 見  論 初 引 經 論 以 無 去 來 立 定 宗 體  
ZH_X54_0873_001:0333c20	故返覆論之。	001	故 返 覆 論 之  
ZH_X54_0873_001:0333c21	故仲尼曰。回也見新交臂非故。如此。則物不相往來。	001	故 仲 尼 曰  回 也 見 新 交 臂 非 故  如 此  則 物 不 相 往 來  
ZH_X54_0873_001:0333c22	明矣。	001	明 矣  
ZH_X54_0873_001:0333c23	此引孔子之言。以證不遷之義也。義引莊子。仲尼	001	此 引 孔 子 之 言  以 證 不 遷 之 義 也  義 引 莊 子  仲 尼 
ZH_X54_0873_001:0333c24	謂顏回曰。吾與汝交一臂而失之。可不哀歟。意謂	001	謂 顏 回 曰  吾 與 汝 交 一 臂 而 失 之  可 不 哀 歟  意 謂 
ZH_X54_0873_001:0334a01	交臂之頃。已新新非故。蓋言迅速難留之如此也。	001	交 臂 之 頃  已 新 新 非 故  蓋 言 迅 速 難 留 之 如 此 也  
ZH_X54_0873_001:0334a02	論主引意。要在迅速極處。乃見不遷之實。楞伽云。	001	論 主 引 意  要 在 迅 速 極 處  乃 見 不 遷 之 實  楞 伽 云  
ZH_X54_0873_001:0334a03	一切法不生。我說剎那義。初生即有滅。不為愚者	001	一 切 法 不 生  我 說 剎 那 義  初 生 即 有 滅  不 為 愚 者 
ZH_X54_0873_001:0334a04	說。賢首解云。以剎那流轉。必無自性。無自性故。即	001	說  賢 首 解 云  以 剎 那 流 轉  必 無 自 性  無 自 性 故  即 
ZH_X54_0873_001:0334a05	是無生。若非無生。則無流轉。是故契無生者。方見	001	是 無 生  若 非 無 生  則 無 流 轉  是 故 契 無 生 者  方 見 
ZH_X54_0873_001:0334a06	剎那。淨名云。不生不滅。是無常義。論主深悟實相。	001	剎 那  淨 名 云  不生不滅  是 無 常 義  論 主 深 悟 實 相  
ZH_X54_0873_001:0334a07	即在生滅遷流法中。頓見不遷之實。故所引乃遷	001	即 在 生 滅 遷 流 法 中  頓 見 不 遷 之 實  故 所 引 乃 遷 
ZH_X54_0873_001:0334a08	流之文。以明不遷之旨。非達無生意者。最難轉身	001	流 之 文  以 明 不 遷 之 旨  非 達 無 生 意 者  最 難 轉 身 
ZH_X54_0873_001:0334a09	吐氣也。	001	吐 氣 也  
ZH_X54_0873_001:0334a10	既無往返之微朕。有何物而可動乎。	001	既 無 往 返 之 微 朕  有 何 物 而 可 動 乎  
ZH_X54_0873_001:0334a11	此結顯妙悟。不落常情也。後結文云。得意毫微雖	001	此 結 顯 妙 悟  不 落 常 情 也  後 結 文 云  得 意 毫 微 雖 
ZH_X54_0873_001:0334a12	速而不轉。言諸法湛然。無纖微朕兆來去之相。有	001	速 而 不 轉  言 諸 法 湛 然  無 纖 微 朕 兆 來 去 之 相  有 
ZH_X54_0873_001:0334a13	何物而可動轉乎。詳其論意。雖云今昔之物本無	001	何 物 而 可 動 轉 乎  詳 其 論 意  雖 云 今 昔 之 物 本 無 
ZH_X54_0873_001:0334a14	去來。要見時無古今。平等一際。若達古今一際。則	001	去 來  要 見 時 無 古 今  平 等 一 際  若 達 古 今 一 際  則 
ZH_X54_0873_001:0334a15	物自無往來。所謂處夢謂經年。覺乃須臾頃。故時	001	物 自 無 往 來  所 謂 處 夢 謂 經 年  覺 乃 須 臾 頃  故 時 
ZH_X54_0873_001:0334a16	雖無量。攝在一剎那。所謂枕上片時春夢間。行盡	001	雖 無 量  攝 在 一 剎 那  所 謂 枕 上 片 時 春 夢 間  行 盡 
ZH_X54_0873_001:0334a17	江南數千里。若以夢事而觀諸法。則時無古今。法	001	江 南 數 千 里  若 以 夢 事 而 觀 諸 法  則 時 無 古 今  法 
ZH_X54_0873_001:0334a18	無去來。昭然心目。纔入意地。便墮流轉。此非常情	001	無 去 來  昭 然 心 目  纔 入 意 地  便 墮 流 轉  此 非 常 情 
ZH_X54_0873_001:0334a19	可到也。	001	可 到 也  
ZH_X54_0873_001:0334a20	然則旋嵐偃嶽而常靜。江河兢注而不流。野馬飄鼓	001	然 則 旋 嵐 偃 嶽 而 常 靜  江 河 兢 注 而 不 流  野 馬 飄 鼓 
ZH_X54_0873_001:0334a21	而不動。日月歷天而不周。復何怪哉。	001	而 不 動  日 月 歷 天 而 不 周  復 何 怪 哉  
ZH_X54_0873_001:0334a22	此引迅速四事。以證即物不遷。以成上無往返之	001	此 引 迅 速 四 事  以 證 即 物 不 遷  以 成 上 無 往 返 之 
ZH_X54_0873_001:0334a23	微朕意也。旋嵐。亦云毗嵐。乃壞劫之風。須彌為之	001	微 朕 意 也  旋 嵐  亦 云 毗 嵐  乃 壞 劫 之 風  須 彌 為 之 
ZH_X54_0873_001:0334a24	摧。故云偃嶽。野馬。出莊子。乃澤中陽燄。飄揚不停。	001	摧  故 云 偃 嶽  野 馬  出 莊 子  乃 澤 中 陽 燄  飄 揚 不 停  
ZH_X54_0873_001:0334b01	且此四事。常情見之。以為遷流之極。若言不遷。則	001	且 此 四 事  常 情 見 之  以 為 遷 流 之 極  若 言 不 遷  則 
ZH_X54_0873_001:0334b02	以為怪。以明眼觀之。本無遷流。復何怪哉。如初引	001	以 為 怪  以 明 眼 觀 之  本 無 遷 流  復 何 怪 哉  如 初 引 
ZH_X54_0873_001:0334b03	經云。法無去來。無動轉者。正要即動以見不遷。非	001	經 云  法 無 去 來  無 動 轉 者  正 要 即 動 以 見 不 遷  非 
ZH_X54_0873_001:0334b04	指靜為不遷也。靜已不遷。又何論之有。故論命題。	001	指 靜 為 不 遷 也  靜 已 不 遷  又 何 論 之 有  故 論 命 題  
ZH_X54_0873_001:0334b05	乃以物物當體不遷。非言相遷而性不遷也。此不	001	乃 以 物 物 當 體 不 遷  非 言 相 遷 而 性 不 遷 也  此 不 
ZH_X54_0873_001:0334b06	遷之旨。正顯諸法實相。非妙悟之士。誠不易見。上	001	遷 之 旨  正 顯 諸法實相  非 妙 悟 之 士  誠 不 易 見  上 
ZH_X54_0873_001:0334b07	已備論不遷之旨。下引教會通。以釋前真言滯於	001	已 備 論 不 遷 之 旨  下 引 教 會 通  以 釋 前 真 言 滯 於 
ZH_X54_0873_001:0334b08	競辯宗途屈於好異。靜躁之極未易言。等文。要人	001	競 辯 宗 途 屈 於 好 異  靜 躁 之 極 未 易 言  等 文  要 人 
ZH_X54_0873_001:0334b09	離言會意。不可執言失旨也。	001	離 言 會 意  不 可 執 言 失 旨 也  
ZH_X54_0873_001:0334b10	噫。聖人有言曰。人命逝速。速於川流。(此言人命無常。意在密顯真常)	001	噫  聖 人 有 言 曰  人 命 逝 速  速 於 川 流   此 言 人 命 無 常  意 在 密 顯 真 常  
ZH_X54_0873_001:0334b11	是以聲聞悟非常以成道。緣覺覺緣離以即真。(二聖皆以	001	是 以 聲 聞 悟 非 常 以 成 道  緣 覺 覺 緣 離 以 即 真   二 聖 皆 以 
ZH_X54_0873_001:0334b12	聞無常而證果)苟萬動(法也)而非化。(化言生死無常也)豈尋化以階道。	001	聞 無 常 而 證 果  苟 萬 動  法 也  而 非 化   化 言 生 死 無 常 也  豈 尋 化 以 階 道  
ZH_X54_0873_001:0334b13	(道。涅槃果也。意謂若萬法不是無常。二乘聖人何以由聞無常而證聖果)覆尋聖言。微隱	001	 道  涅 槃 果 也  意 謂 若 萬 法 不 是 無 常  二 乘 聖 人 何 以 由 聞 無 常 而 證 聖 果  覆 尋 聖 言  微 隱 
ZH_X54_0873_001:0334b14	難測。(返覆推尋聖人之言。雖說無常。而意在密顯真常。所以隱微難測)若動而靜。似	001	難 測   返 覆 推 尋 聖 人 之 言  雖 說 無 常  而 意 在 密 顯 真 常  所 以 隱 微 難 測  若 動 而 靜  似 
ZH_X54_0873_001:0334b15	去而留。(聖人言雖動而意在顯靜。言似去而意實常住。所以靜躁之極未易言。但可以神會。難以	001	去 而 留   聖 人 言 雖 動 而 意 在 顯 靜  言 似 去 而 意 實 常 住  所 以 靜 躁 之 極 未 易 言  但 可 以 神 會  難 以 
ZH_X54_0873_001:0334b16	事相求之耳。若不達聖人立言之旨。不能離言得意。將謂實有生死去來之相。執言競辯。此則終不能悟不遷	001	事 相 求 之 耳  若 不 達 聖 人 立 言 之 旨  不 能 離 言 得 意  將 謂 實 有 生 死 去 來 之 相  執 言 競 辯  此 則 終 不 能 悟 不 遷 
ZH_X54_0873_001:0334b17	之妙。直須離言得體。方能契會本真耳)可以神會。難以事求(謂滯相則迷真。當契	001	之 妙  直 須 離 言 得 體  方 能 契 會 本 真 耳  可 以 神 會  難 以 事 求  謂 滯 相 則 迷 真  當 契 
ZH_X54_0873_001:0334b18	神於物表耳)。	001	神 於 物 表 耳   
ZH_X54_0873_001:0334b19	是以言去不必去。閑人之常想。稱住不必住。釋人之	001	是 以 言 去 不 必 去  閑 人 之 常 想  稱 住 不 必 住  釋 人 之 
ZH_X54_0873_001:0334b20	所謂往耳。豈曰去而可遣。住而可留也。	001	所 謂 往 耳  豈 曰 去 而 可 遣  住 而 可 留 也  
ZH_X54_0873_001:0334b21	此釋聖言難測。教人離言體妙也。言去言往。乃生	001	此 釋 聖 言 難 測  教 人 離 言 體 妙 也  言 去 言 往  乃 生 
ZH_X54_0873_001:0334b22	死法也。住。乃涅槃常住之果也。凡聖人言生死遷	001	死 法 也  住  乃 涅 槃 常 住 之 果 也  凡 聖 人 言 生 死 遷 
ZH_X54_0873_001:0334b23	流。不是實有可去之相。但防閑凡夫執常之想耳。	001	流  不 是 實 有 可 去 之 相  但 防 閑 凡 夫 執 常 之 想 耳  
ZH_X54_0873_001:0334b24	所稱涅槃常住。非是實有可住之相。但破二乘厭	001	所 稱 涅 槃 常 住  非 是 實 有 可 住 之 相  但 破 二 乘 厭 
ZH_X54_0873_001:0334c01	患生死之情耳。其實生死與涅槃。二俱不可得。豈	001	患 生 死 之 情 耳  其 實 生 死 與 涅 槃  二 俱 不 可 得  豈 
ZH_X54_0873_001:0334c02	曰定有生死可遣。實有涅槃可留也。下引證。	001	曰 定 有 生 死 可 遣  實 有 涅 槃 可 留 也  下 引 證  
ZH_X54_0873_001:0334c03	故成具云。菩薩處計常之中。而演非常之教。摩訶衍	001	故 成 具 云  菩 薩 處 計 常 之 中  而 演 非 常 之 教  摩 訶 衍 
ZH_X54_0873_001:0334c04	論云。諸法不動。無去來處。斯皆導達群方。兩言一會。	001	論 云  諸 法 不 動  無 去 來 處  斯 皆 導 達 群 方  兩 言 一 會  
ZH_X54_0873_001:0334c05	豈曰文殊。而乖其致哉。	001	豈 曰 文 殊  而 乖 其 致 哉  
ZH_X54_0873_001:0334c06	此明聖人言異而旨一。釋上生死涅槃二法皆空	001	此 明 聖 人 言 異 而 旨 一  釋 上 生死涅槃 二 法 皆 空 
ZH_X54_0873_001:0334c07	之義也。成具言菩薩以處凡夫計常之中。故說無	001	之 義 也  成 具 言 菩 薩 以 處 凡 夫 計 常 之 中  故 說 無 
ZH_X54_0873_001:0334c08	常以破其執。非是實有生死之相。意在令人即無	001	常 以 破 其 執  非 是 實 有 生 死 之 相  意 在 令 人 即 無 
ZH_X54_0873_001:0334c09	常以悟真常。如大論云。諸法湛然。常住不動。本無	001	常 以 悟 真 常  如 大 論 云  諸 法 湛 然  常 住 不 動  本 無 
ZH_X54_0873_001:0334c10	去來。意欲令人即羣動以悟不遷。而常與無常之	001	去 來  意 欲 令 人 即 羣 動 以 悟 不 遷  而 常 與 無 常 之 
